"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0200","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณโรงสีเก่าตรงข้ามห้างสรรพสินค้า บิ๊กซีสาขาหนองจอก",1,157,706
"0201","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณโรงสีเก่าตรงข้ามห้างสรรพสินค้า บิ๊กซีสาขาหนองจอก",2,217,678
"0202","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณโรงสีเก่าตรงข้ามห้างสรรพสินค้า บิ๊กซีสาขาหนองจอก",3,430,811
"0203","เขตหนองจอก","1003","กระทุ่มราย",100301,"มหาวิทยาลัยเทคโนโลยีมหานคร",4,246,614
"0204","เขตหนองจอก","1003","กระทุ่มราย",100301,"มหาวิทยาลัยเทคโนโลยีมหานคร",5,151,572
"0205","เขตหนองจอก","1003","กระทุ่มราย",100301,"มหาวิทยาลัยเทคโนโลยีมหานคร",6,257,520
"0206","เขตหนองจอก","1003","กระทุ่มราย",100301,"แฟลตข้าราชการเขตหนองจอก ตรงข้ามสำนักงานเขตหนองจอก",7,235,606
"0207","เขตหนองจอก","1003","กระทุ่มราย",100301,"แฟลตข้าราชการเขตหนองจอก ตรงข้ามสำนักงานเขตหนองจอก",8,243,603
"0208","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนเซนต์เทเรซา",9,185,592
"0209","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนเซนต์เทเรซา",10,182,609
"0210","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนเซนต์เทเรซา",11,259,613
"0211","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนเซนต์เทเรซา",12,219,607
"0212","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์ตรงข้ามบ้านเลขที่ 6/242 หมู่บ้านวัฒนา - ร่มไทร ถนนสังฆสันติสุข",13,358,854
"0213","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณทางเข้าหมู่บ้านนันทวันเซ็นต์ 1 ถนนสังฆสันติสุข",14,230,518
"0214","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณทางเข้าหมู่บ้านนันทวันเซ็นต์ 1 ถนนสังฆสันติสุข",15,224,504
"0215","เขตหนองจอก","1003","กระทุ่มราย",100301,"สนามเด็กเล่นหมู่บ้านนันทวันเซ็นต์ 2 ถนนสังฆสันติสุข",16,243,614
"0216","เขตหนองจอก","1003","กระทุ่มราย",100301,"สนามเด็กเล่นหมู่บ้านนันทวันเซ็นต์ 2 ถนนสังฆสันติสุข",17,252,560
"0217","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสามแยกท่าไข่",18,166,548
"0218","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสามแยกท่าไข่",19,207,585
"0219","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสามแยกท่าไข่",20,122,553
"0220","เขตหนองจอก","1003","กระทุ่มราย",100301,"ศูนย์พัฒนาเด็กก่อนวัยเรียนชุมชนแผ่นดินทองนูรุ้ลยากีน",21,143,621
"0221","เขตหนองจอก","1003","กระทุ่มราย",100301,"ศูนย์พัฒนาเด็กก่อนวัยเรียนชุมชนแผ่นดินทองนูรุ้ลยากีน",22,144,615
"0222","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนนีลราษฎร์อุปถัมภ์",23,138,487
"0223","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนนีลราษฎร์อุปถัมภ์",24,211,499
"0224","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนนีลราษฎร์อุปถัมภ์",25,241,502
"0225","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนหลวงแพ่ง (บำรุงรัฐกิจ)",26,189,609
"0226","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนหลวงแพ่ง (บำรุงรัฐกิจ)",27,244,626
"0227","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณทางเข้าสวนเกษตร (หมอสุพจน์) ถนนสุวินทวงศ์",28,116,463
"0228","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณทางเข้าสวนเกษตร (หมอสุพจน์) ถนนสุวินทวงศ์",29,143,464
"0229","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณโรงงานมิกซ์เวลล์มาเก็ตติ้ง ถนนสุวินทวงศ์",30,209,674
"0230","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์หน้าสำนักงานบริษัท บ้านอมรทรัพย์ จำกัด ซอยอยู่วิทยา 18",31,172,592
"0231","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์หน้าบ้านเลขที่ 68/804 ปากทางเข้าหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",32,186,582
"0232","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",33,275,606
"0233","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",34,251,608
"0234","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",35,271,615
"0235","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",36,302,622
"0236","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",37,277,611
"0237","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",38,268,612
"0238","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",39,236,548
"0239","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",40,276,611
"0240","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณตลาดนัดหมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา 18",41,320,667
"0241","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณมัสยิดอุมัรอิบนุ้ลค๊อฏฏ๊อบ",42,194,673
"0242","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณมัสยิดอุมัรอิบนุ้ลค๊อฏฏ๊อบ",43,333,622
"0243","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณศูนย์พัฒนาเด็กก่อนวัยเรียนชุมชนลำสลิดทองพัฒนา",44,267,570
"0244","เขตหนองจอก","1003","กระทุ่มราย",100301,"เต็นท์บริเวณศูนย์พัฒนาเด็กก่อนวัยเรียนชุมชนสำสลิดทองพัฒนา",45,247,577
"0245","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสุเหร่าหะยีมินา",46,232,655
"0246","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสุเหร่าหะยีมินา",47,204,583
"0247","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสุเหร่าหะยีมินา",48,205,621
"0248","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสุเหร่าหะยีมินา",49,181,615
"0249","เขตหนองจอก","1003","กระทุ่มราย",100301,"โรงเรียนสุเหร่าหะยีมินา",50,268,631
"0250","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสุเหร่าบ้านเกาะ",1,134,526
"0251","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสุเหร่าบ้านเกาะ",2,152,510
"0252","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสุเหร่าบ้านเกาะ",3,151,511
"0253","เขตหนองจอก","1003","หนองจอก",100302,"เต็นท์บริเวณมัสยิดอิบรอฮีม (บึงเตย) ถนนประชาสำราญ",4,299,879
"0254","เขตหนองจอก","1003","หนองจอก",100302,"เต็นท์บริเวณมัสยิดอิบรอฮีม (บึงเตย) ถนนประชาสำราญ",5,293,854
"0255","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสุเหร่าศาลาแดง",6,154,658
"0256","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนหนองจอกกงลิบฮัวเคียว",7,204,617
"0257","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนหนองจอกกงลิบฮัวเคียว",8,199,627
"0258","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนหนองจอกกงลิบฮัวเคียว",9,226,609
"0259","เขตหนองจอก","1003","หนองจอก",100302,"เต็นท์บริเวณปากซอยมิตรไมตรี 8",10,144,497
"0260","เขตหนองจอก","1003","หนองจอก",100302,"เต็นท์บริเวณปากซอยมิตรไมตรี 8",11,159,498
"0261","เขตหนองจอก","1003","หนองจอก",100302,"เต็นท์บริเวณปากซอยมิตรไมตรี 8",12,195,496
"0262","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสอนศาสนา บริเวณมัสยิดอัลฮุสนา (บ้านเจียรดับ)",13,233,708
"0263","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสอนศาสนา บริเวณมัสยิดอัลฮุสนา (บ้านเจียรดับ)",14,232,692
"0264","เขตหนองจอก","1003","หนองจอก",100302,"โรงเรียนสอนศาสนา บริเวณมัสยิดอัลฮุสนา (บ้านเจียรดับ)",15,281,694
"0265","เขตหนองจอก","1003","หนองจอก",100302,"อาคารอเนกประสงค์บริเวณมัสยิดอัรเราะห์มาน (บ้านหนองปลาหมอ)",16,200,767
