"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0419","เขตบางรัก","1004","มหาพฤฒาราม",100401,"เต้นท์หน้าอาคารคริสตจักรที่สองสามย่าน ถนนพระรามที่ 4",1,524,707
"0420","เขตบางรัก","1004","มหาพฤฒาราม",100401,"เต้นท์หน้าอาคารคริสตจักรที่สองสามย่าน ถนนพระรามที่ 4",2,131,417
"0421","เขตบางรัก","1004","มหาพฤฒาราม",100401,"เต้นท์บริเวณลานกีฬาตรอกห้านาย ถนนพระรามที่ 4",3,152,408
"0422","เขตบางรัก","1004","มหาพฤฒาราม",100401,"เต้นท์บริเวณลานกีฬาตรอกห้านาย ถนนพระรามที่ 4",4,159,538
"0423","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนเยนเฮล์เม็มโมเรียล ถนนสว่าง",5,155,532
"0424","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนเยนเฮล์เม็มโมเรียล ถนนสว่าง",6,125,452
"0425","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนสตรีวัดมหาพฤฒาราม ถนนมหาพฤฒาราม",7,233,691
"0426","เขตบางรัก","1004","มหาพฤฒาราม",100401,"วัดมหาพฤฒาราม บริเวณศาลาปั้นเขียน ถนนสี่พระยา",8,114,342
"0427","เขตบางรัก","1004","มหาพฤฒาราม",100401,"วัดมหาพฤฒาราม บริเวณศาลาปั้นเขียน ถนนสี่พระยา",9,122,465
"0428","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนวัดแก้วแจ่มฟ้า ถนนสี่พระยา",10,165,581
"0429","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนวัดแก้วแจ่มฟ้า ถนนสี่พระยา",11,455,931
"0430","เขตบางรัก","1004","มหาพฤฒาราม",100401,"โรงเรียนวัดแก้วแจ่มฟ้า ถนนสี่พระยา",12,147,502
"0431","เขตบางรัก","1004","มหาพฤฒาราม",100401,"ที่จอดรถธนาคารกรุงเทพจำกัด(มหาชน) สาขาสะพานเหลือง ถนนพระรามที่ 4",13,144,462
"0432","เขตบางรัก","1004","มหาพฤฒาราม",100401,"ที่จอดรถธนาคารกรุงเทพจำกัด(มหาชน) สาขาสะพานเหลืองถนนพระรามที่ 4",14,140,482
"0433","เขตบางรัก","1004","มหาพฤฒาราม",100401,"ที่จอดรถธนาคารกรุงเทพจำกัด(มหาชน) สาขาสะพานเหลืองถนนพระรามที่ 4",15,182,662
"0434","เขตบางรัก","1004","มหาพฤฒาราม",100401,"ที่จอดรถธนาคารกรุงเทพจำกัด(มหาชน) สาขาสะพานเหลืองถนนพระรามที่ 4",16,128,407
"0435","เขตบางรัก","1004","สีลม",100402,"เต้นท์บริเวณลานจอดรถธนาคารกสิกรไทย จำกัด สาขาถนนสาทรเหนือ",1,211,476
"0436","เขตบางรัก","1004","สีลม",100402,"โรงเรียนเซนต์โยเซฟคอนแวนต์ ถนนคอนแวนต์",2,275,613
