"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0473","เขตบางเขน","1005","อนุสาวรีย์",100502,"ศูนย์สร้างสุขทุกวัยบางเขน ถนนพหลโยธิน(ด้านข้างสำนักงานเขตบางเขน)",1,151,551
"0474","เขตบางเขน","1005","อนุสาวรีย์",100502,"ศูนย์สร้างสุขทุกวัยบางเขน ถนนพหลโยธิน(ด้านข้างสำนักงานเขตบางเขน)",2,227,555
"0475","เขตบางเขน","1005","อนุสาวรีย์",100502,"วัดบางบัว (ซอยพหลโยธิน 46)",3,245,461
"0476","เขตบางเขน","1005","อนุสาวรีย์",100502,"วัดบางบัว (ซอยพหลโยธิน 46)",4,210,455
"0477","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",5,394,699
"0478","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",6,313,715
"0479","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",7,244,720
"0480","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",8,173,711
"0481","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",9,192,720
"0482","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",10,228,742
"0483","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",11,279,728
"0484","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ)",12,249,704
"0485","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ",13,500,633
"0486","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ",14,456,653
"0487","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ",15,245,651
"0488","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถแฟมิลี่มาร์ท (ซอยพหลโยธิน 57)",16,521,711
"0489","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถแฟมิลี่มาร์ท (ซอยพหลโยธิน 57)",17,252,676
"0490","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน",18,337,756
"0491","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน",19,329,757
"0492","เขตบางเขน","1005","อนุสาวรีย์",100502,"เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน",20,299,760
