"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0696","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถบริษัทธนาเทพการพิมพ์ จำกัดใกล้ซอยลาดพร้าว 132",1,231,661
"0697","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถบริษัทธนาเทพการพิมพ์ จำกัดใกล้ซอยลาดพร้าว 132",2,213,696
"0698","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถบริษัทธนาเทพการพิมพ์ จำกัดใกล้ซอยลาดพร้าว 132",3,292,611
"0699","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงเรียนไขศรีปราโมชอนุสรณ์ ซอยลาดพร้าว 134 (เทพทวี)",4,228,793
"0700","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงเรียนไขศรีปราโมชอนุสรณ์ ซอยลาดพร้าว 134 (เทพทวี)",5,337,734
"0701","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณซอยลาดพร้าว 130 (ใกล้โลตัส โกเฟรช)",6,367,661
"0702","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณซอยลาดพร้าว 130 (ใกล้โลตัส โกเฟรช)",7,371,807
"0703","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณซอยลาดพร้าว 130 (ใกล้โลตัส โกเฟรช)",8,377,817
"0704","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณซอยลาดพร้าว 130 (ใกล้โลตัส โกเฟรช)",9,465,747
"0705","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถคริสตัลดีไซน์ เซ็นเตอร์ (ซีดีซี)ใกล้แม็กซ์ แวลู",10,198,609
"0706","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถคริสตัลดีไซน์ เซ็นเตอร์ (ซีดีซี)ใกล้แม็กซ์ แวลู",11,290,691
"0707","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถคริสตัลดีไซน์ เซ็นเตอร์ (ซีดีซี)ใกล้แม็กซ์ แวลู",12,249,630
"0708","เขตบางกะปิ","1006","คลองจั่น",100601,"ศาลาพักผู้ปกครองสุจิตวิมล โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",13,209,747
"0709","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงอาหาร 7 และ 8 โรงเรียนวัดบึงทองหลาง ซอยลาดพร้าว 101 ซอย 41",14,336,811
"0710","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงอาหาร 7 และ 8 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",15,283,799
"0711","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงอาหาร 7 และ 8 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",16,299,875
"0712","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงอาหาร 7 และ 8 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",17,310,851
"0713","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงอาหาร 7 และ 8 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",18,288,820
"0714","เขตบางกะปิ","1006","คลองจั่น",100601,"ห้องประชุมอาคาร 6 โรงเรียนวัดบึงทองหลาง ซอยลาดพร้าว 101 ซอย 41",19,375,912
"0715","เขตบางกะปิ","1006","คลองจั่น",100601,"ห้องประชุมอาคาร 6 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",20,298,753
"0716","เขตบางกะปิ","1006","คลองจั่น",100601,"ห้องประชุมอาคาร 4 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",21,256,893
"0717","เขตบางกะปิ","1006","คลองจั่น",100601,"ห้องประชุมอาคาร 4 โรงเรียนวัดบึงทองหลาง ซอยลาดพร้าว 101 ซอย 41",22,324,968
"0718","เขตบางกะปิ","1006","คลองจั่น",100601,"ห้องประชุมอาคาร 4 โรงเรียนวัดบึงทองหลางซอยลาดพร้าว 101 ซอย 41",23,228,864
"0719","เขตบางกะปิ","1006","คลองจั่น",100601,"บริเวณโรงเรียนวัดบึงทองหลาง ซอยลาดพร้าว 101 ซอย 41",24,214,849
"0720","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณวัดบึงทองหลาง ถนนลาดพร้าว 101",25,365,782
"0721","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณวัดบึงทองหลาง ถนนลาดพร้าว 101",26,233,809
"0722","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณวัดบึงทองหลาง ถนนลาดพร้าว 101",27,330,725
"0723","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงแรมอุ่นโฮเทล แบงค๊อก(ลานจอดรถคาร์วอช) ซอยโยธินพัฒนา",28,394,901
"0724","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงแรมอุ่นโฮเทล แบงค๊อก(ลานจอดรถคาร์วอช) ซอยโยธินพัฒนา",29,391,818
"0725","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",30,329,737
"0726","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",31,428,706
"0727","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",32,390,754
"0728","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",33,393,699
"0729","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",34,317,769
"0730","เขตบางกะปิ","1006","คลองจั่น",100601,"วิทยาลัยศิลปหัตถกรรมกรุงเทพถนนลาดพร้าว 101 (ใกล้ซอย 39)",35,331,763
"0731","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณท้ายหมู่บ้านนครไทย สุดซอยลาดพร้าว 101/1",36,200,524
"0732","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณท้ายหมู่บ้านนครไทย สุดซอยลาดพร้าว 101/1",37,230,575
"0733","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถหน้าโรงพยาบาลเวชธานี ซอยลาดพร้าว 111",38,301,517
"0734","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถหน้าโรงพยาบาลเวชธานี ซอยลาดพร้าว 111",39,376,646
"0735","เขตบางกะปิ","1006","คลองจั่น",100601,"มหาวิทยาลัยรัตนบัณฑิต ซอยลาดพร้าว 107 (ดีสมโชค)",40,273,769
"0736","เขตบางกะปิ","1006","คลองจั่น",100601,"มหาวิทยาลัยรัตนบัณฑิต ซอยลาดพร้าว 107 (ดีสมโชค)",41,348,781
"0737","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงเรียนอนุบาลภัทรบุตรซอยลาดพร้าว 109 แยก 1",42,276,724
"0738","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณโรงเรียนอนุบาลภัทรบุตรซอยลาดพร้าว 109 แยก 1",43,272,764
"0739","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณทางเข้าหมู่บ้านศานตินิเวศน์ ปากซอยลาดพร้าว 115",44,247,536
"0740","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณทางเข้าหมู่บ้านศานตินิเวศน์ ปากซอยลาดพร้าว 115",45,183,533
"0741","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนณัฏฐวุฒิวิทยา ซอยหมู่บ้านสินธร",46,296,655
"0742","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนณัฏฐวุฒิวิทยา ซอยหมู่บ้านสินธร",47,316,702
"0743","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนณัฏฐวุฒิวิทยา ซอยหมู่บ้านสินธร",48,243,656
"0744","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนนราธิปพิทยา หมู่บ้านเสนาวิลล่า ซอย 16",49,234,623
"0745","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนนราธิปพิทยา หมู่บ้านเสนาวิลล่า ซอย 16",50,289,683
"0746","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนนราธิปพิทยา หมู่บ้านเสนาวิลล่า ซอย 16",51,316,802
"0747","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนนราธิปพิทยา หมู่บ้านเสนาวิลล่า ซอย 16",52,280,736
"0748","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านฉัตรแก้ว (ซอย 4)",53,269,667
"0749","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านฉัตรแก้ว (ซอย 4)",54,274,744
"0750","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณศาลเจ้าพ่อเสือ ซอยศูนย์บันเทิงการค้า",55,275,759
"0751","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณศาลเจ้าพ่อเสือ ซอยศูนย์บันเทิงการค้า",56,345,764
"0752","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณศาลเจ้าพ่อเสือ ซอยศูนย์บันเทิงการค้า",57,430,730
"0753","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณศาลเจ้าพ่อเสือ ซอยศูนย์บันเทิงการค้า",58,515,823
"0754","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถตลาดกลางแฮปปี้แลนด์",59,373,715
"0755","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถตลาดกลางแฮปปี้แลนด์",60,447,684
"0756","เขตบางกะปิ","1006","คลองจั่น",100601,"เต็นท์บริเวณลานจอดรถตลาดกลางแฮปปี้แลนด์",61,413,791
"0757","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 3",62,228,447
"0758","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 5",63,266,624
"0759","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 8",64,195,461
"0760","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 11",65,273,632
"0761","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 14",66,312,723
"0762","เขตบางกะปิ","1006","คลองจั่น",100601,"โรงเรียนอนุบาลวรรณทิพย์  ตรงข้ามแฟลตการเคหะคลองจั่น หลังที่ 17",67,256,618
"0763","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 19",68,274,590
"0764","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 21",69,333,764
"0765","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 25",70,310,704
"0766","เขตบางกะปิ","1006","คลองจั่น",100601,"ใต้แฟลตการเคหะคลองจั่น หลังที่ 26",71,291,624
