"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0856","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดบรมนิวาส",1,156,448
"0857","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดบรมนิวาส",2,137,524
"0858","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดบรมนิวาส",3,148,597
"0859","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดบรมนิวาส",4,167,596
"0860","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดชัยมงคล",5,129,750
"0861","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดชัยมงคล",6,172,731
"0862","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดชัยมงคล",7,154,671
"0863","เขตปทุมวัน","1007","รองเมือง",100701,"ศาลาบุญญนิธิ (วัดชำนิหัตถการ)",8,226,757
"0864","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดสระบัว",9,145,493
"0865","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดสระบัว",10,132,407
"0866","เขตปทุมวัน","1007","รองเมือง",100701,"บริเวณอาคารโรงเรียนสีตบุตรบำรุง",11,208,578
"0867","เขตปทุมวัน","1007","รองเมือง",100701,"บริเวณอาคารโรงเรียนสีตบุตรบำรุง",12,176,540
"0868","เขตปทุมวัน","1007","รองเมือง",100701,"เต็นท์บริเวณโรงเรียนสีตบุตรบำรุง",13,182,556
"0869","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดดวงแข",14,176,579
"0870","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดดวงแข",15,173,563
"0871","เขตปทุมวัน","1007","รองเมือง",100701,"อาคารโรงเรียนวัดดวงแข",16,179,607
"0872","เขตปทุมวัน","1007","รองเมือง",100701,"เต็นท์บริเวณลานจอดรถ ศาลแรงงานกลาง (แยกมหานคร)",17,179,584
"0873","เขตปทุมวัน","1007","รองเมือง",100701,"เต็นท์บริเวณลานจอดรถ ศาลแรงงานกลาง (แยกมหานคร)",18,192,611
"0874","เขตปทุมวัน","1007","รองเมือง",100701,"บริเวณโรงเรียนประเสริฐธรรมวิทยา",19,280,700
"0875","เขตปทุมวัน","1007","รองเมือง",100701,"บริเวณโรงเรียนประเสริฐธรรมวิทยา",20,172,624
"0876","เขตปทุมวัน","1007","รองเมือง",100701,"บริเวณโรงเรียนประเสริฐธรรมวิทยา",21,215,627
"0877","เขตปทุมวัน","1007","วังใหม่",100702,"เต็นท์บริเวณตึกอำนวยการ สถาบันเทคโนโลยีปทุมวัน",1,282,600
"0878","เขตปทุมวัน","1007","วังใหม่",100702,"เต็นท์บริเวณตึกอำนวยการ สถาบันเทคโนโลยีปทุมวัน",2,388,632
"0879","เขตปทุมวัน","1007","วังใหม่",100702,"เต็นท์บริเวณหอพักจุฬานิวาส จุฬาลงกรณ์มหาวิทยาลัย",3,237,718
"0880","เขตปทุมวัน","1007","วังใหม่",100702,"เต็นท์บริเวณลานจอดรถศูนย์บริการสาธารณสุข 5 (จุฬาลงกรณ์)",4,166,446
"0881","เขตปทุมวัน","1007","วังใหม่",100702,"เต็นท์บริเวณลานจอดรถศูนย์บริการสาธารณสุข 5 (จุฬาลงกรณ์)",5,186,425
"0882","เขตปทุมวัน","1007","ปทุมวัน",100703,"อาคารโรงเรียนวัดปทุมวนารามฯ",1,164,636
"0883","เขตปทุมวัน","1007","ปทุมวัน",100703,"บริเวณอาคารเภสัชกรรม โรงพยาบาลตำรวจ",2,2,338
"0884","เขตปทุมวัน","1007","ปทุมวัน",100703,"อาคารมหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตอุเทนถวาย",3,73,173
"0885","เขตปทุมวัน","1007","ปทุมวัน",100703,"บริเวณอาคารอานันทมหิดล คณะแพทยศาสตร์ โรงพยาบาลจุฬาลงกรณ์",4,2,449
"0886","เขตปทุมวัน","1007","ลุมพินี",100704,"โรงเรียนมาแตร์เดอี (อาคารอนุสรณ์ 50 ปี)",1,532,656
"0887","เขตปทุมวัน","1007","ลุมพินี",100704,"โรงเรียนมาแตร์เดอี (อาคารอนุสรณ์ 50 ปี)",2,397,649
"0888","เขตปทุมวัน","1007","ลุมพินี",100704,"โรงเรียนมาแตร์เดอี (อาคารอนุสรณ์ 50 ปี)",3,362,656
"0889","เขตปทุมวัน","1007","ลุมพินี",100704,"โรงเรียนมาแตร์เดอี (อาคารอนุสรณ์ 50 ปี)",4,535,724
"0890","เขตปทุมวัน","1007","ลุมพินี",100704,"โรงเรียนมาแตร์เดอี (อาคารอนุสรณ์ 50 ปี)",5,461,677
"0891","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณลานกิจกรรมของโรงเรียนสวนลุมพินี",6,167,556
"0892","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณลานกิจกรรมของโรงเรียนสวนลุมพินี",7,195,572
"0893","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารโรงเรียนพระมหาไถ่ศึกษา",8,376,684
"0894","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารโรงเรียนพระมหาไถ่ศึกษา",9,199,698
"0895","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณสนามฟุตบอลโปโลปาร์ค",10,146,514
"0896","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณสนามฟุตบอลโปโลปาร์ค",11,125,523
"0897","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณสนามฟุตบอลโปโลปาร์ค",12,121,529
"0898","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณโรงเรียนปลูกจิต",13,240,690
"0899","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณโรงเรียนปลูกจิต",14,232,689
"0900","เขตปทุมวัน","1007","ลุมพินี",100704,"ศาลาประชาคมการเคหะชุมชนบ่อนไก่",15,212,603
"0901","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารศูนย์เยาวชนบ่อนไก่",16,162,543
"0902","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารศูนย์เยาวชนบ่อนไก่",17,134,514
"0903","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารศูนย์เยาวชนบ่อนไก่",18,171,526
"0904","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารศูนย์เยาวชนบ่อนไก่",19,158,510
"0905","เขตปทุมวัน","1007","ลุมพินี",100704,"เต็นท์บริเวณศูนย์บริการสาธารณสุข 16 (ลุมพินี)",20,144,527
"0906","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารโรงเรียนสุนีพิทยา",21,232,677
"0907","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารโรงเรียนสุนีพิทยา",22,263,681
"0908","เขตปทุมวัน","1007","ลุมพินี",100704,"อาคารโรงเรียนสุนีพิทยา",23,297,654
