"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0909","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"เต็นท์หน้าตึกเอื้อประชา โรงพยาบาลกลาง",1,279,783
"0910","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"เต็นท์หน้าตึกเอื้อประชา โรงพยาบาลกลาง",2,203,646
"0911","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"โรงเรียนวัดคณิกาผล",3,190,615
"0912","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"โรงเรียนวัดคณิกาผล",4,177,484
"0913","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"เต็นท์ลานกิจกรรมโรงเรียนวัดคณิกาผล",5,172,573
"0914","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"มูลนิธิฮั่วเคี้ยวป่อเต็กตึ๊ง(ป่อเต็กตึ๊ง) ลานจอดรถ",6,168,536
"0915","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"มูลนิธิฮั่วเคี้ยวป่อเต็กตึ๊ง(ป่อเต็กตึ๊ง) ลานจอดรถ",7,147,561
"0916","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"อาคารโรงเรียนวัดพลับพลาชัย",8,243,764
"0917","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"อาคารโรงเรียนวัดพลับพลาชัย",9,209,769
"0918","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"อาคารโรงเรียนวัดพลับพลาชัย",10,211,735
"0919","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"เต็นท์บริเวณลานกิจกรรม โรงเรียนสายปัญญา ในพระบรมราชินูปถัมภ์",11,285,813
"0920","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"เต็นท์บริเวณลานกิจกรรม โรงเรียนสายปัญญา ในพระบรมราชินูปถัมภ์",12,245,809
"0921","เขตป้อมปราบศัตรูพ่าย","1008","ป้อมปราบ",100801,"ศาลเจ้าซินเฮงตั้ว",13,204,574
