"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0959","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณพื้นที่ว่างบ้านเลขที่ 15 ซอยสุขุมวิท 89",1,459,656
"0960","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณพื้นที่ว่างบ้านเลขที่ 15 ซอยสุขุมวิท 89",2,326,644
"0961","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณพื้นที่ว่างบ้านเลขที่ 15 ซอยสุขุมวิท 89",3,231,641
"0962","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถยนต์บริษัท เอส.เลอสันต์ จำกัด",4,318,774
"0963","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถยนต์บริษัท เอส.เลอสันต์ จำกัด",5,299,748
"0964","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณด้านข้างเซเว่นอีเลฟเว่น ซอยพึ่งมี 1",6,365,711
"0965","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณด้านข้างเซเว่นอีเลฟเว่น ซอยพึ่งมี 1",7,239,689
"0966","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณด้านข้างเซเว่นอีเลฟเว่น ซอยพึ่งมี 1",8,261,670
"0967","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ข้างอู่เอส พี คาร์แคร์ ปากซอยพึ่งมี 17",9,142,500
"0968","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ข้างอู่เอส พี คาร์แคร์ ปากซอยพึ่งมี 17",10,127,488
"0969","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ข้างอู่เอส พี คาร์แคร์ ปากซอยพึ่งมี 17",11,162,517
"0970","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ข้างอู่เอส พี คาร์แคร์ ปากซอยพึ่งมี 17",12,127,483
"0971","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนมูลนิธิวัดราษฎร์ศรัทธาธรรมสงเคราะห์",13,150,534
"0972","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนมูลนิธิวัดราษฎร์ศรัทธาธรรมสงเคราะห์",14,171,491
"0973","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนมูลนิธิวัดราษฎร์ศรัทธาธรรมสงเคราะห์",15,180,557
"0974","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวัดราษฎร์ศรัทธาธรรม",16,214,690
"0975","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวัดราษฎร์ศรัทธาธรรม",17,222,676
"0976","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวัดราษฎร์ศรัทธาธรรม",18,182,664
"0977","เขตพระโขนง","1009","บางจาก",100905,"โรงจอดรถยนต์นิรันดร์คอนโดมิเนียม",19,281,631
"0978","เขตพระโขนง","1009","บางจาก",100905,"โรงจอดรถยนต์นิรันดร์คอนโดมิเนียม",20,263,595
"0979","เขตพระโขนง","1009","บางจาก",100905,"โรงจอดรถยนต์นิรันดร์คอนโดมิเนียม",21,289,611
"0980","เขตพระโขนง","1009","บางจาก",100905,"โรงจอดรถยนต์นิรันดร์คอนโดมิเนียม",22,297,590
"0981","เขตพระโขนง","1009","บางจาก",100905,"โรงจอดรถยนต์นิรันดร์คอนโดมิเนียม",23,304,633
"0982","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",24,180,492
"0983","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",25,160,461
"0984","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",26,149,510
"0985","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",27,227,465
"0986","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",28,162,467
"0987","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานอเนกประสงค์ศูนย์พัฒนาเด็กก่อนวัยเรียนหมู่บ้านนิรันดร์วิลล่า",29,175,515
"0988","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",30,172,587
"0989","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",31,158,578
"0990","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",32,259,672
"0991","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",33,200,602
"0992","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",34,240,636
"0993","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์ลานจอดรถยนต์ปากซอยเกตุไพเราะ 3-5",35,224,605
"0994","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวชิรธรรมสาธิต",36,139,412
"0995","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวชิรธรรมสาธิต",37,112,447
"0996","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวชิรธรรมสาธิต",38,163,503
"0997","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวชิรธรรมสาธิต",39,142,465
"0998","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนวชิรธรรมสาธิต",40,167,455
"0999","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",41,252,713
"1000","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",42,245,703
"1001","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",43,463,717
"1002","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",44,255,715
"1003","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",45,233,685
"1004","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",46,198,687
"1005","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณลานจอดรถวัดวชิรธรรมสาธิตวรวิหาร",47,224,672
"1006","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนนวลวรรณศึกษา",48,226,641
"1007","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนนวลวรรณศึกษา",49,235,652
"1008","เขตพระโขนง","1009","บางจาก",100905,"โรงเรียนนวลวรรณศึกษา",50,181,624
"1009","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณปั๊มน้ำมันบางจาก ปากซอยอุดมสุข 45",51,421,765
"1010","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณปั๊มน้ำมันบางจาก ปากซอยอุดมสุข 45",52,253,631
"1011","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณที่ทำการชุมชนเฉลียง 5 ซอยอุดมสุข 45",53,120,491
"1012","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณปั๊มน้ำมันเชลล์ ปากซอยวชิรธรรมสาธิต 57",54,232,690
"1013","เขตพระโขนง","1009","บางจาก",100905,"เต็นท์บริเวณปั๊มน้ำมันเชลล์ ปากซอยวชิรธรรมสาธิต 57",55,385,699
