"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1079","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปั๊มน้ำมันซัสโก้ ถนนนิมิตใหม่ (1)",1,284,792
"1080","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปั๊มน้ำมันซัสโก้ ถนนนิมิตใหม่ (2)",2,323,824
"1081","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปั๊มน้ำมันซัสโก้ ถนนนิมิตใหม่ (3)",3,295,750
"1082","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปั๊มน้ำมันซัสโก้ ถนนนิมิตใหม่ (4)",4,431,806
"1083","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปั๊มน้ำมันซัสโก้ ถนนนิมิตใหม่ (5)",5,318,820
"1084","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านบ้านฟ้านันทวัน ถนนประชาร่วมใจ (1)",6,193,659
"1085","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านบ้านฟ้านันทวัน ถนนประชาร่วมใจ (2)",7,266,692
"1086","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านบ้านฟ้านันทวัน ถนนประชาร่วมใจ (3)",8,271,706
"1087","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านบ้านฟ้านันทวัน ถนนประชาร่วมใจ (4)",9,313,702
"1088","เขตมีนบุรี","1010","มีนบุรี",101001,"โรงเรียนวัดแสนสุข",10,147,533
"1089","เขตมีนบุรี","1010","มีนบุรี",101001,"โรงจอดรถสำนักงานเกษตรเขตมีนบุรี",11,120,638
"1090","เขตมีนบุรี","1010","มีนบุรี",101001,"โรงเรียนมีนบุรี",12,274,797
"1091","เขตมีนบุรี","1010","มีนบุรี",101001,"หน้าสำนักงานตลาดนัดจตุจักร 2 (เมืองมีน) (1)",13,202,556
"1092","เขตมีนบุรี","1010","มีนบุรี",101001,"หน้าสำนักงานตลาดนัดจตุจักร 2 (เมืองมีน) (2)",14,302,623
"1093","เขตมีนบุรี","1010","มีนบุรี",101001,"หน้าสำนักงานตลาดนัดจตุจักร 2 (เมืองมีน) (3)",15,262,562
"1094","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณลานจอดรถสำนักงานประกันสังคม พื้นที่ 10 (1)",16,265,707
"1095","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณลานจอดรถสำนักงานประกันสังคม พื้นที่ 10 (2)",17,310,708
"1096","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณปากซอยเสรีไทย 68 ถนนเสรีไทย",18,351,944
"1097","เขตมีนบุรี","1010","มีนบุรี",101001,"โรงเรียนสุเหร่าบางชัน",19,153,662
"1098","เขตมีนบุรี","1010","มีนบุรี",101001,"แฟลตการเคหะนครหลวง สาขาบางชัน (แฟลต 5) (1)",20,283,707
"1099","เขตมีนบุรี","1010","มีนบุรี",101001,"แฟลตการเคหะนครหลวง สาขาบางชัน (แฟลต 5) (2)",21,275,684
"1100","เขตมีนบุรี","1010","มีนบุรี",101001,"สถานีดับเพลิงและกู้ภัยบางชัน (1)",22,145,545
"1101","เขตมีนบุรี","1010","มีนบุรี",101001,"สถานีดับเพลิงและกู้ภัยบางชัน (2)",23,193,639
"1102","เขตมีนบุรี","1010","มีนบุรี",101001,"สถานีดับเพลิงและกู้ภัยบางชัน (3)",24,182,624
"1103","เขตมีนบุรี","1010","มีนบุรี",101001,"เต็นท์บริเวณลานอเนกประสงค์บ้านเอื้ออาทรมีนบุรี (1)",25,424,826
