"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1230","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์ลานจอดรถข้างศาลเจ้าแป๊ะกง ซอยลาดกระบัง 15/4",1,187,495
"1231","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"ลานโดมอเนกประสงค์สวนพระนคร",2,163,422
"1232","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"ลานโดมอเนกประสงค์สวนพระนคร",3,275,703
"1233","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"ลานโดมอเนกประสงค์สวนพระนคร",4,206,716
"1234","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์โครงการ เอเวียนวิลเลจ ซอยลาดกระบัง 46/1",5,254,659
"1235","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์โครงการ เอเวียนวิลเลจ ซอยลาดกระบัง 46/1",6,202,610
"1236","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์โครงการ เอเวียนวิลเลจ ซอยลาดกระบัง 46/1",7,248,676
"1237","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"ลานโดมอเนกประสงค์ชุมชนหมู่บ้านเคหะนคร 2",8,245,694
"1238","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์สนามเด็กเล่นชุมชนหมู่บ้านเคหะนคร 2 ซอย 9",9,257,657
"1239","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์สนามเด็กเล่นชุมชนหมู่บ้านเคหะนคร 2 ซอย 9",10,256,675
"1240","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์ลานจอดรถตลาดผลเจริญ ซ.ลาดกระบัง 30/2",11,235,659
"1241","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์ลานจอดรถร้านเซเว่นอีเลฟเว่น ซอยลาดกระบัง 26",12,273,662
"1242","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์ลานจอดรถร้านเซ่เว่นอีเลฟเว่น ซอยลาดกระบัง 26",13,303,644
"1243","เขตลาดกระบัง","1011","ลาดกระบัง",101101,"เต็นท์หน้าโชว์รูมโตโยต้า ที.บี.เอ็น. เดอะพาซิโอ",14,498,949
