"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1434","เขตยานนาวา","1012","ช่องนนทรี",101203,"สถานรับเลี้ยงเด็ก น๊อตดี้เพลย์กรุ๊ป",1,250,619
"1435","เขตยานนาวา","1012","ช่องนนทรี",101203,"สถานรับเลี้ยงเด็ก น๊อตดี้เพลย์กรุ๊ป",2,258,611
"1436","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณกิจการวิทยุกระจายเสียงทหารเรือทุ่งมหาเมฆ",3,361,619
"1437","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณกิจการวิทยุกระจายเสียงทหารเรือทุ่งมหาเมฆ",4,240,608
"1438","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนประถมนนทรี",5,178,596
"1439","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนประถมนนทรี",6,219,638
"1440","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนประถมนนทรี",7,221,622
"1441","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ลานจอดรถ บ.กู๊ดทีม เอ็นเตอร์ไพรส์ จำกัด",8,252,620
"1442","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ลานจอดรถ บ.กู๊ดทีม เอ็นเตอร์ไพรส์ จำกัด",9,203,627
"1443","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ลานจอดรถ บ.กู๊ดทีม เอ็นเตอร์ไพรส์ จำกัด",10,288,619
"1444","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ลานจอดรถ บ.กู๊ดทีม เอ็นเตอร์ไพรส์ จำกัด",11,271,625
"1445","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าโรงพยาบาลกรุณาพิทักษ์",12,185,626
"1446","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าโรงพยาบาลกรุณาพิทักษ์",13,222,617
"1447","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าโรงพยาบาลกรุณาพิทักษ์",14,291,624
"1448","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนนนทรีวิทยา",15,191,631
"1449","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนนนทรีวิทยา",16,373,639
"1450","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนวัดช่องลม",17,167,531
"1451","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ในวัดช่องลม",18,123,533
"1452","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ในวัดช่องลม",19,151,530
"1453","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ในวัดช่องลม",20,166,536
"1454","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าอาคาร แอล พี เอ็น ทาวเวอร์",21,354,545
"1455","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าหมู่บ้านรวยรุ่งเรือง",22,135,538
"1456","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าหมู่บ้านรวยรุ่งเรือง",23,173,542
"1457","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าหมู่บ้านรวยรุ่งเรือง",24,317,538
"1458","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าธนาคารทหารไทยธนชาต สาขาช่องนนทรี",25,204,537
"1459","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณสถานีบริการน้ำมัน shell ถนนจันทน์",26,191,611
"1460","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณสถานีบริการน้ำมัน shell ถนนจันทน์",27,196,603
"1461","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนอนุบาลมณีรัตน์",28,216,587
"1462","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนอนุบาลมณีรัตน์",29,301,593
"1463","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนอนุบาลมณีรัตน์",30,364,599
"1464","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้า หจก.อาจิวการไฟฟ้า",31,165,602
"1465","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้า หจก.อาจิวการไฟฟ้า",32,254,605
"1466","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนทวีวัฒนา",33,195,594
"1467","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนทวีวัฒนา",34,265,593
"1468","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนวรมงคล",35,288,558
"1469","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนวรมงคล",36,276,552
"1470","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนวรมงคล",37,194,548
"1471","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนวรมงคล",38,193,547
"1472","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ข้างสมาคมพฤกษ์สัมพันธ์ (หมู่บ้านนครไทย)",39,202,618
"1473","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์ข้างสมาคมพฤกษ์สัมพันธ์ (หมู่บ้านนครไทย)",40,229,613
"1474","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนพระแม่มารี สาธุประดิษฐ์",41,287,544
"1475","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนพระแม่มารี สาธุประดิษฐ์",42,352,554
"1476","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนพระแม่มารี สาธุประดิษฐ์",43,392,543
"1477","เขตยานนาวา","1012","ช่องนนทรี",101203,"โรงเรียนพระแม่มารี สาธุประดิษฐ์",44,162,538
"1478","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณสมาคมตระกูลเฮ้งแห่งประเทศไทย",45,226,542
"1479","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์บริเวณสมาคมตระกูลเฮ้งแห่งประเทศไทย",46,289,546
"1480","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าอาคาร พี เอส ที คอนโดมิเนียม",47,182,539
"1481","เขตยานนาวา","1012","ช่องนนทรี",101203,"เต็นท์หน้าอาคาร พี เอส ที คอนโดมิเนียม",48,183,540
