"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1541","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ บพิตรพิมุข จักรวรรดิ(ใต้อาคารเรียนฝั่งซ้าย)",1,186,591
"1542","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ บพิตรพิมุข จักรวรรดิ(ใต้อาคารเรียนฝั่งขวา)",2,229,739
"1543","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ บพิตรพิมุข จักรวรรดิ(โรงอาหาร)",3,288,783
"1544","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"โรงเรียนวัดจักรวรรดิ (ห้องประชุม)",4,260,688
"1545","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"เต็นท์บริเวณโรงเรียนวัดจักรวรรดิ",5,211,486
"1546","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"เต็นท์บริเวณวัดโลกานุเคราะห์",6,189,519
"1547","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"โรงเรียนเผยอิง (ห้องเรียนฝั่งซ้าย)",7,243,656
"1548","เขตสัมพันธวงศ์","1013","จักรวรรดิ",101301,"โรงเรียนเผยอิง (ห้องเรียนฝั่งขวา)",8,254,693
"1549","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"โรงเรียนวัดชัยชนะสงคราม",1,233,578
"1550","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"วัดกันมาตุยาราม",2,186,543
"1551","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"วัดกันมาตุยาราม",3,196,563
"1552","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"เต็นท์บริเวณวัดกันมาตุยาราม",4,228,567
"1553","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"วัดมงคลสมาคม",5,267,861
"1554","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"สมาคมฮากกา (ลานจอดรถ)",6,181,504
"1555","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"โรงเรียนวัดสัมพันธวงศ์",7,301,864
"1556","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"โรงเรียนวัดสัมพันธวงศ์",8,269,886
"1557","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"โรงเรียนวัดปทุมคงคา",9,146,482
"1558","เขตสัมพันธวงศ์","1013","สัมพันธวงศ์",101302,"เต็นท์บริเวณโรงเรียนวัดปทุมคงคา",10,165,535
"1559","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"เต็นท์บริเวณโรงเรียนไตรมิตรวิทยาลัย",1,199,725
"1560","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"เต็นท์บริเวณโรงเรียนไตรมิตรวิทยาลัย",2,208,776
"1561","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"เต็นท์บริเวณโรงเรียนไตรมิตรวิทยาลัย",3,220,738
"1562","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"โรงเรียนกุหลาบวิทยา (ใต้อาคารเรียนฝั่งวัดแม่พระ)",4,226,714
"1563","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"โรงเรียนกุหลาบวิทยา (ใต้อาคารเรียนฝั่งวัดแม่พระ)",5,193,641
"1564","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"โรงเรียนกุหลาบวิทยา (ใต้อาคารเรียนฝั่งวัดแม่พระ)",6,216,665
"1565","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"โรงเรียนกุหลาบวิทยา (โรงอาหาร)",7,262,638
"1566","เขตสัมพันธวงศ์","1013","ตลาดน้อย",101303,"โรงเรียนกุหลาบวิทยา (โรงอาหาร)",8,179,694
