"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1567","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าห้างสรรพสินค้าบิ๊กซีซูเปอร์เซ็นเตอร์",1,270,557
"1568","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์บริเวณลานจอดรถ ปากซอยอินทามระ 1",2,275,575
"1569","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์บริเวณลานจอดรถ ปากซอยอินทามระ 1",3,162,555
"1570","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์บริเวณลานจอดรถ ปากซอยอินทามระ 1",4,316,538
"1571","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์บริเวณลานจอดรถ ปากซอยอินทามระ 1",5,296,420
"1572","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์บ้านโรจนา (ASHA QUEST HOUSE) ซอยอินทามระ 3",6,199,563
"1573","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าธนาคารกสิกรไทย สาขาสุทธิสาร",7,163,453
"1574","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าธนาคารกสิกรไทย สาขาสุทธิสาร",8,143,541
"1575","เขตพญาไท","1014","สามเสนใน",101401,"อาคารโรงจอดรถ ปากซอยอินทามระ 17",9,269,678
"1576","เขตพญาไท","1014","สามเสนใน",101401,"อาคารโรงจอดรถ ปากซอยอินทามระ 17",10,224,622
"1577","เขตพญาไท","1014","สามเสนใน",101401,"อาคารโรงจอดรถ ปากซอยอินทามระ 17",11,306,620
"1578","เขตพญาไท","1014","สามเสนใน",101401,"อาคารโรงจอดรถ ปากซอยอินทามระ 17",12,232,654
"1579","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารแฟมมิลี่ทาวน์ ซอยอินทามระ 29 แยก 1",13,344,593
"1580","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารแฟมมิลี่ทาวน์ ซอยอินทามระ 29 แยก 1",14,369,658
"1581","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารแฟมมิลี่ทาวน์ ซอยอินทามระ 29 แยก 1",15,182,622
"1582","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารแฟมมิลี่ทาวน์ ซอยอินทามระ 29 แยก 1",16,315,610
"1583","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สมาคมพระคริสตธรรมไทย สี่แยกสุทธิสาร",17,358,424
"1584","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สมาคมพระคริสตธรรมไทย สี่แยกสุทธิสาร",18,169,487
"1585","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์อาคาร เจ ซี ทาวเวอร์ คอนโดมิเนียม ซอยอินทามระ 10",19,117,408
"1586","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์อาคาร เจ ซี ทาวเวอร์ คอนโดมิเนียม ซอยอินทามระ 10",20,235,387
"1587","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าธนาคารออมสิน สำนักงานใหญ่",21,234,485
"1588","เขตพญาไท","1014","สามเสนใน",101401,"โรงเรียนรุจิเสรีวิทยา ซอยศุภราช",22,295,483
"1589","เขตพญาไท","1014","สามเสนใน",101401,"โรงเรียนรุจิเสรีวิทยา ซอยศุภราช",23,226,562
"1590","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์โรงเรียนรุจิเสรีวิทยา ซอยศุภราช",24,388,587
"1591","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์โรงเรียนรุจิเสรีวิทยา ซอยศุภราช",25,183,501
"1592","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",26,186,417
"1593","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",27,197,554
"1594","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",28,256,518
"1595","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",29,242,492
"1596","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",30,241,416
"1597","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ ซอยพหลโยธิน 8",31,313,585
"1598","เขตพญาไท","1014","สามเสนใน",101401,"แฟลตเฉลิมลาภ 2",32,240,455
"1599","เขตพญาไท","1014","สามเสนใน",101401,"แฟลตเฉลิมลาภ 2",33,196,431
"1600","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารแสงโสม ปากซอยพหลโยธิน 2",34,351,692
"1601","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าห้างหุ้นส่วนจำกัด กิตติแอร์",35,1,468
"1602","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าบริษัท สถาปนิกสมดุล จำกัด",36,195,526
"1603","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้ากองพลทหารม้าที่ 2 รักษาพระองค์ฯ",37,1,462
"1604","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าร้านค้าสวัสดิการ พล.ม.2",38,163,355
"1605","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าร้านทรอทอะราวน์ (TROT AROUND)",39,163,323
"1606","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้า ที โฮสเทล แอนด์ คาเฟ่ (T HOSTEL & CAFE)",40,1,619
"1607","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์หน้าอาคารฮะเซ้ง ถนนพหลโยธิน",41,194,396
"1608","เขตพญาไท","1014","สามเสนใน",101401,"เต็นท์ใต้ทางด่วนปากซอยราชวิถี 4 (ซอยพระนาง)",42,165,440
