"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1662","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนวัดประยุรวงศ์ (ห้องประชุม)",1,139,493
"1663","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนซางตาครู้สศึกษา (อาคารพระเมตตา)",2,159,623
"1664","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนแสงอรุณ (ใต้อาคารตึกปิตุเรศ)",3,198,623
"1665","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนแสงอรุณ (ใต้อาคารตึกปิตุเรศ)",4,117,566
"1666","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"ลานกีฬาใต้สะพานอนุทินสวัสดิ์",5,81,426
"1667","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"ลานกีฬาใต้สะพานอนุทินสวัสดิ์",6,97,425
"1668","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"วัดบุปผาราม (ศาลาปิ่นเพชร)",7,181,635
"1669","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"วัดบุปผาราม (ศาลาปิ่นเพชร)",8,158,589
"1670","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"เต็นท์โรงเรียนสอนขับรถยนต์ ส.สะพานมอญ ซอยอิสรภาพ 24",9,177,604
"1671","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"มหาวิทยาลัยราชภัฏธนบุรี (โรงอาหาร)",10,174,594
"1672","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนศึกษานารี (สนามเล็ก)",11,162,558
"1673","เขตธนบุรี","1015","วัดกัลยาณ์",101501,"โรงเรียนศึกษานารี (สนามเล็ก)",12,130,518
"1674","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนสหบำรุงวิทยา (ใต้อาคาร)",1,172,603
"1675","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนสหบำรุงวิทยา (ใต้อาคาร)",2,116,617
"1676","เขตธนบุรี","1015","หิรัญรูจี",101502,"มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา (ชั้นล่างอาคารหอประชุม)",3,163,647
"1677","เขตธนบุรี","1015","หิรัญรูจี",101502,"มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา (ชั้นล่างอาคารหอประชุม)",4,181,632
"1678","เขตธนบุรี","1015","หิรัญรูจี",101502,"มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา (ชั้นล่างอาคารหอประชุม)",5,170,573
"1679","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดประดิษฐาราม (ห้องประชุม)",6,204,785
"1680","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดใหญ่ศรีสุพรรณ (โรงอาหาร)",7,201,700
"1681","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดใหญ่ศรีสุพรรณ (โรงอาหาร)",8,186,731
"1682","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดใหญ่ศรีสุพรรณ (โรงอาหาร)",9,165,736
"1683","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดใหญ่ศรีสุพรรณ (ห้องเรียน)",10,155,697
"1684","เขตธนบุรี","1015","หิรัญรูจี",101502,"โรงเรียนวัดใหญ่ศรีสุพรรณ (ห้องเรียน)",11,277,755
"1685","เขตธนบุรี","1015","หิรัญรูจี",101502,"วัดหิรัญรูจี (ศาลา 1)",12,172,565
"1686","เขตธนบุรี","1015","หิรัญรูจี",101502,"วัดหิรัญรูจี (ศาลา 4)",13,166,595
"1687","เขตธนบุรี","1015","หิรัญรูจี",101502,"วัดหิรัญรูจี (ศาลา 5)",14,185,633
"1688","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในศูนย์เยาวชนวัดเวฬุราชิณ (สนามฟุตซอล)",1,314,745
"1689","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในศูนย์เยาวชนวัดเวฬุราชิณ (สนามฟุตซอล)",2,180,654
"1690","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในศูนย์เยาวชนวัดเวฬุราชิณ (สนามฟุตซอล)",3,179,609
"1691","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดเวฬุราชิณ",4,192,695
"1692","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดเวฬุราชิณ",5,148,666
"1693","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในลานกีฬาชุมชนสวนพลู",6,188,724
"1694","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในลานกีฬาชุมชนสวนพลู",7,180,711
"1695","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในลานกีฬาชุมชนสวนพลู",8,126,710
"1696","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนศาสนธรรมวิทยา สวนพลู (อาคารใหม่)",9,139,606
"1697","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนศาสนธรรมวิทยา สวนพลู (อาคารเก่า)",10,130,642
"1698","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนศาสนธรรมวิทยา สวนพลู (อาคารเก่า)",11,175,690
"1699","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดอินทาราม (อาคาร 4 โรงอาหาร ชั้นล่าง)",12,141,655
"1700","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดราชคฤห์ (อาคาร 1 ชั้นล่าง)",13,166,668
"1701","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดราชคฤห์ (อาคาร 1 ชั้นล่าง)",14,195,674
"1702","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดโพธินิมิตร (อาคารราชสุธี)",15,199,649
"1703","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเรียนวัดโพธินิมิตร (อาคารราชสุธี)",16,176,684
"1704","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเจเซี่ยงเข่งตึ้ง ซอยเทอดไทย 21",17,188,602
"1705","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเจเซี่ยงเข่งตึ้ง ซอยเทอดไทย 21",18,165,553
"1706","เขตธนบุรี","1015","บางยี่เรือ",101503,"โรงเจเซี่ยงเข่งตึ้ง ซอยเทอดไทย 21",19,145,585
"1707","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในที่จอดรถข้างศาลเจ้าโอวเจี่ยะหยี่อาเนี้ยเก็ง ซอยเทอดไทย 21",20,151,615
"1708","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในที่จอดรถข้างศาลเจ้าโอวเจี่ยะหยี่อาเนี้ยเก็ง ซอยเทอดไทย 21",21,138,651
"1709","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์บริเวณที่ทำการชุมชนตากสินสัมพันธ์",22,219,655
"1710","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์บริเวณที่ทำการชุมชนตากสินสัมพันธ์",23,159,619
"1711","เขตธนบุรี","1015","บางยี่เรือ",101503,"หน้าศาลเจ้าเล่าปุนเถ้าก๋ง ซอยสมเด็จพระเจ้าตากสิน 4",24,119,398
"1712","เขตธนบุรี","1015","บางยี่เรือ",101503,"เต็นท์ในโรงงิ้วหน้าศาลเจ้าเล่าปุนเถ้าก๋ง ซอยสมเด็จพระเจ้าตากสิน 4",25,140,476
"1713","เขตธนบุรี","1015","บุคคโล",101504,"ใต้อาคารหอประชุมมูลนิธิสีมาสงเคราะห์",1,715,873
"1714","เขตธนบุรี","1015","บุคคโล",101504,"ใต้อาคารหอประชุมมูลนิธิสีมาสงเคราะห์",2,724,869
"1715","เขตธนบุรี","1015","บุคคโล",101504,"ใต้อาคารหอประชุมมูลนิธิสีมาสงเคราะห์",3,328,872
"1716","เขตธนบุรี","1015","บุคคโล",101504,"เต็นท์ปากซอยสมเด็จพระเจ้าตากสิน 12/1",4,248,561
"1717","เขตธนบุรี","1015","บุคคโล",101504,"เต็นท์ปากซอยสมเด็จพระเจ้าตากสิน 12/1",5,195,542
"1718","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 3",6,285,593
"1719","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 3",7,263,544
"1720","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 3",8,204,642
"1721","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 4",9,177,666
"1722","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 4",10,172,587
"1723","เขตธนบุรี","1015","บุคคโล",101504,"อาคารที่พักอาศัยส่วนกลาง กองทัพเรือ (บุคคโล) แฟลต 4",11,136,622
"1724","เขตธนบุรี","1015","บุคคโล",101504,"โรงเรียนวัดกระจับพินิจ (อาคาร 2 ชั้นล่าง)",12,210,768
"1725","เขตธนบุรี","1015","บุคคโล",101504,"โรงเรียนวัดกระจับพินิจ (อาคาร 2 ชั้นล่าง)",13,201,685
"1726","เขตธนบุรี","1015","บุคคโล",101504,"โรงเรียนวัดกระจับพินิจ (อาคาร 2 ชั้นล่าง)",14,306,769
"1727","เขตธนบุรี","1015","บุคคโล",101504,"โรงเรียนวัดกระจับพินิจ (อาคาร 3 ชั้นล่าง)",15,210,701
"1728","เขตธนบุรี","1015","บุคคโล",101504,"เต็นท์ที่จอดรถโรงพยาบาลสมเด็จพระปิ่นเกล้า (ข้างธนาคารทหารไทย)",16,121,575
"1729","เขตธนบุรี","1015","บุคคโล",101504,"เต็นท์ที่จอดรถโรงพยาบาลสมเด็จพระปิ่นเกล้า(ข้างธนาคารทหารไทย)",17,228,660
"1730","เขตธนบุรี","1015","บุคคโล",101504,"วัดสุทธาวาส (ศาลา 4 ชั้น)",18,532,869
"1731","เขตธนบุรี","1015","บุคคโล",101504,"วัดสุทธาวาส (ศาลา 4 ชั้น)",19,519,809
"1732","เขตธนบุรี","1015","ตลาดพลู",101505,"โรงเรียนธนบุรีวรเทพีพลารักษ์ (โรงอาหาร)",1,223,657
"1733","เขตธนบุรี","1015","ตลาดพลู",101505,"โรงเรียนธนบุรีวรเทพีพลารักษ์ (โรงอาหาร)",2,170,673
