"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1795","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารศูนย์บริการสาธารณสุข 33 วัดหงส์รัตนาราม",1,161,710
"1796","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม",2,99,449
"1797","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม",3,97,412
"1798","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่",4,184,538
"1799","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่",5,154,570
"1800","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก",6,123,545
"1801","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก",7,64,297
"1802","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก",8,2,319
"1803","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณที่จอดรถฌาปนสถานกองทัพเรือ(วัดเครือวัลย์)",9,48,190
"1804","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารโรงเรียนวัดนาคกลาง",10,100,426
"1805","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารโรงเรียนวัดนาคกลาง",11,121,471
"1806","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารโรงเรียนวัดนาคกลาง",12,104,448
"1807","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์ที่ว่างโรงเรียนทวีธาภิเศก",13,196,690
"1808","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์ในหมู่บ้านศิวาลัย (ระหว่างซอย 1-3)",14,132,443
"1809","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์ในหมู่บ้านศิวาลัย (ระหว่างซอย 1-3)",15,233,540
"1810","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารโรงเรียนวัดใหม่พิเรนทร์",16,168,571
"1811","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"อาคารโรงเรียนวัดใหม่พิเรนทร์",17,132,534
"1812","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ปากซอยอิสรภาพ 23)",18,113,393
"1813","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ปากซอยอิสรภาพ 23)",19,132,496
"1814","เขตบางกอกใหญ่","1016","วัดอรุณ",101601,"เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ด้านในซอยอิสรภาพ 34)",20,139,454
"1815","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"ฌาปนสถาน วัดราชสิทธารามฯ",1,140,667
"1816","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"ฌาปนสถาน วัดราชสิทธารามฯ",2,161,628
"1817","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"เต็นท์บริเวณฌาปนสถาน วัดราชสิทธารามฯ",3,191,615
"1818","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"ลานศาลาอุดมชัยพัฒนกิจ วัดราชสิทธารามฯ",4,199,690
"1819","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"อาคารโรงเรียนชาตศึกษา",5,276,775
"1820","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"อาคารโรงเรียนชาตศึกษา",6,236,769
"1821","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"อาคารโรงเรียนชาตศึกษา",7,161,660
"1822","เขตบางกอกใหญ่","1016","วัดท่าพระ",101602,"เต็นท์บริเวณสนามโรงเรียนชาตศึกษา",8,202,554
