"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"1888","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9",1,454,645
"1889","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9",2,414,685
"1890","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9",3,497,656
"1891","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9",4,453,540
"1892","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9",5,578,708
"1893","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก",6,230,600
"1894","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก",7,426,599
"1895","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก",8,415,673
"1896","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก",9,630,731
"1897","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก",10,527,630
"1898","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถ แมนชั่นเซเว่น ถนนรัชดาภิเษก",11,220,648
"1899","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3",12,288,623
"1900","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3",13,355,692
"1901","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3",14,199,507
"1902","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"ลานจอดรถ ฐมศรแมนชั่น ซอยประชาราษฎร์บำเพ็ญ 14",15,325,731
"1903","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ปากซอยประชาราษฎร์บำเพ็ญ 6 ย้ายมาจาก(ลานจอดรถ โรงแรมรัชดาซิตี้ ซอยประชาราษฎร์บำเพ็ญ 6)",16,183,490
"1904","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ปากซอยประชาราษฎร์บำเพ็ญ 6ย้ายมาจาก(ลานจอดรถ โรงแรมรัชดาซิตี้ ซอยประชาราษฎร์บำเพ็ญ 6)",17,238,617
"1905","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานกีฬา สวนราษฎร์บำเพ็ญ ซอยประชาราษฎร์บำเพ็ญ 11",18,231,683
"1906","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานกีฬา สวนราษฎร์บำเพ็ญ ซอยประชาราษฎร์บำเพ็ญ 9",19,251,783
"1907","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถฝ่ายรักษาความสะอาดและสวนสาธารณะ(ย้ายมาจาก เต็นท์ร้านออโต้ โทรนิค)",20,201,506
"1908","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถฝ่ายรักษาความสะอาดและสวนสาธารณะ (ย้ายมาจาก เต็นท์ร้านออโต้ โทรนิค)",21,289,684
"1909","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"ลานจอดรถ ดิ โอเอซิส ซอย 20 มิถุนา 11",22,254,617
"1910","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถเซเว่นอีเลฟเว่น ถนนประชาอุทิศ",23,391,588
"1911","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถเซเว่นอีเลฟเว่น ถนนประชาอุทิศ",24,506,649
"1912","เขตห้วยขวาง","1017","ห้วยขวาง",101701,"เต็นท์ลานจอดรถเซเว่นอีเลฟเว่น ถนนประชาอุทิศ",25,227,569
