"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2003","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าสวนป่าฯ  เชิงสะพานพระปกเกล้า",1,128,400
"2004","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าสวนป่าฯ เชิงสะพานพระปกเกล้า",2,116,414
"2005","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนบำรุงวิชา ซอยช่างนาค",3,119,429
"2006","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนบำรุงวิชา ซอยช่างนาค",4,141,447
"2007","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนบำรุงวิชา ซอยช่างนาค",5,184,634
"2008","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนสตรีวุฑฒิศึกษา (เดิม) ซอยสมเด็จเจ้าพระยา 5",6,102,376
"2009","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนสตรีวุฑฒิศึกษา  (เดิม) ซอยสมเด็จเจ้าพระยา 5",7,120,484
"2010","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าศาลเจ้าซำไนเก็ง  ถนนท่าดินแดง",8,126,386
"2011","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าศาลเจ้าซำไนเก็ง  ถนนท่าดินแดง",9,110,371
"2012","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนวัดพิชัยญาติ",10,136,445
"2013","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12",11,161,522
"2014","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12",12,136,489
"2015","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12",13,201,544
"2016","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าบ้านเลขที่ 73 - 81  ซอยท่าดินแดง 3",14,141,493
"2017","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าบ้านเลขที่ 73 - 81  ซอยท่าดินแดง 3",15,127,424
"2018","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าธนาคารอาคารสงเคราะห์ สาขาสี่แยกบ้านแขก ซอยอิสรภาพ 10",16,159,437
"2019","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนพัฒนาวิทยา  ถนนอิสรภาพ",17,158,520
"2020","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"โรงเรียนพัฒนาวิทยา  ถนนอิสรภาพ",18,225,644
"2021","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์ปากซอยสารภี 2  ถนนประชาธิปก",19,127,346
"2022","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์ข้างห้างแพลตฟอร์ม  ถนนลาดหญ้า",20,142,398
"2023","เขตคลองสาน","1018","สมเด็จเจ้าพระยา",101801,"เต็นท์หน้าชุมสายโทรศัพท์  ถนนลาดหญ้า",21,118,337
"2024","เขตคลองสาน","1018","คลองสาน",101802,"โรงเรียนวัดทองธรรมชาติ",1,121,364
"2025","เขตคลองสาน","1018","คลองสาน",101802,"โรงเรียนวัดทองธรรมชาติ",2,141,513
"2026","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ",3,143,473
"2027","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ",4,166,563
"2028","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ",5,176,504
"2029","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ",6,117,457
"2030","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ",7,149,573
"2031","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์ในวิทยาลัยสารพัดช่างธนบุรี  ถนนเชียงใหม่",8,108,380
"2032","เขตคลองสาน","1018","คลองสาน",101802,"โรงเรียนวัดทองนพคุณ",9,217,676
"2033","เขตคลองสาน","1018","คลองสาน",101802,"โรงเรียนวัดทองนพคุณ",10,118,465
"2034","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์หน้าธนาคารทหารไทยธนชาต  สาขาลาดหญ้า",11,172,387
"2035","เขตคลองสาน","1018","คลองสาน",101802,"โรงจอดรถสำนักการศึกษา",12,160,522
"2036","เขตคลองสาน","1018","คลองสาน",101802,"โรงจอดรถสำนักการศึกษา",13,84,332
"2037","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์บริเวณสามเหลี่ยมลาดหญ้า",14,175,508
"2038","เขตคลองสาน","1018","คลองสาน",101802,"ที่จอดรถธนาคารไทยพาณิชย์  สาขาลาดหญ้า",15,199,544
"2039","เขตคลองสาน","1018","คลองสาน",101802,"ที่จอดรถธนาคารไทยพาณิชย์  สาขาลาดหญ้า",16,168,488
"2040","เขตคลองสาน","1018","คลองสาน",101802,"โถงใต้อาคารบริษัท เอี่ยมกิจ เทรดดิ้ง จำกัด ฝั่งซอยเจริญรัถ 3",17,157,500
"2041","เขตคลองสาน","1018","คลองสาน",101802,"เต็นท์บริเวณลาดจอดรถโรงเรียนผดุงกิจวิทยา (เดิม)  ถนนเจริญรัถ",18,116,312
"2042","เขตคลองสาน","1018","คลองสาน",101802,"ศูนย์เยาวชน (กระจ่างบริรักษ์นิติเกษตร)  ถนนสมเด็จเจ้าพระยา",19,97,320
"2043","เขตคลองสาน","1018","คลองสาน",101802,"ศูนย์เยาวชน (กระจ่างบริรักษ์นิติเกษตร) ถนนสมเด็จเจ้าพระยา",20,101,349
"2044","เขตคลองสาน","1018","บางลำภูล่าง",101803,"โรงเรียนอนุบาลศันสนีย์  ซอยเจริญนคร 23",1,148,331
"2045","เขตคลองสาน","1018","บางลำภูล่าง",101803,"เต็นท์หน้าร้าน ส.สมบูรณ์ออกซิเจน (ข้างโรงเลื่อยเกษตร) ถนนเจริญนคร",2,143,355
"2046","เขตคลองสาน","1018","บางลำภูล่าง",101803,"เต็นท์หน้าร้าน ส.สมบูรณ์ออกซิเจน (ข้างโรงเลื่อยเกษตร)ถนนเจริญนคร",3,100,348
"2047","เขตคลองสาน","1018","บางลำภูล่าง",101803,"ห้องประชุมโรงเรียนวัดเศวตฉัตร",4,108,572
"2048","เขตคลองสาน","1018","บางลำภูล่าง",101803,"ห้องประชุมโรงเรียนวัดเศวตฉัตร",5,114,378
"2049","เขตคลองสาน","1018","บางลำภูล่าง",101803,"ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35",6,475,685
"2050","เขตคลองสาน","1018","บางลำภูล่าง",101803,"ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35",7,155,448
"2051","เขตคลองสาน","1018","บางลำภูล่าง",101803,"ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35",8,169,493
