"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2107","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"ศาลาการเปรียญวัดตลิ่งชัน",1,153,505
"2108","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"ศาลาการเปรียญวัดตลิ่งชัน",2,264,619
"2109","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"ศาลาการเปรียญวัดตลิ่งชัน",3,153,570
"2110","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดช่างเหล็ก",4,171,574
"2111","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดช่างเหล็ก",5,168,544
"2112","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"เต็นท์ข้างศาลาแดงในวัดรัชฎาธิษฐานราชวรวิหาร (วัดเงิน)",6,295,545
"2113","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"เต็นท์ข้างศาลาแดงในวัดรัชฎาธิษฐานราชวรวิหาร (วัดเงิน)",7,229,553
"2114","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"เต็นท์ข้างศาลาแดงในวัดรัชฎาธิษฐานราชวรวิหาร (วัดเงิน)",8,193,526
"2115","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดรัชฎาธิฐาน",9,130,548
"2116","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดรัชฎาธิฐาน",10,175,528
"2117","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดรัชฎาธิฐาน",11,187,493
"2118","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดรัชฎาธิฐาน",12,179,500
"2119","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดปากน้ำฝั่งเหนือ",13,255,474
"2120","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"โรงเรียนวัดปากน้ำฝั่งเหนือ",14,122,411
"2121","เขตตลิ่งชัน","1019","คลองชักพระ",101901,"เต็นท์หน้าร้านดวงเดือน",15,149,447
"2122","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณวัดนครป่าหมาก (ถนนชัยพฤกษ์)",1,168,527
"2123","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณวัดนครป่าหมาก (ถนนชัยพฤกษ์)",2,148,512
"2124","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณวัดนครป่าหมาก (ถนนชัยพฤกษ์)",3,150,474
"2125","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณวัดนครป่าหมาก (ถนนชัยพฤกษ์)",4,153,518
"2126","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดไก่เตี้ย",5,331,640
"2127","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดไก่เตี้ย",6,447,679
"2128","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ด้านข้าง 7 - ELEVEN สาขาชัยพฤกษ์ ซอย 9",7,217,556
"2129","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ด้านข้าง 7 - ELEVEN สาขาชัยพฤกษ์ ซอย 9",8,167,529
"2130","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ด้านข้าง 7 - ELEVEN สาขาชัยพฤกษ์ ซอย 9",9,194,556
"2131","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดชัยพฤกษมาลา",10,149,547
"2132","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดชัยพฤกษมาลา",11,210,563
"2133","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดชัยพฤกษมาลา",12,160,558
"2134","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดชัยพฤกษมาลา",13,185,571
"2135","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดชัยพฤกษมาลา",14,187,599
"2136","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ในโรงเรียนวัดชัยพฤกษมาลา",15,187,580
"2137","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวรรัตน์ศึกษา",16,161,545
"2138","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวรรัตน์ศึกษา",17,160,521
"2139","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณลานจอดรถสำนักงานขนส่งกรุงเทพมหานคร พื้นที่ 2 (ซอยสวนผัก 4)",18,151,577
"2140","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณลานจอดรถสำนักงานขนส่งกรุงเทพมหานคร พื้นที่ 2 (ซอยสวนผัก 4)",19,131,540
"2141","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์บริเวณลานจอดรถสำนักงานขนส่งกรุงเทพมหานคร พื้นที่ 2 (ซอยสวนผัก 4)",20,197,555
"2142","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดตลิ่งชัน",21,188,506
"2143","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดตลิ่งชัน",22,178,529
"2144","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดตลิ่งชัน",23,220,510
"2145","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดตลิ่งชัน",24,122,469
"2146","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนวัดตลิ่งชัน",25,147,581
"2147","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",26,217,534
"2148","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",27,204,620
"2149","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",28,163,585
"2150","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",29,185,583
"2151","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",30,228,581
"2152","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"หอประชุมมูลนิธิร่วมใจธรรม (ซอยสวนผัก 19)",31,184,550
"2153","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนชุมทางตลิ่งชัน",32,171,594
"2154","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"โรงเรียนชุมทางตลิ่งชัน",33,176,618
"2155","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์สถานีบริการน้ำมันบางจากราชพฤกษ์-สวนผัก (ซอยราชพฤกษ์19)",34,224,476
"2156","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์สถานีบริการน้ำมันบางจากราชพฤกษ์-สวนผัก (ซอยราชพฤกษ์19)",35,202,451
"2157","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ที่จอดรถรุ่งเจริญเมทัลชีท (ซอยราชพฤกษ์ 26)",36,163,458
"2158","เขตตลิ่งชัน","1019","ตลิ่งชัน",101902,"เต็นท์ที่จอดรถรุ่งเจริญเมทัลชีท (ซอยราชพฤกษ์ 26)",37,166,443
"2159","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"ศาลาเฉลิมพระเกียรติวัดมณฑป",1,161,500
"2160","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"ศาลาเฉลิมพระเกียรติวัดมณฑป",2,121,489
"2161","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"ศาลาเฉลิมพระเกียรติวัดมณฑป",3,138,512
"2162","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"โรงเรียนมหรรณพาราม",4,234,585
"2163","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"โรงเรียนมหรรณพาราม",5,183,550
"2164","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"โรงเรียนมหรรณพาราม",6,187,557
"2165","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"อาคารหอพักรัชดาภิเษก ซอยบรมราชชนนี 46 (ซอยฉิมพลี 11)",7,191,618
"2166","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"อาคารหอพักรัชดาภิเษก ซอยบรมราชชนนี 46 (ซอยฉิมพลี 11)",8,219,601
"2167","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"เต็นท์ลานจอดรถพรมลิขิต แบดมินตัน (ถนนบรมราชชนนี)",9,236,597
"2168","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"เต็นท์ลานจอดรถพรมลิขิต แบดมินตัน (ถนนบรมราชชนนี)",10,188,590
"2169","เขตตลิ่งชัน","1019","ฉิมพลี",101903,"โรงรับส่งพัสดุภัณฑ์ที่ทำการไปรษณีย์ตลิ่งชัน (ถนนบรมราชชนนี)",11,210,564
