"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2259","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์",1,27,506
"2260","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์",2,171,531
"2261","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์",3,139,506
"2262","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์",4,124,515
"2263","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนสตรีวัดระฆัง ซอยวัดระฆัง ถนนอรุณอมรินทร์",5,195,630
"2264","เขตบางกอกน้อย","1020","ศิริราช",102004,"เต็นท์โรงเรียนสตรีวัดระฆัง ซอยวัดระฆัง ถนนอรุณอมรินทร์",6,193,614
"2265","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32",7,117,519
"2266","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32",8,105,513
"2267","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32",9,118,505
"2268","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32",10,105,488
"2269","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนสุวรรณารามวิทยาคม ซอยจรัญสนิทวงศ์ 32",11,200,690
"2270","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนสุวรรณารามวิทยาคม ซอยจรัญสนิทวงศ์ 32",12,156,689
"2271","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดวิเศษการ ซอยวัดวิเศษการ ถนนวังหลัง",13,172,523
"2272","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดวิเศษการ ซอยวัดวิเศษการ ถนนวังหลัง",14,168,533
"2273","เขตบางกอกน้อย","1020","ศิริราช",102004,"โรงเรียนวัดวิเศษการ ซอยวัดวิเศษการ ถนนวังหลัง",15,154,539
"2274","เขตบางกอกน้อย","1020","ศิริราช",102004,"ศาลาวัดฉิมทายกาวาส ถนนรถไฟ",16,177,543
"2275","เขตบางกอกน้อย","1020","ศิริราช",102004,"เต็นท์บริเวณหน้าบ้านเลขที่ 488 ถนนอิสรภาพ",17,110,438
