"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2390","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดเลา",1,252,674
"2391","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดเลา",2,254,632
"2392","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดเลา",3,275,662
"2393","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดเลา",4,292,711
"2394","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณวัดเลา",5,207,607
"2395","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณวัดเลา",6,267,639
"2396","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณวัดเลา",7,258,613
"2397","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดกก",8,285,878
"2398","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"ศาลาวัดบัวผัน",9,225,864
"2399","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",10,434,897
"2400","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",11,390,907
"2401","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",12,325,848
"2402","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",13,249,772
"2403","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",14,257,771
"2404","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",15,272,776
"2405","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",16,400,967
"2406","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",17,324,774
"2407","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"โรงเรียนวัดท่าข้าม",18,266,759
"2408","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์หน้าศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 1ซอยอนามัยงามเจริญ 31",19,330,691
"2409","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์หน้าศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 1ซอยอนามัยงามเจริญ 31",20,348,752
"2410","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์หน้าศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 1ซอยอนามัยงามเจริญ 31",21,349,729
"2411","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"ในศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 2ซอยอนามัยงามเจริญ 31",22,313,676
"2412","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"ในศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 2ซอยอนามัยงามเจริญ 31",23,335,693
"2413","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"ในศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 2ซอยอนามัยงามเจริญ 31",24,344,684
"2414","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"ในศูนย์ชุมชนบ้านเอื้ออาทรบางขุนเทียนโครงการ 2ซอยอนามัยงามเจริญ 31",25,334,695
"2415","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณสวนหย่อมในหมู่บ้านสินทวีการ์เด้นท์",26,251,695
"2416","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณสวนหย่อมในหมู่บ้านสินทวีการ์เด้นท์",27,232,621
"2417","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณที่ว่างปากทางเข้าหมู่บ้านสินทวีงามเจริญ",28,220,596
"2418","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณที่ว่างปากทางเข้าหมู่บ้านสินทวีงามเจริญ",29,223,604
"2419","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณที่ว่างปากทางเข้าหมู่บ้านสินทวีงามเจริญ",30,260,727
"2420","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณที่ว่างปากทางเข้าหมู่บ้านสินทวีงามเจริญ",31,246,719
"2421","เขตบางขุนเทียน","1021","ท่าข้าม",102105,"เต็นท์บริเวณหน้าแกรนด์วิลเลจสปอร์ตคลับในหมู่บ้านสินทวีแกรนด์วิลเลจ",32,187,549
