"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2581","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดอ่างแก้ว",1,199,527
"2582","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดอ่างแก้ว",2,148,527
"2583","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดโคนอน",3,165,615
"2584","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดโคนอน",4,174,640
"2585","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดโคนอน",5,162,601
"2586","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดโคนอน",6,154,593
"2587","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดรางบัว",7,207,615
"2588","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดรางบัว",8,244,587
"2589","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดรางบัว",9,158,575
"2590","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดรางบัว",10,150,566
"2591","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงเรียนวัดรางบัว",11,171,634
"2592","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงจอดรถตรงข้ามซอยเทอดไท 77 แยก 1 (สวนอาหารส้มโอ)",12,193,521
"2593","เขตภาษีเจริญ","1022","บางหว้า",102201,"โรงจอดรถตรงข้ามซอยเทอดไท 77 แยก 1 (สวนอาหารส้มโอ)",13,184,511
"2594","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค",14,225,622
"2595","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค",15,234,611
"2596","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค",16,206,577
"2597","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค",17,177,618
"2598","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4",18,265,848
"2599","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4",19,392,851
"2600","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4",20,389,814
"2601","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",21,230,609
"2602","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",22,189,567
"2603","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",23,190,555
"2604","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",24,196,590
"2605","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",25,199,565
"2606","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",26,166,506
"2607","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",27,207,567
"2608","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",28,194,595
"2609","เขตภาษีเจริญ","1022","บางหว้า",102201,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7",29,169,559
"2610","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์ปั๊มน้ำมัน ปตท. ถนนกัลปพฤกษ์",30,155,411
"2611","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์ข้างสำนักงาน เมโทร พาร์ค สาทร ถนนกัลปพฤกษ์",31,487,644
"2612","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์ข้างสำนักงาน เมโทร พาร์ค สาทร ถนนกัลปพฤกษ์",32,447,609
"2613","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์ข้างสำนักงาน เมโทร พาร์ค สาทร ถนนกัลปพฤกษ์",33,465,652
"2614","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์ข้างสำนักงาน เมโทร พาร์ค สาทร ถนนกัลปพฤกษ์",34,440,662
"2615","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าอาคารมัลเบอรี่เพลส (ใกล้ซอยเพชรเกษม 42)",35,531,780
"2616","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าอาคารมัลเบอรี่เพลส (ใกล้ซอยเพชรเกษม 42)",36,251,801
"2617","เขตภาษีเจริญ","1022","บางหว้า",102201,"เต็นท์หน้าเดอะคีย์คอนโด ปากซอยเพชรเกษม 46/2",37,154,458
