"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2757","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ทางเข้าหมู่บ้านพุทธชาด (ซอยเพชรเกษม 81)",1,355,791
"2758","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ทางเข้าหมู่บ้านพุทธชาด (ซอยเพชรเกษม 81)",2,288,703
"2759","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ทางเข้าหมู่บ้านพุทธชาด (ซอยเพชรเกษม 81)",3,264,673
"2760","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาชุมชนหรรษา 1 (ซอยเพชรเกษม 81)",4,216,661
"2761","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาชุมชนหรรษา 1 (ซอยเพชรเกษม 81)",5,136,573
"2762","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาชุมชนหรรษา 1 (ซอยเพชรเกษม 81)",6,175,683
"2763","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์หน้าสโมสรหมู่บ้านชัยพฤกษ์ (ซอยเพชรเกษม 81)",7,353,820
"2764","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาหมู่บ้านพุดตาน (ซอยเพชรเกษม 81)",8,290,740
"2765","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาหมู่บ้านพุดตาน (ซอยเพชรเกษม 81)",9,279,736
"2766","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาหมู่บ้านพุดตาน (ซอยเพชรเกษม 81)",10,270,763
"2767","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาหมู่บ้านพุดตาน (ซอยเพชรเกษม 81)",11,286,742
"2768","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานจอดรถเพชรเอกชัยพลาซ่า (ซอยเพชรเกษม 81)",12,405,902
"2769","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานจอดรถเพชรเอกชัยพลาซ่า (ซอยเพชรเกษม 81)",13,343,865
"2770","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานจอดรถเพชรเอกชัยพลาซ่า (ซอยเพชรเกษม 81)",14,247,830
"2771","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์หน้าซอยเลียบฯ ฝั่งเหนือ 9",15,193,736
"2772","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์หน้าซอยเลียบฯ ฝั่งเหนือ 9",16,264,715
"2773","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาบ้านเอื้ออาทร (ซอยเลียบฯ ฝั่งเหนือ 34)",17,350,794
"2774","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาบ้านเอื้ออาทร (ซอยเลียบฯ ฝั่งเหนือ 34)",18,350,762
"2775","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาบ้านเอื้ออาทร (ซอยเลียบฯ ฝั่งเหนือ 34)",19,350,754
"2776","เขตหนองแขม","1023","หนองแขม",102302,"เต็นท์ลานกีฬาบ้านเอื้ออาทร (ซอยเลียบฯ ฝั่งเหนือ 34)",20,368,845
"2777","เขตหนองแขม","1023","หนองแขม",102302,"โรงเรียนวัดหนองแขม (ถนนเลียบคลองภาษีเจริญฝั่งใต้)",21,237,707
"2778","เขตหนองแขม","1023","หนองแขม",102302,"โรงเรียนวัดหนองแขม (ถนนเลียบคลองภาษีเจริญฝั่งใต้)",22,264,776
"2779","เขตหนองแขม","1023","หนองแขม",102302,"โรงเรียนวัดหนองแขม (ถนนเลียบคลองภาษีเจริญฝั่งใต้)",23,263,744
