"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"2925","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"ห้องสันทนาการภายในอาคารชุด แชปเตอร์วัน โมเดิร์นดัทช์ ถนนราษฎร์บูรณะ",1,574,681
"2926","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"โรงเรียนวัดแจงร้อน (โรงอาหาร)",2,120,529
"2927","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"โรงเรียนวัดแจงร้อน (โรงอาหาร)",3,151,592
"2928","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณหน้าอาคารสำนักงานการไฟฟ้านครหลวง เขตราษฎร์บูรณะ",4,248,715
"2929","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณหน้าอาคารสำนักงานการไฟฟ้านครหลวง เขตราษฎร์บูรณะ",5,231,687
"2930","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"ศาลาวัดสน",6,281,545
"2931","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"ศาลาวัดสน",7,206,674
"2932","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"ศาลาวัดสน",8,182,626
"2933","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"โรงเรียนวัดสน (สนามกีฬาในร่ม)",9,195,575
"2934","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"โรงเรียนวัดสน (สนามกีฬาในร่ม)",10,176,592
"2935","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"โรงเรียนวัดสน (สนามกีฬาในร่ม)",11,156,539
"2936","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณแฟลตสมฤดี กลางซอยราษฎร์บูรณะ 26",12,188,667
"2937","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณแฟลตสมฤดี กลางซอยราษฎร์บูรณะ 26",13,148,618
"2938","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณสถานีดับเพลิงและกู้ภัยราษฎร์บูรณะ ปากซอยราษฎร์บูรณะ 22",14,166,590
"2939","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณสถานีดับเพลิงและกู้ภัยราษฎร์บูรณะ ปากซอยราษฎร์บูรณะ 22",15,151,598
"2940","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณฝ่ายรักษาความสะอาดฯ ใกล้ปากซอยราษฎร์บูรณะ 22",16,139,674
"2941","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณฝ่ายรักษาความสะอาดฯ ใกล้ปากซอยราษฎร์บูรณะ 22",17,148,446
"2942","เขตราษฎร์บูรณะ","1024","ราษฎร์บูรณะ",102401,"เต็นท์บริเวณฝ่ายรักษาความสะอาดฯ ใกล้ปากซอยราษฎร์บูรณะ 22",18,141,453
