"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3026","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์หน้าโรงแรมรอยัลริเวอร์",1,320,752
"3027","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์หน้าโรงแรมรอยัลริเวอร์",2,232,638
"3028","เขตบางพลัด","1025","บางพลัด",102501,"วิทยาลัยสารพัดช่างนครหลวง (ซอยจรัญสนิทวงศ์ 68)",3,227,594
"3029","เขตบางพลัด","1025","บางพลัด",102501,"วิทยาลัยสารพัดช่างนครหลวง (ซอยจรัญสนิทวงศ์ 68 )",4,182,676
"3030","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนวัดเทพากร",5,150,534
"3031","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนวัดเทพากร",6,111,495
"3032","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนวัดอาวุธวิกสิตาราม",7,120,407
"3033","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนวัดอาวุธวิกสิตาราม",8,98,414
"3034","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์หน้าสำนักงานคณะวิทยาศาสตร์และเทคโนโลยีอาคารกรุงธนเมืองแก้ว ถนนสิรินธร",9,179,461
"3035","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์หน้าสำนักงานคณะวิทยาศาสตร์และเทคโนโลยีอาคารกรุงธนเมืองแก้ว ถนนสิริธร",10,188,506
"3036","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์บริเวณลานจอดรถออฟฟิศเมท (ใกล้ซอยจรัสลาภ ถนนสิรินธร)",11,257,714
"3037","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์บริเวณลานจอดรถออฟฟิศเมท (ใกล้ซอยจรัสลาภ ถนนสิรินธร)",12,309,694
"3038","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนพิมลวิทย์",13,225,606
"3039","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนพิมลวิทย์",14,189,540
"3040","เขตบางพลัด","1025","บางพลัด",102501,"วิทยาลัยเทคโนโลยีไทยอาชีวศึกษา  (ซอยจรัญสนิทวงศ์ 71)",15,254,713
"3041","เขตบางพลัด","1025","บางพลัด",102501,"วิทยาลัยเทคโนโลยีไทยอาชีวศึกษา  (ซอยจรัญสนิทวงศ์ 71)",16,225,638
"3042","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนบูรณวิทย์",17,194,555
"3043","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนบูรณวิทย์",18,187,688
"3044","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนบูรณวิทย์",19,235,639
"3045","เขตบางพลัด","1025","บางพลัด",102501,"โรงเรียนบูรณวิทย์",20,204,584
"3046","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์ในบริเวณวัดเพลง",21,186,559
"3047","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์ในบริเวณวัดเพลง",22,203,579
"3048","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์ในบริเวณวัดเพลง",23,197,598
"3049","เขตบางพลัด","1025","บางพลัด",102501,"เต็นท์ในบริเวณวัดเพลง",24,149,505
