"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3143","เขตดินแดง","1026","ดินแดง",102601,"สมาคมศูนย์กลางเทวา ซอยประชาสงเคราะห์ 24",1,243,805
"3144","เขตดินแดง","1026","ดินแดง",102601,"ที่จอดรถใต้อาคารธนาคารกสิกรไทย สาขาห้วยขวาง",2,251,682
"3145","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพร้อมพรรณวิทยา",3,259,761
"3146","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพร้อมพรรณวิทยา",4,193,654
"3147","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพร้อมพรรณวิทยา",5,180,540
"3148","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพณิชยการจำนงค์ (หอประชุม)",6,232,662
"3149","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพณิชยการจำนงค์ (หอประชุม)",7,224,624
"3150","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนพณิชยการจำนงค์ (หอประชุม)",8,197,618
"3151","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 24 ดินแดง ถนนมิตรไมตรี",9,252,713
"3152","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 28 ดินแดง ถนนมิตรไมตรี",10,261,776
"3153","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลตแปลง G ถนนมิตรไมตรี",11,184,456
"3154","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลตแปลง G ถนนมิตรไมตรี",12,166,448
"3155","เขตดินแดง","1026","ดินแดง",102601,"ศาลาหน้าหอพระแฟลต ช.1",13,308,847
"3156","เขตดินแดง","1026","ดินแดง",102601,"เต็นท์บริเวณสวนเคหะชุมชนดินแดง 2",14,290,805
"3157","เขตดินแดง","1026","ดินแดง",102601,"เต็นท์บริเวณสวนเคหะชุมชนดินแดง 2",15,285,778
"3158","เขตดินแดง","1026","ดินแดง",102601,"ศาลาหอพระพุทธพาณิชย์ แฟลต ช.5",16,221,638
"3159","เขตดินแดง","1026","ดินแดง",102601,"ศาลาหอพระพุทธพาณิชย์ แฟลต ช.5",17,221,630
"3160","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 33 ดินแดง ถนนประชาสงเคราะห์",18,284,722
"3161","เขตดินแดง","1026","ดินแดง",102601,"ศาลาหน้าหอพระแฟลต 40 ดินแดง ถนนประชาสงเคราะห์",19,269,722
"3162","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 40 ดินแดง ถนนประชาสงเคราะห์",20,320,847
"3163","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 40 ดินแดง ถนนประชาสงเคราะห์",21,321,804
"3164","เขตดินแดง","1026","ดินแดง",102601,"บริเวณใต้อาคารแฟลต 44 ดินแดง ถนนประชาสงเคราะห์",22,268,794
"3165","เขตดินแดง","1026","ดินแดง",102601,"เต็นท์บริเวณแฟลต 48 - 50 ถนนประชาสงเคราะห์",23,266,831
"3166","เขตดินแดง","1026","ดินแดง",102601,"เต็นท์บริเวณแฟลต 52 - 54 ถนนประชาสงเคราะห์",24,213,654
"3167","เขตดินแดง","1026","ดินแดง",102601,"โรงเรียนวิชูทิศ ถนนประชาสงเคราะห์",25,263,669
