"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3279","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณแฟลตข้าราชการและลูกจ้างเขตบึงกุ่ม",1,173,436
"3280","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณแฟลตข้าราชการและลูกจ้างเขตบึงกุ่ม",2,219,417
"3281","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",3,323,654
"3282","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",4,338,661
"3283","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",5,317,655
"3284","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",6,329,634
"3285","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"ศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",7,345,653
"3286","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",8,302,577
"3287","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",9,317,575
"3288","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม",10,307,571
"3289","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่ม ระหว่างตึก 60-62",11,338,665
"3290","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62",12,336,673
"3291","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62",13,333,683
"3292","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62",14,333,685
"3293","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (ลานราชพฤกษ์) ซอยเสรีไทย 41",15,181,750
"3294","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (ลานราชพฤกษ์) ซอยเสรีไทย 41",16,181,759
"3295","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (สนามเปตอง) ซอยเสรีไทย 41",17,267,838
"3296","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านวังทองวิลเลจ 1 ซอยเสรีไทย 41",18,273,753
"3297","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านวังทองวิลเลจ 1ซอยเสรีไทย 41",19,281,730
"3298","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนคลองกุ่ม (เสรีไทย อนุสรณ์) ซอยเสรีไทย 53",20,485,926
"3299","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนคลองกุ่ม (เสรีไทย อนุสรณ์) ซอยเสรีไทย 53",21,262,908
"3300","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",22,297,866
"3301","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",23,308,860
"3302","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",24,308,829
"3303","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเทนนิส (สวนเฟต 5) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",25,282,795
"3304","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเทนนิส (สวนเฟต 5) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",26,260,798
"3305","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเทนนิส (สวนเฟต 5) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57",27,262,815
"3306","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"อาคารอเนกประสงค์ชุมชนอัสสลาม ซอยเสรีไทย 24",28,141,721
"3307","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนชินวร ซอยเสรีไทย 12",29,384,730
"3308","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนชินวร ซอยเสรีไทย 12",30,406,695
"3309","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนชินวร ซอยเสรีไทย 12",31,261,693
"3310","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนชินวร ซอยเสรีไทย 12",32,268,661
"3311","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนชินวร ซอยเสรีไทย 12",33,255,665
"3312","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหมู่บ้านเสริมสุข ซอยเสรีไทย 23",34,402,850
"3313","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",35,155,644
"3314","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",36,210,651
"3315","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",37,232,659
"3316","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",38,193,673
"3317","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",39,279,638
"3318","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนพิชัยพัฒนา ถนนเสรีไทย",40,281,633
"3319","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณอาคารชุดเคหะบางกะปิ2 ซอยนวมินทร์ 24 แยก 1",41,382,695
"3320","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณอาคารชุดเคหะบางกะปิ2 ซอยนวมินทร์ 24 แยก 1",42,363,691
"3321","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณด้านข้างสโมสรหมู่บ้านศรีนครพัฒนา ซอยศรีนคร (นวมินทร์ 24)",43,251,664
"3322","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณด้านข้างสโมสรหมู่บ้านศรีนครพัฒนา ซอยศรีนคร (นวมินทร์ 24)",44,222,648
"3323","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหมู่บ้านศรีนครพัฒนา (ปากซอยอุเทน 17) ซอยนวมินทร์ 24",45,156,601
"3324","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหมู่บ้านศรีนครพัฒนา (ปากซอยอุเทน 17) ซอยนวมินทร์ 24",46,210,599
"3325","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหมู่บ้านศรีนครพัฒนา (ปากซอยอุเทน 17) ซอยนวมินทร์ 24",47,216,600
"3326","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณศูนย์พัฒนาเด็กเล็กชุมชนสามัคคีพัฒนา (ซอยบุญส่งโสพิศ) ซอยนวมินทร์ 26",48,196,611
"3327","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณศูนย์พัฒนาเด็กเล็กชุมชนสามัคคีพัฒนา (ซอยบุญส่งโสพิศ)ซอยนวมินทร์ 26",49,221,621
"3328","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",50,415,989
"3329","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",51,367,1005
"3330","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",52,405,980
"3331","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",53,340,949
"3332","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",54,702,946
"3333","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณที่ว่างข้างธนาคารกสิกรไทย ระหว่างซอยนวมินทร์ 36-38",55,585,991
"3334","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณที่จอดรถลานอเนกประสงค์หมู่บ้านสุวรรณนิเวศน์ซอยนวมินทร์ 42",56,450,943
"3335","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณที่จอดรถลานอเนกประสงค์หมู่บ้านสุวรรณนิเวศน์ซอยนวมินทร์ 42",57,316,940
"3336","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณที่จอดรถลานอเนกประสงค์หมู่บ้านสุวรรณนิเวศน์ซอยนวมินทร์ 42",58,305,962
"3337","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"บริเวณที่จอดรถลานอเนกประสงค์หมู่บ้านสุวรรณนิเวศน์ซอยนวมินทร์ 42",59,452,962
"3338","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านสินธนากรีนวิลล์ (ซอยจำเป็น)ซอยนวมินทร์ 50",60,293,755
"3339","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านสินธนากรีนวิลล์ (ซอยจำเป็น)ซอยนวมินทร์ 50",61,300,801
"3340","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนวัดบางเตย ซอยนวมินทร์ 62",62,287,596
"3341","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนวัดบางเตย ซอยนวมินทร์ 62",63,213,580
"3342","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าอาคารหมู่บ้านธนะสิน ซอยนวมินทร์ 66",64,277,697
"3343","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าอาคารหมู่บ้านธนะสิน ซอยนวมินทร์ 66",65,272,699
"3344","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าอาคารหมู่บ้านธนะสิน ซอยนวมินทร์ 66",66,254,698
"3345","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณหน้าอาคารหมู่บ้านธนะสิน ซอยนวมินทร์ 66",67,276,713
"3346","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านกรุงเทพเสริมมิตรซอยนวมินทร์ 68 แยก 8",68,228,624
"3347","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านกรุงเทพเสริมมิตรซอยนวมินทร์ 68 แยก 8",69,325,692
"3348","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"ที่ทำการชุมชนสุวรรณประสิทธิ์ 3 ซอยประเสริฐมนูกิจ 48",70,169,697
"3349","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2 ซอยนวมินทร์ 72",71,208,819
"3350","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2 ซอยนวมินทร์ 72",72,402,823
"3351","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2 ซอยนวมินทร์ 72",73,329,832
"3352","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2 ซอยนวมินทร์ 72",74,297,814
"3353","เขตบึงกุ่ม","1027","คลองกุ่ม",102701,"โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2 ซอยนวมินทร์ 72",75,348,826
"3354","เขตบึงกุ่ม","1027","นวมินทร์",102704,"สโมสรหมู่บ้านวังทองเฮ้าส์ ซอยนวมินทร์ 57",1,343,755
"3355","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านวังทองเฮ้าส์ ซอยนวมินทร์ 57",2,299,695
"3356","เขตบึงกุ่ม","1027","นวมินทร์",102704,"บริเวณที่จอดรถ พีพี แอร์ เซอร์วิส ระหว่างซอยนวมินทร์ 61-63",3,166,435
"3357","เขตบึงกุ่ม","1027","นวมินทร์",102704,"บริเวณที่จอดรถ พีพี แอร์ เซอร์วิส ระหว่างซอยนวมินทร์ 61-63",4,144,442
"3358","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณในโรงเรียนอนุบาลลูกหนู ซอยนวมินทร์ 71",5,303,681
"3359","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณในโรงเรียนอนุบาลลูกหนู ซอยนวมินทร์ 71",6,241,655
"3360","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านโชคชัยปัญจทรัพย์ซอยนวมินทร์ 81",7,231,658
"3361","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านโชคชัยปัญจทรัพย์ซอยนวมินทร์ 81",8,242,650
"3362","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านโชคชัยปัญจทรัพย์ซอยนวมินทร์ 81",9,231,662
"3363","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านโชคชัยปัญจทรัพย์ซอยนวมินทร์ 81",10,254,648
"3364","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานจอดรถใกล้ปากซอยหมู่บ้านทวีทรัพย์ 2ซอยนวมินทร์ 87",11,322,744
"3365","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานจอดรถใกล้ปากซอยหมู่บ้านทวีทรัพย์ 2ซอยนวมินทร์ 87",12,280,662
"3366","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์และลานกีฬาฯ หมู่บ้านสินธานี 1ซอยนวมินทร์ 93",13,246,549
"3367","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์และลานกีฬาฯ หมู่บ้านสินธานี 1ซอยนวมินทร์ 93",14,225,561
"3368","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์และลานกีฬาฯ หมู่บ้านสินธานี 1ซอยนวมินทร์ 93",15,247,592
"3369","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์และลานกีฬาฯ หมู่บ้านสินธานี 1ซอยนวมินทร์ 93",16,233,596
"3370","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณด้านข้างสำนักงานประกันสังคมพื้นที่ 9ปากซอยนวมินทร์ 93",17,292,790
"3371","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านยลประภาซอยโพธิ์แก้ว แยก 4",18,240,630
"3372","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณหน้าบริษัท ไทกอน ดีไซน์ กรุ๊ป หมู่บ้านยลประภา ซอยโพธิ์แก้ว แยก 4",19,287,656
"3373","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณหน้าบริษัท ไทกอน ดีไซน์ กรุ๊ป หมู่บ้านยลประภา ซอยโพธิ์แก้ว แยก  4",20,283,676
"3374","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณหน้าบริษัท ไทกอน ดีไซน์ กรุ๊ป หมู่บ้านยลประภา ซอยโพธิ์แก้ว แยก 4",21,296,678
"3375","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานกีฬา ซอย 10 หมู่บ้านสามัคคี 53ซอยนวมินทร์ 105",22,237,643
"3376","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานกีฬา ซอย 10 หมู่บ้านสามัคคี 53ซอยนวมินทร์ 105",23,259,667
"3377","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณโรงเรียนคลองลำเจียก (หวังทองบำรุง) ถนนประเสริฐมนูกิจ",24,286,674
"3378","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณโรงเรียนคลองลำเจียก (หวังทองบำรุง) ถนนประเสริฐมนูกิจ",25,275,680
"3379","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณโรงเรียนคลองลำเจียก (หวังทองบำรุง) ถนนประเสริฐมนูกิจ",26,262,680
"3380","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านสราญรมย์ซอยประเสริฐมนูกิจ 42",27,253,636
"3381","เขตบึงกุ่ม","1027","นวมินทร์",102704,"เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านสราญรมย์ซอยประเสริฐมนูกิจ 42",28,235,644
