"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3433","เขตสาทร","1028","ทุ่งวัดดอน",102801,"ศาลาการเปรียญวัดปรก",1,201,674
"3434","เขตสาทร","1028","ทุ่งวัดดอน",102801,"ศาลาการเปรียญวัดปรก",2,151,549
"3435","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณวัดวิษณุ",3,142,445
"3436","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณวัดวิษณุ",4,124,474
"3437","เขตสาทร","1028","ทุ่งวัดดอน",102801,"บริเวณหน้าห้องแถวเลขที่ 830/139-144 ซอยแสงจันทร์",5,163,596
"3438","เขตสาทร","1028","ทุ่งวัดดอน",102801,"บริเวณหน้าห้องแถวเลขที่ 830/139-144 ซอยแสงจันทร์",6,126,470
"3439","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณลานกีฬาชุมชนร่วมพัฒนาวรพจน์ 1",7,106,462
"3440","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีสารสาสน์กนกอนุสรณ์ (เดิม)",8,166,533
"3441","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีสารสาสน์กนกอนุสรณ์ (เดิม)",9,147,472
"3442","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณลานจอดรถบริษัทเจริญโภคภัณฑ์อุตสาหกรรม จำกัด",10,163,576
"3443","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณลานจอดรถบริษัทเจริญโภคภัณฑ์อุตสาหกรรม จำกัด",11,173,598
"3444","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณลานจอดรถบริษัทเจริญโภคภัณฑ์อุตสาหกรรม จำกัด",12,160,575
"3445","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณลานจอดรถบริษัทเจริญโภคภัณฑ์อุตสาหกรรม จำกัด",13,178,533
"3446","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณหน้าสำนักงานเขตสาทร",14,366,776
"3447","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณหน้าคอนโดเดอะรูม สาทร-เซนต์หลุยส์",15,236,729
"3448","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณหน้าคอนโดเดอะรูม สาทร-เซนต์หลุยส์",16,231,695
"3449","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ",17,172,631
"3450","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ",18,268,781
"3451","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ",19,245,696
"3452","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ",20,206,722
"3453","เขตสาทร","1028","ทุ่งวัดดอน",102801,"วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ",21,198,654
"3454","เขตสาทร","1028","ทุ่งวัดดอน",102801,"โรงเรียนทุ่งมหาเมฆ",22,142,618
"3455","เขตสาทร","1028","ทุ่งวัดดอน",102801,"โรงเรียนทุ่งมหาเมฆ",23,224,622
"3456","เขตสาทร","1028","ทุ่งวัดดอน",102801,"โรงเรียนทุ่งมหาเมฆ",24,178,595
"3457","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",25,235,717
"3458","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",26,340,869
"3459","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",27,232,661
"3460","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",28,209,690
"3461","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",29,300,753
"3462","เขตสาทร","1028","ทุ่งวัดดอน",102801,"เต็นท์บริเวณศูนย์การค้าวรรัตน์",30,334,767
