"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3531","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง",1,143,591
"3532","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง",2,178,571
"3533","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง",3,151,625
"3534","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง",4,160,619
"3535","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง",5,157,589
"3536","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ทางเข้าชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง)",6,193,480
"3537","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ทางเข้าชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง)",7,155,493
"3538","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง)",8,151,562
"3539","เขตบางซื่อ","1029","บางซื่อ",102901,"ศูนย์เยาวชนเตชะวนิช",9,155,435
"3540","เขตบางซื่อ","1029","บางซื่อ",102901,"อาคารศูนย์สาธารณสุข 3",10,153,586
"3541","เขตบางซื่อ","1029","บางซื่อ",102901,"อาคารศูนย์สาธารณสุข 3",11,117,563
"3542","เขตบางซื่อ","1029","บางซื่อ",102901,"อาคารศูนย์สาธารณสุข 3",12,348,593
"3543","เขตบางซื่อ","1029","บางซื่อ",102901,"อาคารศูนย์สาธารณสุข 3",13,310,605
"3544","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ศูนย์สาธารณสุข 3",14,148,545
"3545","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ข้างเทสโก้โลตัส",15,286,675
"3546","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ข้างเทสโก้โลตัส",16,223,694
"3547","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์พุทธสมาคม",17,206,641
"3548","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์พุทธสมาคม",18,219,664
"3549","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนราชนันทาจารย์ (สามเสนวิทยาลัย 2)",19,165,552
"3550","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนราชนันทาจารย์ (สามเสนวิทยาลัย 2)",20,187,513
"3551","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนราชนันทาจารย์ (สามเสนวิทยาลัย 2)",21,152,531
"3552","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนราชนันทาจารย์ (สามเสนวิทยาลัย 2)",22,173,500
"3553","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์โรงเรียนราชนันทาจารย์ (สามเสนวิทยาลัย 2)",23,215,588
"3554","เขตบางซื่อ","1029","บางซื่อ",102901,"วิทยาลัยเทคโนโลยีวิมลบริหารธุรกิจ",24,223,694
"3555","เขตบางซื่อ","1029","บางซื่อ",102901,"วิทยาลัยเทคโนโลยีวิมลบริหารธุรกิจ",25,614,694
"3556","เขตบางซื่อ","1029","บางซื่อ",102901,"วิทยาลัยเทคโนโลยีวิมลบริหารธุรกิจ",26,483,669
"3557","เขตบางซื่อ","1029","บางซื่อ",102901,"วิทยาลัยเทคโนโลยีวิมลบริหารธุรกิจ",27,241,709
"3558","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์กองระบบส่งน้ำดิบ",28,174,645
"3559","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์กองระบบส่งน้ำดิบ",29,170,573
"3560","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",30,164,631
"3561","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",31,192,574
"3562","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",32,198,681
"3563","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",33,146,609
"3564","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",34,162,627
"3565","เขตบางซื่อ","1029","บางซื่อ",102901,"โรงเรียนผะดุงศิษย์พิทยา",35,161,633
"3566","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์สี่แยกประชาชื่น ข้างอาคารชุด ไอดีโอ โมบิ บางซื่อ",36,369,644
"3567","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์สี่แยกประชาชื่น ข้างอาคารชุด ไอดีโอ โมบิ บางซื่อ",37,123,500
"3568","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์สี่แยกประชาชื่น ข้างอาคารชุด ไอดีโอ โมบิ บางซื่อ",38,393,608
"3569","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์ข้างอาคารสุขประพฤติ",39,446,790
"3570","เขตบางซื่อ","1029","บางซื่อ",102901,"เต็นท์หมวดการทางนนทบุรี",40,338,550
