"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3702","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนบางบัว (ถนนพหลโยธิน)",1,150,595
"3703","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนบางบัว (ถนนพหลโยธิน)",2,430,576
"3704","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน)",3,249,684
"3705","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน)",4,302,688
"3706","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน)",5,240,686
"3707","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน)",6,238,690
"3708","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารศาลาอเนกประสงค์ ชุมชนโรงสูบน้ำ (มหาวิทยาลัยเกษตรศาสตร์)",7,229,987
"3709","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณโรงพยาบาลวิภาวดี (ฝั่งถนนงามวงศ์วาน)",8,378,638
"3710","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณโรงพยาบาลวิภาวดี(ฝั่งถนนงามวงศ์วาน)",9,318,646
"3711","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณโรงพยาบาลวิภาวดี(ฝั่งถนนงามวงศ์วาน)",10,242,642
"3712","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณปากซอยงามวงศ์วาน52",11,213,485
"3713","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณปากซอยงามวงศ์วาน52",12,187,502
"3714","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณทางเท้าหน้ากรมพัฒนาที่ดิน (ถนนพหลโยธิน)",13,401,671
"3715","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณทางเท้าหน้ากรมพัฒนาที่ดิน (ถนนพหลโยธิน)",14,269,651
"3716","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านทาวน์โฮม(ซอยท่านผู้หญิงพหล)",15,208,470
"3717","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17",16,326,703
"3718","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17",17,248,716
"3719","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17",18,238,709
"3720","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก)",19,232,664
"3721","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก)",20,338,649
"3722","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก)",21,553,660
"3723","เขตจตุจักร","1030","ลาดยาว",103001,"ใต้อาคารแฟลตหลังสถานีตำรวจวิภาวดี(ถนนวิภาวดีรังสิต)",22,267,525
"3724","เขตจตุจักร","1030","ลาดยาว",103001,"ใต้อาคารแฟลตหลังสถานีตำรวจวิภาวดี(ถนนวิภาวดีรังสิต)",23,445,562
"3725","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต)",24,295,812
"3726","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต)",25,356,821
"3727","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต)",26,429,841
"3728","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนวัดเสมียนนารี (หน้าห้องสมุด)",27,316,956
"3729","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนวัดเสมียนนารี (หน้าห้องสมุด)",28,274,712
"3730","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารแฟลตบ้านพักกองกำกับการสายตรวจ 191",29,201,444
"3731","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนวัดเทวสุนทร",30,221,638
"3732","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนวัดเทวสุนทร",31,185,624
"3733","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณริมกำแพงทัณฑสถานโรงพยาบาลราชทัณฑ์",32,297,800
"3734","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนรัตนโกสินทร์สมโภช",33,231,475
"3735","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนรัตนโกสินทร์สมโภช",34,242,481
"3736","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา)",35,532,862
"3737","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา)",36,306,868
"3738","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา)",37,311,870
"3739","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา)",38,277,871
"3740","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา)",39,319,871
"3741","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารจอดรถศูนย์กีฬาประชานิเวศน์",40,240,677
"3742","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารจอดรถศูนย์กีฬาประชานิเวศน์",41,277,679
"3743","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารจอดรถศูนย์กีฬาประชานิเวศน์",42,308,683
"3744","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารจอดรถศูนย์กีฬาประชานิเวศน์",43,283,673
"3745","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารจอดรถศูนย์กีฬาประชานิเวศน์",44,282,686
"3746","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณลานอเนกประสงค์หน้าหมู่บ้านชลนิเวศน์",45,245,619
"3747","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณลานอเนกประสงค์หน้าหมู่บ้านชลนิเวศน์",46,221,607
"3748","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย",47,479,913
"3749","เขตจตุจักร","1030","ลาดยาว",103001,"อาคารศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย",48,269,912
"3750","เขตจตุจักร","1030","ลาดยาว",103001,"เต็นท์บริเวณศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย",49,320,902
"3751","เขตจตุจักร","1030","เสนานิคม",103002,"อาคารอเนกประสงค์โรงเรียนสารวิทยา",1,202,660
"3752","เขตจตุจักร","1030","เสนานิคม",103002,"อาคารอเนกประสงค์โรงเรียนสารวิทยา",2,195,660
"3753","เขตจตุจักร","1030","เสนานิคม",103002,"อาคารอเนกประสงค์โรงเรียนสารวิทยา",3,222,484
"3754","เขตจตุจักร","1030","เสนานิคม",103002,"อาคารอเนกประสงค์โรงเรียนสารวิทยา",4,221,494
"3755","เขตจตุจักร","1030","เสนานิคม",103002,"เต็นท์บริเวณการทางพิเศษแห่งประเทศไทย (ถนนพหลโยธิน)",5,250,560
"3756","เขตจตุจักร","1030","เสนานิคม",103002,"เต็นท์บริเวณการทางพิเศษแห่งประเทศไทย (ถนนพหลโยธิน)",6,178,559
