"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"3875","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนรักษาราชวิตร",1,159,508
"3876","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนรักษาราชวิตร",2,146,589
"3877","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณโรงเรียนรักษาราชวิตร",3,125,570
"3878","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณโรงเรียนรักษาราชวิตร",4,140,607
"3879","เขตบางคอแหลม","1031","บางคอแหลม",103101,"บริเวณโรงเรียนสอนศาสนามัสยิดอัลอะติ๊ก",5,135,638
"3880","เขตบางคอแหลม","1031","บางคอแหลม",103101,"บริเวณโรงเรียนสอนศาสนามัสยิดอัลอะติ๊ก",6,137,611
"3881","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนวัดลาดบัวขาว",7,163,613
"3882","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนวัดลาดบัวขาว",8,295,564
"3883","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนวัดลาดบัวขาว",9,172,583
"3884","เขตบางคอแหลม","1031","บางคอแหลม",103101,"โรงเรียนวัดลาดบัวขาว",10,312,599
"3885","เขตบางคอแหลม","1031","บางคอแหลม",103101,"อาคารอเนกประสงค์มัสยิดอัสสละฟิยะฮ์",11,149,559
"3886","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณมัสยิดอัสสละฟิยะฮ์",12,148,399
"3887","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณมัสยิดอัสสละฟิยะฮ์",13,132,436
"3888","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์หน้าชุมชนมาตานุสรณ์",14,104,445
"3889","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์หน้าชุมชนมาตานุสรณ์",15,137,323
"3890","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",16,104,655
"3891","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",17,393,618
"3892","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",18,139,541
"3893","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",19,171,614
"3894","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",20,182,602
"3895","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",21,243,610
"3896","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถร้านอาหารเดอะวิว วิลเลจ",22,124,430
"3897","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์ในโรงเรียนคริสตจักร์เจริญกรุงไมตรีจิต",23,77,378
"3898","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์ในโรงเรียนคริสตจักร์เจริญกรุงไมตรีจิต",24,102,405
"3899","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์ในโรงเรียนคริสตจักร์เจริญกรุงไมตรีจิต",25,127,470
"3900","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถบริษัท ทีโอที จำกัด (มหาชน)",26,172,523
"3901","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถบริษัท ทีโอที จำกัด (มหาชน)",27,127,443
"3902","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถบริษัท ทีโอที จำกัด (มหาชน)",28,108,343
"3903","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์บริเวณลานจอดรถบริษัท ทีโอที จำกัด (มหาชน)",29,157,511
"3904","เขตบางคอแหลม","1031","บางคอแหลม",103101,"อาคารสงเคราะห์ข้าราชการและลูกจ้างประจำ กทม.",30,259,489
"3905","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์หน้าห้างสรรพสินค้า Tree on 3",31,152,430
"3906","เขตบางคอแหลม","1031","บางคอแหลม",103101,"เต็นท์หน้าห้างสรรพสินค้า Tree on 3",32,146,441
"3907","เขตบางคอแหลม","1031","บางคอแหลม",103101,"วัดอินทร์บรรจงทรงวาดราษฏร์บำรุง",33,143,539
"3908","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"มัสยิดดารุ้ลอาบิดีน",1,146,305
"3909","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"ศูนย์บริการสาธารณสุข 14",2,128,408
"3910","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์หน้าศูนย์บริการสาธารณสุข 14",3,107,353
"3911","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์บริเวณลานจอดรถบ้านเลขที่ 1 ซอยมิตรสัมพันธ์",4,161,488
"3912","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์บริเวณลานจอดรถบ้านเลขที่ 1 ซอยมิตรสัมพันธ์",5,146,561
"3913","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์บริเวณลานจอดรถท๊อปวิวคอนโด ปากซอยกิ่งจันทน์",6,162,489
"3914","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์บริเวณลานจอดรถท๊อปวิวคอนโด ปากซอยกิ่งจันทน์",7,161,519
"3915","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์บริเวณลานจอดรถท๊อปวิวคอนโด ปากซอยกิ่งจันทน์",8,199,538
"3916","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"มัสยิดบาหยัน",9,98,403
"3917","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",10,154,450
"3918","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",11,212,583
"3919","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",12,102,322
"3920","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",13,125,414
"3921","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",14,114,430
"3922","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนมูลนิธิสตรีไทยมุสลิม",15,134,483
"3923","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์ในโรงเรียนลักษณเกียรติศึกษา",16,145,544
"3924","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์ในโรงเรียนลักษณเกียรติศึกษา",17,145,550
"3925","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์ในโรงเรียนลักษณเกียรติศึกษา",18,250,612
"3926","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"เต็นท์ในโรงเรียนลักษณเกียรติศึกษา",19,145,564
"3927","เขตบางคอแหลม","1031","วัดพระยาไกร",103102,"โรงเรียนวัดราชสิงขร",20,145,580
