"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4001","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1)",1,216,665
"4002","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1)",2,213,729
"4003","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1)",3,195,791
"4004","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1)",4,623,800
"4005","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70)",5,202,736
"4006","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70)",6,317,789
"4007","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70)",7,235,782
"4008","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70)",8,241,787
"4009","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70)",9,241,789
"4010","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่่อนนุช70)",10,191,804
"4011","เขตประเวศ","1032","ประเวศ",103201,"โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70)",11,200,656
"4012","เขตประเวศ","1032","ประเวศ",103201,"โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70)",12,173,639
"4013","เขตประเวศ","1032","ประเวศ",103201,"โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70)",13,193,677
"4014","เขตประเวศ","1032","ประเวศ",103201,"โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70)",14,207,741
"4015","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",15,250,652
"4016","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",16,279,713
"4017","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",17,240,640
"4018","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",18,227,651
"4019","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",19,277,674
"4020","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1)",20,284,787
"4021","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าศาลาลอย(ซอยอ่อนนุช 70/1 แยก 2-5)",21,165,726
"4022","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนงามมานะ (ถนนอ่อนนุช)",22,344,698
"4023","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนงามมานะ (ถนนอ่อนนุช)",23,198,608
"4024","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนงามมานะ (ถนนอ่อนนุช)",24,144,610
"4025","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนงามมานะ (ถนนอ่อนนุช)",25,225,574
"4026","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าทางควาย(ซอยอ่อนนุช 59)",26,304,708
"4027","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าทางควาย(ซอยอ่อนนุช59)",27,255,711
"4028","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าทางควาย(ซอยอ่อนนุช59)",28,127,677
"4029","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าทางควาย(ซอยอ่อนนุช59)",29,146,688
"4030","เขตประเวศ","1032","ประเวศ",103201,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าทางควาย(ซอยอ่อนนุช59)",30,280,737
