"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4204","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",1,204,557
"4205","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",2,193,547
"4206","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",3,163,561
"4207","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",4,178,559
"4208","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",5,211,556
"4209","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",6,194,557
"4210","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",7,275,557
"4211","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณตลาดยาสูบ ด้านถนนพระราม 4",8,219,554
"4212","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณหน้าร้านรสนิยม ท้ายซอยสุขุมวิท 4",9,273,575
"4213","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณด้านหน้าสมาคมอนุเคราะห์คลองเตย",10,138,467
"4214","เขตคลองเตย","1033","คลองเตย",103301,"บริเวณที่จอดรถใต้อาคารพระราม 4 เรสซิเด้นท์",11,164,527
"4215","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณอาคารไอสโตร์ ซอยสุขุมวิท 24",12,133,518
"4216","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณอาคารไอสโตร์ ซอยสุขุมวิท 24",13,177,509
"4217","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณอาคารไอสโตร์ ซอยสุขุมวิท 24",14,231,533
"4218","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณอาคารไอสโตร์ ซอยสุขุมวิท 24",15,189,523
"4219","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณอาคารไอสโตร์ ซอยสุขุมวิท 24",16,163,514
"4220","เขตคลองเตย","1033","คลองเตย",103301,"โรงเรียนวรรณวิทย์ ซอยสุขุมวิท 8",17,397,743
"4221","เขตคลองเตย","1033","คลองเตย",103301,"โรงเรียนวรรณวิทย์ ซอยสุขุมวิท 8",18,369,740
"4222","เขตคลองเตย","1033","คลองเตย",103301,"โรงจอดรถอาคารชุดซิตี้เลคทาวเวอร์ ซอยสุขุมวิท 16",19,358,634
"4223","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสายน้ำผึ้ง",20,219,451
"4224","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสายน้ำผึ้ง",21,278,551
"4225","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสายน้ำผึ้ง",22,255,558
"4226","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณลานกิจกรรมโรงเรียนสายน้ำผึ้ง",23,201,552
"4227","เขตคลองเตย","1033","คลองเตย",103301,"เต็นท์บริเวณที่จอดรถหน้าศูนย์อาหาร 130 ปี กรมศุลกากร",24,159,527
