"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4338","เขตสวนหลวง","1034","สวนหลวง",103401,"มัสยิดอันวารุ้ลอับร๊อด (ซอยพัฒนาการ 38)",1,241,786
"4339","เขตสวนหลวง","1034","สวนหลวง",103401,"มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38)",2,323,752
"4340","เขตสวนหลวง","1034","สวนหลวง",103401,"มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38)",3,440,790
"4341","เขตสวนหลวง","1034","สวนหลวง",103401,"มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38)",4,462,797
"4342","เขตสวนหลวง","1034","สวนหลวง",103401,"มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38)",5,466,798
"4343","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณหมู่บ้านเดอะคอนเนค (ซอยพัฒนาการ 38)",6,494,824
"4344","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณหมู่บ้านวิลเลตซิตี้ (ซอยพัฒนาการ 38)",7,377,771
"4345","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณหมู่บ้านวิลเลตไลต์ (ซอยพัฒนาการ 38)",8,416,760
"4346","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29)",9,414,781
"4347","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29)",10,470,786
"4348","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29)",11,315,776
"4349","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30)",12,367,786
"4350","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30)",13,316,751
"4351","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30)",14,355,761
"4352","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30)",15,346,816
"4353","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณหมู่บ้านปัญญา (ซอยพัฒนาการ30)",16,272,759
"4354","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณหมู่บ้านปัญญา (ซอยพัฒนาการ30)",17,296,761
"4355","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18))",18,290,700
"4356","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",19,178,704
"4357","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",20,249,696
"4358","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",21,301,712
"4359","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",22,325,697
"4360","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",23,249,705
"4361","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",24,216,703
"4362","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",25,355,705
"4363","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)",26,251,702
"4364","เขตสวนหลวง","1034","สวนหลวง",103401,"วัดยาง (บริเวณโดมศาลา 5) (ซอยอ่อนนุช 23)",27,157,730
"4365","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ(ซ.อ่อนนุช17แยก20)",28,246,576
"4366","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ (ซอยอ่อนนุช17 แยก 20)",29,216,558
"4367","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ(ซ.อ่อนนุช17แยก20)",30,232,562
"4368","เขตสวนหลวง","1034","สวนหลวง",103401,"สโมสรหมู่บ้านสวนแหลมทอง (ซอยพัฒนาการ 28)",31,268,752
"4369","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24)",32,460,572
"4370","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24)",33,135,571
"4371","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24)",34,151,579
"4372","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",35,164,655
"4373","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",36,144,643
"4374","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",37,185,669
"4375","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",38,250,645
"4376","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",39,291,675
"4377","เขตสวนหลวง","1034","สวนหลวง",103401,"โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2)",40,204,665
"4378","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถสำนักงานหมู่บ้านผกามาศ(ซอยพัฒนาการ 20 แยก 8)",41,133,484
"4379","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถสำนักงานหมู่บ้านผกามาศ(ซอยพัฒนาการ 20 แยก 8)",42,166,499
"4380","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถหน้าอาคารร่มเย็นอพาร์ทเม้นท์(ซอยพัฒนาการ 17)",43,312,771
"4381","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถร้านตะวันแดง (ถนนพัฒนาการ)(ซอยพัฒนาการ 17)",44,527,710
"4382","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถร้านตะวันแดง (ถนนพัฒนาการ)",45,248,704
"4383","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน (ถนนเพชรบุรี)",46,426,693
"4384","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน(ถนนเพชรบุรี)",47,290,672
"4385","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน(ถนนเพชรบุรี)",48,596,691
"4386","เขตสวนหลวง","1034","สวนหลวง",103401,"ศูนย์กลางอิสลามแห่งประเทศไทย (ซอยรามคำแหง 2)",49,247,594
"4387","เขตสวนหลวง","1034","สวนหลวง",103401,"ศูนย์กลางอิสลามแห่งประเทศไทย (ซอยรามคำแหง 2)",50,269,593
"4388","เขตสวนหลวง","1034","สวนหลวง",103401,"ศูนย์กลางอิสลามแห่งประเทศไทย (ซอยรามคำแหง 2)",51,433,625
"4389","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถตลาดเสรีมาร์เก็ต (ซอยพระรามเก้า 41)",52,302,643
"4390","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณที่จอดรถตลาดเสรีมาร์เก็ต (ซอยพระรามเก้า 41)",53,308,627
"4391","เขตสวนหลวง","1034","สวนหลวง",103401,"บริเวณอาคารมัสยิดอัลกุ๊บรอ (ซอยพัฒนาการ 32)",54,151,717
"4392","เขตสวนหลวง","1034","สวนหลวง",103401,"เต็นท์บริเวณโรงจอดรถบ้านมะพร้าว (ซอยอ่อนนุช 39)",55,99,448
"4393","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดใต้ (ซอยอ่อนนุช 3)",1,199,750
"4394","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดใต้ (ซอยอ่อนนุช 3)",2,425,761
"4395","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดใต้ (ซอยอ่อนนุช 3)",3,455,766
"4396","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดใต้ (ซอยอ่อนนุช 3)",4,536,763
"4397","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",5,216,736
"4398","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",6,467,739
"4399","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",7,353,761
"4400","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",8,293,763
"4401","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",9,255,734
"4402","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",10,304,752
"4403","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดมหาบุศย์ (ซอยอ่อนนุช 7)",11,239,746
"4404","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณอาคารบ้านรัตนพราหมณ์ (ซอยอ่อนนุช 17)",12,195,655
"4405","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนจินดาพงศ์ (ซอยอ่อนนุช 30)",13,170,590
"4406","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนจินดาพงศ์ (ซอยอ่อนนุช 30)",14,196,589
"4407","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนจินดาพงศ์ (ซอยอ่อนนุช 30)",15,225,595
"4408","เขตสวนหลวง","1034","อ่อนนุช",103402,"วัดยาง (บริเวณโดมศาลา 5) (ซอยอ่อนนุช 23)",16,336,760
"4409","เขตสวนหลวง","1034","อ่อนนุช",103402,"วัดยาง (บริเวณโดมศาลา 5) (ซอยอ่อนนุช 23)",17,387,759
"4410","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดทองใน (ซอยอ่อนนุช 25)",18,184,573
"4411","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดทองใน (ซอยอ่อนนุช 25)",19,166,585
"4412","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดทองใน (ซอยอ่อนนุช 25)",20,203,575
"4413","เขตสวนหลวง","1034","อ่อนนุช",103402,"ศาลาการเปรียญวัดต้นไทรย์ (ซอยอ่อนนุช 29)",21,183,595
"4414","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนอโศกวิทย์ (ระหว่างซอยอ่อนนุช 40 - 42)",22,274,752
"4415","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนอโศกวิทย์ (ระหว่างซอยอ่อนนุช 40 - 42)",23,328,750
"4416","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนอโศกวิทย์ (ระหว่างซอยอ่อนนุช 40 - 42)",24,263,755
"4417","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนอโศกวิทย์ (ระหว่างซอยอ่อนนุช 40 - 42)",25,324,774
"4418","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณลานจอดรถรทวีวัฒน์ผ้าใบ (ซอยอ่อนนุช 44)(ซอยสุขฤดี)",26,165,424
"4419","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณลานจอดรถทวีวัฒน์ผ้าใบ (ซอยอ่อนนุช 44)(ซอยสุขฤดี)",27,136,428
"4420","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดปากบ่อ (ซอยอ่อนนุช 35)",28,166,560
"4421","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดปากบ่อ (ซอยอ่อนนุช 35)",29,119,566
"4422","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดปากบ่อ (ซอยอ่อนนุช 35)",30,181,579
"4423","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนวัดปากบ่อ (ซอยอ่อนนุช 35)",31,234,575
"4424","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",32,265,680
"4425","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",33,401,694
"4426","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",34,476,684
"4427","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",35,265,683
"4428","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",36,227,685
"4429","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",37,271,687
"4430","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณโรงเรียนทวีศักดิ์ศึกษา (มัสยิดริยาดุสซอลิฮีน)(ซอยอ่อนนุช 46)",38,251,678
"4431","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนสะและน้อยอุปถัมภ์ (ซอยอ่อนนุช 54)",39,128,526
"4432","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนสะและน้อยอุปถัมภ์ (ซอยอ่อนนุช 54)",40,142,528
"4433","เขตสวนหลวง","1034","อ่อนนุช",103402,"โรงเรียนสะและน้อยอุปถัมภ์ (ซอยอ่อนนุช 54)",41,158,531
"4434","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",42,276,667
"4435","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",43,169,640
"4436","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",44,267,635
"4437","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",45,212,650
"4438","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",46,197,668
"4439","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",47,228,684
"4440","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณหน้าตลาดเอี่ยมสมบัติ (ถนนศรีนครินทร์)",48,342,685
"4441","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณชุมชนโมราวรรณ 1 (ซอย่อนนุช 49)",49,469,637
"4442","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณชุมชนโมราวรรณ 1 (ซอย่อนนุช 49)",50,468,628
"4443","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณชุมชนโมราวรรณ 1 (ซอย่อนนุช 49)",51,129,635
"4444","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณชุมชนโมราวรรณ 1 (ซอยอ่อนนุช 49)",52,129,612
"4445","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณที่ทำการไปรษณีย์อ่อนนุช (ระหว่างซอยอ่อนนุช 66/1 - 68)",53,229,549
"4446","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณที่ทำการไปรษรีย์อ่อนนุช (ระหว่างซอยอ่อนนุช 66/1 - 68)",54,185,552
"4447","เขตสวนหลวง","1034","อ่อนนุช",103402,"เต็นท์บริเวณที่ทำการไปรษณีย์อ่อนนุช  (ระหว่างซอยอ่อนนุช 66/1 - 68)",55,173,551
"4448","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณลานจอดรถภัตตาคารจรินทร์ทิพย์ (ระหว่างคลองโคกวัด-ซอยศรีนครินทร์ 24)",1,171,469
"4449","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณลานจอดรถภัตตาคารจรินทร์ทิพย์(ระหว่างคลองโคกวัด-ซอยศรีนครินทร์ 24)",2,212,469
"4450","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนนูรุ่ลอิสลาม (คลองจวน) (ซอยอ่อนนุช 39)",3,178,506
"4451","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนนูรุ่ลอิสลาม (คลองจวน) (ซอยอ่อนนุช 39)",4,184,512
"4452","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนสุเหร่าใหม่ (ซอยอ่อนนุช 39)",5,143,592
"4453","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนสุเหร่าใหม่ (ซอยอ่อนนุช 39)",6,157,590
"4454","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณศูนย์บริการสาธารณสุข 37(ระหว่างซอยพัฒนาการ 54 - ถนนศรีนครินทร์)",7,230,408
"4455","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณศูนย์บริการสาธารณสุข 37(ระหว่างซอยพัฒนาการ 54 - ถนนศรีนครินทร์)",8,191,420
"4456","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนคลองกลันตัน (ซอยศรีนครินทร์ 18)",9,238,533
"4457","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนคลองกลันตัน (ซอยศรีนครินทร์ 18)",10,254,546
"4458","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ (ซอยพัฒนาการ 58)",11,170,548
"4459","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ (ซอยพัฒนาการ 58)",12,193,553
"4460","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ (ซอยพัฒนาการ 58)",13,181,550
"4461","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณใกล้สระน้ำหมู่บ้านเมืองทอง 2/3 (ซอยพัฒนาการ 53)",14,299,657
"4462","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณใกล้สระน้ำหมู่บ้านเมืองทอง 2/3 (ซอยพัฒนาการ 53)",15,237,648
"4463","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณใกล้สระน้ำหมู่บ้านเมืองทอง 2/3 (ซอยพัฒนาการ 53)",16,218,641
"4464","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนหัวหมาก (ซอยศรีนครินทร์ 17)",17,432,716
"4465","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนหัวหมาก (ซอยศรีนครินทร์ 17)",18,266,674
"4466","เขตสวนหลวง","1034","พัฒนาการ",103403,"โรงเรียนหัวหมาก (ซอยศรีนครินทร์ 17)",19,443,706
"4467","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณลานกีฬาหมู่บ้านเคหะนคร 3 (ซอยพัฒนาการ 50)",20,218,563
"4468","เขตสวนหลวง","1034","พัฒนาการ",103403,"เต็นท์บริเวณลานกีฬาหมู่บ้านเคหะนคร 3 (ซอยพัฒนาการ 50)",21,168,563
