"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4488","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดบางประทุนนอก",1,193,676
"4489","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดบางประทุนนอก",2,195,676
"4490","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",3,204,680
"4491","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",4,199,737
"4492","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",5,212,661
"4493","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",6,213,707
"4494","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",7,227,726
"4495","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดไทร",8,220,724
"4496","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",9,191,718
"4497","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",10,203,685
"4498","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",11,205,770
"4499","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",12,261,770
"4500","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",13,260,758
"4501","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",14,255,717
"4502","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",15,191,723
"4503","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",16,246,725
"4504","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนมัธยมวัดสิงห์",17,280,778
"4505","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",18,284,757
"4506","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",19,218,722
"4507","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",20,225,778
"4508","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",21,252,821
"4509","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",22,364,848
"4510","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย",23,303,840
"4511","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์โรงจอดรถอัญชลีอพาร์ทเม้นท์ ซอยกำนันแม้น 28",24,142,552
"4512","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์โรงจอดรถอัญชลีอพาร์ทเม้นท์ ซอยกำนันแม้น 28",25,149,573
"4513","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณสมาคมตระกูลโง้ว ถนนกัลปพฤกษ์",26,385,942
"4514","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณสมาคมตระกูลโง้ว ถนนกัลปพฤกษ์",27,449,907
"4515","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณข้างบ้านเลขที่ 44/3 สุดซอยกำนันแม้น 36",28,176,591
"4516","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณหน้าหมู่บ้านกัสโต้ สาทร-ตากสิน ถนนเทอดไท",29,296,753
"4517","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",30,278,815
"4518","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",31,196,685
"4519","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",32,219,688
"4520","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",33,217,726
"4521","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",34,221,723
"4522","เขตจอมทอง","1035","บางขุนเทียน",103501,"เต็นท์บริเวณวัดแก้วไพฑูรย์",35,246,769
"4523","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดศาลาครืน",36,293,757
"4524","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดศาลาครืน",37,201,725
"4525","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดศาลาครืน",38,215,713
"4526","เขตจอมทอง","1035","บางขุนเทียน",103501,"โรงเรียนวัดศาลาครืน",39,210,729
"4527","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณประตูระบายน้ำวัดนาคปรก",1,242,822
"4528","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณประตูระบายน้ำวัดนาคปรก",2,628,917
"4529","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",3,416,918
"4530","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",4,741,929
"4531","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",5,572,942
"4532","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",6,320,926
"4533","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",7,331,923
"4534","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",8,248,915
"4535","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดหนัง",9,231,896
"4536","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",10,282,760
"4537","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",11,227,739
"4538","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",12,251,764
"4539","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",13,219,685
"4540","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",14,169,669
"4541","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",15,173,765
"4542","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดนางนอง(พิพัฒน์)",16,340,801
"4543","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",17,219,766
"4544","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",18,315,808
"4545","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",19,280,849
"4546","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",20,246,858
"4547","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",21,215,765
"4548","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",22,218,857
"4549","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนแม่พระประจักษ์",23,298,810
"4550","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง",24,194,625
"4551","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง",25,215,695
"4552","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง",26,200,609
"4553","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง",27,205,613
"4554","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดมงคลวราราม",28,223,711
"4555","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดมงคลวราราม",29,281,793
"4556","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดมงคลวราราม",30,164,755
"4557","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดมงคลวราราม",31,210,722
"4558","เขตจอมทอง","1035","บางค้อ",103502,"โรงเรียนวัดมงคลวราราม",32,221,715
"4559","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์โรงจอดรถข้างศูนย์พัฒนาเด็กเล็กชุมชนศิลปเดชซอยจอมทอง 12",33,149,639
"4560","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์โรงจอดรถข้างศูนย์พัฒนาเด็กเล็กชุมชนศิลปเดชซอยจอมทอง 12",34,169,688
"4561","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14",35,227,673
"4562","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14",36,218,633
"4563","เขตจอมทอง","1035","บางค้อ",103502,"เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14",37,161,578
