"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4647","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณศาลเจ้าพ่อสมบุญ (ตลาดฝั่งโขงดอนเมือง)",1,379,743
"4648","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณศาลเจ้าพ่อสมบุญ (ตลาดฝั่งโขงดอนเมือง)",2,231,714
"4649","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณศาลเจ้าพ่อสมบุญ (ตลาดฝั่งโขงดอนเมือง)",3,207,705
"4650","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์หมู่บ้านสินวงศ์",4,179,466
"4651","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์หมู่บ้านสินวงศ์",5,158,412
"4652","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์หมู่บ้านสินวงศ์",6,188,538
"4653","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",7,230,683
"4654","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",8,214,710
"4655","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",9,231,709
"4656","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",10,206,708
"4657","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",11,233,699
"4658","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",12,227,724
"4659","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",13,225,717
"4660","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านปิ่นเจริญ 2",14,214,714
"4661","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณค่ายลูกเสือกรุงเทพมหานคร (พิศลยบุตร) ถนนสรงประภา",15,201,503
"4662","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณค่ายลูกเสือกรุงเทพมหานคร (พิศลยบุตร) ถนนสรงประภา",16,181,608
"4663","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณค่ายลูกเสือกรุงเทพมหานคร (พิศลยบุตร) ถนนสรงประภา",17,218,601
"4664","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณค่ายลูกเสือกรุงเทพมหานคร (พิศลยบุตร) ถนนสรงประภา",18,225,637
"4665","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณค่ายลูกเสือกรุงเทพมหานคร (พิศลยบุตร) ถนนสรงประภา",19,224,571
"4666","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณศาลาอเนกประสงค์ชุมชนดอนเมืองวิลล่า",20,214,570
"4667","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณศาลาอเนกประสงค์ชุมชนดอนเมืองวิลล่า",21,199,564
"4668","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านสายทิพย์ ซอย 11",22,212,636
"4669","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านสายทิพย์ ซอย 11",23,236,629
"4670","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์ชุมชนวังไพเวช",24,292,818
"4671","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์ชุมชนวังไพเวช",25,267,735
"4672","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์ชุมชนวังไพเวช",26,419,834
"4673","เขตดอนเมือง","1036","สีกัน",103602,"ที่ทำการชุมชนหมู่บ้านแหลมทองนิเวศน์",27,223,578
"4674","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาที่ทำการชุมชนหมู่บ้านปิ่นเจริญ 3 (ข้างบ้านหนังสือ กทม.)",28,240,670
"4675","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาที่ทำการชุมชนหมู่บ้านปิ่นเจริญ 3 (ข้างบ้านหนังสือ กทม.)",29,232,679
"4676","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกีฬาชุมชนหมู่บ้านปิ่นเจริญ 3",30,216,674
"4677","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกีฬาชุมชนหมู่บ้านปิ่นเจริญ 3",31,222,669
"4678","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกีฬาชุมชนหมู่บ้านปิ่นเจริญ 3",32,244,682
"4679","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลระหว่างอาคารสวัสดิการทหาร 12 - 13(ทุ่งสีกัน 1)",33,307,511
"4680","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลระหว่างอาคารสวัสดิการทหาร 12 - 13(ทุ่งสีกัน 1)",34,193,671
"4681","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลระหว่างอาคารสวัสดิการทหาร 12 - 13(ทุ่งสีกัน 1)",35,388,668
"4682","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหน้าประตู 2 อาคารสวัสดิการทหาร (ทุ่งสีกัน 1)",36,419,653
"4683","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหน้าประตู 2 อาคารสวัสดิการทหาร (ทุ่งสีกัน 1)",37,443,669
"4684","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหน้าประตู 2 อาคารสวัสดิการทหาร (ทุ่งสีกัน 1)",38,519,690
"4685","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานอเนกประสงค์หน้าอาคารสวัสดิการ (ทุ่งสีกัน 2)",39,202,625
"4686","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานอเนกประสงค์หน้าอาคารสวัสดิการ (ทุ่งสีกัน 2)",40,374,627
"4687","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานอเนกประสงค์หน้าอาคารสวัสดิการ (ทุ่งสีกัน 2)",41,380,626
"4688","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกีฬาหมู่บ้านปิ่นเจริญ 4",42,240,653
"4689","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกีฬาหมู่บ้านปิ่นเจริญ 4",43,223,633
"4690","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",44,420,757
"4691","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",45,343,705
"4692","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",46,322,689
"4693","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",47,410,731
"4694","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",48,251,662
"4695","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณวัดคลองบ้านใหม่ (สันติบุญมาราม)",49,277,642
"4696","เขตดอนเมือง","1036","สีกัน",103602,"ศาลาอเนกประสงค์บริเวณบ้านเอื้ออาทร (ถนนเทิดราชัน)",50,404,777
"4697","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณตรงข้ามสำนักงานนิติบุคคลบ้านเอื้ออาทร (ถนนเทิดราชัน)",51,366,762
"4698","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณหมู่บ้านอมรพันธ์ทาวน์โฮม",52,237,688
"4699","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณที่ทำการชุมชนหมู่บ้าน กรป.กลาง",53,264,631
"4700","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณที่ทำการชุมชนหมู่บ้าน กรป.กลาง",54,224,636
"4701","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณที่ทำการชุมชนหมู่บ้าน กรป.กลาง",55,202,627
"4702","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณที่ทำการชุมชนหมู่บ้าน กรป.กลาง",56,184,625
"4703","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณกองพันระวังป้องกัน สำนักงานปลัดกระทรวงกลาโหม",57,258,667
"4704","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณกองพันระวังป้องกัน สำนักงานปลัดกระทรวงกลาโหม",58,257,691
"4705","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณกองพันระวังป้องกัน สำนักงานปลัดกระทรวงกลาโหม",59,339,682
"4706","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสำนักงานหมู่บ้านเดอะคอนเนค 7/1",60,259,576
"4707","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสำนักงานหมู่บ้านเดอะคอนเนค 7/1",61,311,608
"4708","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสำนักงานหมู่บ้านเดอะคอนเนค 7/1",62,250,589
"4709","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลโรงเรียนเจริญวิทยศึกษา (ถนนเดชะตุงคะ)",63,329,579
"4710","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลโรงเรียนเจริญวิทยศึกษา (ถนนเดชะตุงคะ)",64,138,476
"4711","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณสนามฟุตบอลโรงเรียนเจริญวิทยศึกษา (ถนนเดชะตุงคะ)",65,160,460
"4712","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกิจกรรมโรงเรียนบำรุงรวิวรรณวิทยา",66,425,789
"4713","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกิจกรรมโรงเรียนบำรุงรวิวรรณวิทยา",67,224,589
"4714","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกิจกรรมโรงเรียนบำรุงรวิวรรณวิทยา",68,245,620
"4715","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกิจกรรมโรงเรียนบำรุงรวิวรรณวิทยา",69,286,621
"4716","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณลานกิจกรรมโรงเรียนบำรุงรวิวรรณวิทยา",70,383,616
"4717","เขตดอนเมือง","1036","สีกัน",103602,"อาคารบริการ 2 สโมสรทหารอากาศ ทุ่งสีกัน",71,1,827
"4718","เขตดอนเมือง","1036","สีกัน",103602,"อาคารบริการ 2 สโมสรทหารอากาศ ทุ่งสีกัน",72,385,782
"4719","เขตดอนเมือง","1036","สีกัน",103602,"เต็นท์บริเวณอาคารสนามแบดมินตัน กองทัพอากาศ แฟลตทุ่งสีกัน",73,421,762
