"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4851","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บริเวณสวนพระราม 6 ปากซอยสวนเงิน",1,132,778
"4852","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",2,4,633
"4853","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",3,163,624
"4854","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",4,4,645
"4855","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",5,299,596
"4856","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",6,329,663
"4857","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บนทางเท้าซอยเสนารักษ์ (ราชวิถี 15)",7,259,597
"4858","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"วัดอภัยทายาราม",8,133,514
"4859","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"อาคารหอพักแพทย์พยาบาล (ตึกใหม่) โรงพยาบาลราชวิถี",9,2,431
"4860","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"อาคารหอพักแพทย์พยาบาล (ตึกใหม่) โรงพยาบาลราชวิถี",10,249,486
"4861","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงเรียนพญาไท",11,223,508
"4862","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงเรียนพญาไท",12,168,499
"4863","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงเรียนพญาไท",13,288,462
"4864","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์หน้าอาคารฝ่ายการคลัง สำนักป้องกันและบรรเทาสาธารณภัย",14,235,625
"4865","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์หน้าอาคารฝ่ายการคลัง สำนักป้องกันและบรรเทาสาธารณภัย",15,317,596
"4866","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์หน้าอาคารฝ่ายการคลัง สำนักป้องกันและบรรเทาสาธารณภัย",16,365,605
"4867","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงจอดรถอาคารฝ่ายการคลัง สำนักป้องกันและบรรเทาสาธารณภัย",17,335,611
"4868","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์ในลานกีฬาปากซอยมั่นสิน 3",18,132,485
"4869","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์ในลานกีฬาปากซอยมั่นสิน 3",19,162,501
"4870","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บริเวณลานจอดรถสำนักงานนโยบายและแผนการขนส่งและจราจร",20,126,615
"4871","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์ในสนามเด็กเล่นบ้านพักรถไฟจิตรลดา",21,112,496
"4872","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"ด้านหน้าอาคารบริษัทเอ็กมี่ จำกัด",22,178,580
"4873","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บริเวณบริษัทเอ็กมี่ จำกัด",23,220,663
"4874","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บริเวณบริษัทเอ็กมี่ จำกัด",24,224,650
"4875","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"เต็นท์บริเวณบริษัทเอ็กมี่ จำกัด",25,153,635
"4876","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงอาหารโรงเรียนสันติราษฎร์วิทยาลัย",26,225,515
"4877","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงอาหารโรงเรียนสันติราษฎร์วิทยาลัย",27,216,482
"4878","เขตราชเทวี","1037","ทุ่งพญาไท",103701,"โรงอาหารโรงเรียนสันติราษฎร์วิทยาลัย",28,192,464
"4879","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณเกาะพญาไท",1,397,691
"4880","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บนทางเท้าหน้าประตูโรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ  (ประตูด้านถนนรางน้ำ)",2,258,697
"4881","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณโรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ(ประตูด้านถนนศรีอยุธยา)",3,368,636
"4882","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณโรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ (ประตูด้านถนนศรีอยุธยา)",4,377,597
"4883","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณโรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ(ประตูด้านถนนศรีอยุธยา)",5,398,619
"4884","เขตราชเทวี","1037","ถนนพญาไท",103702,"อาคารวิทยาลัยเทคโนโลยีสยามธุรกิจในพระอุปถัมภ์ฯ",6,205,438
"4885","เขตราชเทวี","1037","ถนนพญาไท",103702,"อาคารวิทยาลัยเทคโนโลยีสยามธุรกิจในพระอุปถัมภ์ฯ",7,134,418
"4886","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณลานจอดรถ กรมปศุสัตว์",8,377,710
"4887","เขตราชเทวี","1037","ถนนพญาไท",103702,"เต็นท์บริเวณลานจอดรถ กรมปศุสัตว์",9,493,729
"4888","เขตราชเทวี","1037","ถนนพญาไท",103702,"ลานจอดรถ โรงเรียนเสริมสวยเกศสยาม (เดิม)",10,475,757
"4889","เขตราชเทวี","1037","ถนนพญาไท",103702,"ลานจอดรถ โรงเรียนเสริมสวยเกศสยาม (เดิม)",11,319,728
"4890","เขตราชเทวี","1037","ถนนพญาไท",103702,"อาคารจุลดิศ 1 ชั้นล่าง",12,239,546
"4891","เขตราชเทวี","1037","ถนนพญาไท",103702,"อาคารจุลดิศ 1 ชั้นล่าง",13,273,547
"4892","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนสมาคมสตรีไทย",1,138,408
"4893","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนสมาคมสตรีไทย",2,86,406
"4894","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"ศาลาวรลักษณาวดี วัดพระยายัง",3,171,534
"4895","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"ศาลาวรลักษณาวดี วัดพระยายัง",4,190,514
"4896","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"ศาลาวรลักษณาวดี วัดพระยายัง",5,168,545
"4897","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนกิ่งเพชร",6,184,655
"4898","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนกิ่งเพชร",7,151,655
"4899","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนกิ่งเพชร",8,160,647
"4900","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนกิ่งเพชร",9,160,709
"4901","เขตราชเทวี","1037","ถนนเพชรบุรี",103703,"โรงเรียนกิ่งเพชร",10,181,676
