"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"4936","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนคลองทรงกระเทียม (ซอยนาคนิวาส 2)",1,226,670
"4937","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนคลองทรงกระเทียม (ซอยนาคนิวาส 2)",2,243,672
"4938","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนคลองทรงกระเทียม (ซอยนาคนิวาส 2)",3,259,671
"4939","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ปากซอยสังคมสงเคราะห์ 20",4,231,734
"4940","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ปากซอยสังคมสงเคราะห์ 20",5,215,688
"4941","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนฤทธิไกร (ซอยลาดพร้าววังหิน 1)",6,297,601
"4942","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนฤทธิไกร (ซอยลาดพร้าววังหิน 1)",7,205,601
"4943","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนฤทธิไกร (ซอยลาดพร้าววังหิน 1)",8,184,607
"4944","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนฤทธิไกร (ซอยลาดพร้าววังหิน 1)",9,203,603
"4945","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดลาดพร้าว (ซอยลาดพร้าววังหิน 23)",10,257,657
"4946","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดลาดพร้าว (ซอยลาดพร้าววังหิน 23)",11,411,675
"4947","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดลาดพร้าว (ซอยลาดพร้าววังหิน 23)",12,249,627
"4948","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดลาดพร้าว (ซอยลาดพร้าววังหิน 23)",13,440,617
"4949","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดลาดพร้าว (ซอยลาดพร้าววังหิน 23)",14,237,637
"4950","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"ศูนย์รับฝากไปรษณีย์จำนวนมาก (ตรงข้ามซอยลาดพร้าววังหิน 51)",15,279,752
"4951","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"ศูนย์รับฝากไปรษณีย์จำนวนมาก (ตรงข้ามซอยลาดพร้าววังหิน 51)",16,259,765
"4952","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดสิริกมลาวาส (ถนนลาดพร้าววังหิน)",17,299,690
"4953","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดสิริกมลาวาส (ถนนลาดพร้าววังหิน)",18,262,676
"4954","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดสิริกมลาวาส (ถนนลาดพร้าววังหิน)",19,276,682
"4955","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดสิริกมลาวาส (ถนนลาดพร้าววังหิน)",20,232,701
"4956","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณวัดสิริกมลาวาส (ถนนลาดพร้าววังหิน)",21,306,685
"4957","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนเทพวิทยา (ถนนเสนานิคม 1)",22,198,571
"4958","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนเทพวิทยา (ถนนเสนานิคม 1)",23,251,587
"4959","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนเทพวิทยา (ถนนเสนานิคม 1)",24,223,580
"4960","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"โรงเรียนเทพวิทยา (ถนนเสนานิคม 1)",25,317,630
"4961","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",26,245,648
"4962","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",27,241,635
"4963","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",28,224,610
"4964","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",29,242,640
"4965","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",30,229,652
"4966","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาหมู่บ้าน ช.อมรพันธุ์ 9 (ซอยเสนานิคม 1 ซอย 40)",31,246,655
"4967","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณหมู่บ้านเสนานิเวศน์ โครงการ 1(ซอยเสนานิเวศน์ 112)",32,190,526
"4968","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณหมู่บ้านเสนานิเวศน์ โครงการ 1(ซอยเสนานิเวศน์ 112)",33,175,530
"4969","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์บริเวณหมู่บ้านเสนานิเวศน์ โครงการ 1(ซอยเสนานิเวศน์ 112)",34,163,527
"4970","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์ลานกีฬาในหมู่บ้านเอื้อประชา (ซอยโชคชัย 4 ซอย 14)",35,247,610
"4971","เขตลาดพร้าว","1038","ลาดพร้าว",103801,"เต็นท์หน้าหมู่บ้านโอษธีศ รุ่น 3 (ซอยโชคชัย 4 ซอย 18)",36,336,669
