"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5079","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"ใต้อาคารด้านหน้าธนาคารกรุงไทย สำนักงานใหญ่ระหว่างสุขุมวิท 1-3",1,260,546
"5080","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"ใต้อาคารด้านหน้าธนาคารกรุงไทย สำนักงานใหญ่ระหว่างสุขุมวิท 1-3",2,189,646
"5081","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",3,261,609
"5082","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",4,330,599
"5083","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",5,437,631
"5084","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"โรงเรียนวัฒนาวิทยาลัย",6,355,693
"5085","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",7,553,777
"5086","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",8,609,844
"5087","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"เต็นท์บริเวณด้านหน้าโรงเรียนสาธิต มศว.ประสานมิตร (ฝ่ายมัธยม)",9,385,798
"5088","เขตวัฒนา","1039","คลองเตยเหนือ",103901,"โรงเรียนสวัสดีวิทยา",10,346,661
"5089","เขตวัฒนา","1039","คลองตันเหนือ",103902,"โรงเรียนสวัสดีวิทยา",1,260,569
"5090","เขตวัฒนา","1039","คลองตันเหนือ",103902,"โรงเรียนสวัสดีวิทยา",2,270,612
"5091","เขตวัฒนา","1039","คลองตันเหนือ",103902,"โรงเรียนสวัสดีวิทยา",3,343,702
"5092","เขตวัฒนา","1039","คลองตันเหนือ",103902,"ใต้อาคารจอดรถโรงเรียนนานาชาติบางกอกเพรพ สุขุมวิท 53",4,277,577
"5093","เขตวัฒนา","1039","คลองตันเหนือ",103902,"ใต้อาคารจอดรถโรงเรียนนานาชาติบางกอกเพรพ สุขุมวิท 53",5,307,587
"5094","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์บริเวณที่จอดรถธนาคารออมสินภาค 2 ปากซอยสุขุมวิท 39",6,424,703
"5095","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์บริเวณที่จอดรถธนาคารออมสินภาค 2 ปากซอยสุขุมวิท 39",7,460,751
"5096","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์บริเวณที่จอดรถธนาคารออมสินภาค 2 ปากซอยสุขุมวิท 39",8,336,655
"5097","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์บริเวณที่จอดรถธนาคารออมสินภาค 2 ปากซอยสุขุมวิท 39",9,312,722
"5098","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์บริเวณที่จอดรถธนาคารออมสินภาค 2 ปากซอยสุขุมวิท 39",10,308,678
"5099","เขตวัฒนา","1039","คลองตันเหนือ",103902,"เต็นท์ลานจอดรถปลายซอยทองหล่อ 11(ที่จอดรถโรงพยาบาลสมิติเวชเดิม)",11,286,545
