"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5169","เขตบางแค","1040","บางแค",104001,"เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010",1,296,676
"5170","เขตบางแค","1040","บางแค",104001,"เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010",2,324,763
"5171","เขตบางแค","1040","บางแค",104001,"เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010",3,336,740
"5172","เขตบางแค","1040","บางแค",104001,"ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์",4,374,865
"5173","เขตบางแค","1040","บางแค",104001,"ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์",5,436,881
"5174","เขตบางแค","1040","บางแค",104001,"ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์",6,509,899
"5175","เขตบางแค","1040","บางแค",104001,"เต็นท์ลานจอดรถร้านกรีนเฮ้าส์ ถนนกาญจนาภิเษก",7,325,798
"5176","เขตบางแค","1040","บางแค",104001,"โรงเรียนพิชญ์ชนก",8,193,637
"5177","เขตบางแค","1040","บางแค",104001,"โรงเรียนพิชญ์ชนก",9,183,656
"5178","เขตบางแค","1040","บางแค",104001,"โรงเรียนพิชญ์ชนก",10,158,647
"5179","เขตบางแค","1040","บางแค",104001,"โรงเรียนพิชญ์ชนก",11,179,703
"5180","เขตบางแค","1040","บางแค",104001,"โรงเรียนพิชญ์ชนก",12,194,627
"5181","เขตบางแค","1040","บางแค",104001,"เต็นท์ภายในโรงเรียนพิชญ์ชนก",13,241,813
"5182","เขตบางแค","1040","บางแค",104001,"เต็นท์ภายในโรงเรียนพิชญ์ชนก",14,312,753
"5183","เขตบางแค","1040","บางแค",104001,"เต็นท์ภายในโรงเรียนพิชญ์ชนก",15,224,794
"5184","เขตบางแค","1040","บางแค",104001,"เต็นท์ภายในโรงเรียนพิชญ์ชนก",16,311,783
"5185","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",17,283,772
"5186","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",18,252,656
"5187","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",19,234,653
"5188","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",20,219,643
"5189","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",21,253,746
"5190","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",22,284,776
"5191","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",23,420,752
"5192","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",24,432,762
"5193","เขตบางแค","1040","บางแค",104001,"โรงเรียนคลองหนองใหญ่",25,502,820
"5194","เขตบางแค","1040","บางแค",104001,"เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้",26,199,667
"5195","เขตบางแค","1040","บางแค",104001,"เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้",27,260,938
"5196","เขตบางแค","1040","บางแค",104001,"เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้",28,227,770
"5197","เขตบางแค","1040","บางแค",104001,"อาคารโรงเรียนประทุมอนุสรณ์",29,267,810
"5198","เขตบางแค","1040","บางแค",104001,"อาคารโรงเรียนประทุมอนุสรณ์",30,281,780
"5199","เขตบางแค","1040","บางแค",104001,"อาคารโรงเรียนประทุมอนุสรณ์",31,205,782
"5200","เขตบางแค","1040","บางแค",104001,"โรงอาหารโรงเรียนประทุมอนุสรณ์",32,174,697
"5201","เขตบางแค","1040","บางแค",104001,"โรงอาหารโรงเรียนประทุมอนุสรณ์",33,259,779
"5202","เขตบางแค","1040","บางแค",104001,"โรงอาหารโรงเรียนประทุมอนุสรณ์",34,490,784
"5203","เขตบางแค","1040","บางแค",104001,"เต็นท์ลานจอดรถศูนย์การค้าตลาดบางแค",35,242,566
"5204","เขตบางแค","1040","บางแค",104001,"เต็นท์ลานจอดรถศูนย์การค้าตลาดบางแค",36,234,764
"5205","เขตบางแค","1040","บางแค",104001,"เต็นท์ลานจอดรถ 2 ตลาดวันเดอร์",37,266,880
"5206","เขตบางแค","1040","บางแค",104001,"เต็นท์ลานจอดรถ 2 ตลาดวันเดอร์",38,454,832
"5207","เขตบางแค","1040","บางแค",104001,"เต็นท์สถานีดับเพลิงและกู้ภัยบางแค",39,285,736
"5208","เขตบางแค","1040","บางแค",104001,"เต็นท์สถานีดับเพลิงและกู้ภัยบางแค",40,224,644
"5209","เขตบางแค","1040","บางแค",104001,"เต็นท์สถานีดับเพลิงและกู้ภัยบางแค",41,178,597
