"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5395","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1)",1,266,710
"5396","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1)",2,234,680
"5397","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1)",3,252,705
"5398","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1)",4,328,730
"5399","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"ศาลากาญจนาภิเษก ซอยชมรมเกษตรนิเวศน์",5,279,692
"5400","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์",6,264,670
"5401","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์",7,251,660
"5402","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์",8,292,699
"5403","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์",9,315,684
"5404","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14",10,231,650
"5405","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14",11,260,643
"5406","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14",12,211,586
"5407","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์หน้าอาคารสโมสรหมู่บ้านชวนชื่น",13,227,616
"5408","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์หน้าอาคารสำนักงาน 2 ศูนย์กิจกรรมชุมชนชวนชื่นบางเขน",14,248,647
"5409","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์หน้าอาคารศูนย์กิจกรรมชุมชนชวนชื่นบางเขน",15,254,613
"5410","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A)",16,292,734
"5411","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A)",17,355,698
"5412","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A)",18,359,705
"5413","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A)",19,390,768
"5414","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",20,186,633
"5415","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",21,202,547
"5416","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",22,322,708
"5417","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",23,274,742
"5418","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",24,350,732
"5419","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",25,251,738
"5420","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",26,314,653
"5421","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",27,289,739
"5422","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",28,265,766
"5423","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",29,241,678
"5424","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1",30,233,688
"5425","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่",31,204,488
"5426","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่",32,206,539
"5427","เขตหลักสี่","1041","ทุ่งสองห้อง",104101,"อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่",33,306,470
