"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5517","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",1,338,793
"5518","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",2,421,775
"5519","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",3,369,807
"5520","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",4,373,766
"5521","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",5,361,810
"5522","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",6,337,914
"5523","เขตสายไหม","1042","สายไหม",104201,"ลานอเนกประสงค์โรงเรียนวัดหนองใหญ่",7,307,768
"5524","เขตสายไหม","1042","สายไหม",104201,"โรงเรียนวัดหนองใหญ่ห้องเรียนอาคาร 3 ชั้น 1",8,311,790
"5525","เขตสายไหม","1042","สายไหม",104201,"โรงเรียนวัดหนองใหญ่ห้องเรียนอาคาร 3 ชั้น 1",9,328,801
"5526","เขตสายไหม","1042","สายไหม",104201,"โรงอาหารโรงเรียนวัดหนองใหญ่",10,271,759
"5527","เขตสายไหม","1042","สายไหม",104201,"โรงอาหารโรงเรียนวัดหนองใหญ่",11,377,881
"5528","เขตสายไหม","1042","สายไหม",104201,"เต็นท์ในบริเวณลานกีฬาหมู่บ้านอัมรินทร์นิเวศน์ 3 ผัง 2",12,191,608
"5529","เขตสายไหม","1042","สายไหม",104201,"เต็นท์ในบริเวณลานกีฬาหมู่บ้านอัมรินทร์นิเวศน์ 3 ผัง 2",13,227,603
"5530","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณตลาดสายไหม 43",14,258,640
"5531","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณตลาดสายไหม 43",15,336,749
"5532","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณตลาดสายไหม 43",16,403,810
"5533","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหมู่บ้านซิลค์วิลเลจ",17,205,525
"5534","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหมู่บ้านซิลค์วิลเลจ",18,215,529
"5535","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหมู่บ้านพฤกษาไพร์ม",19,373,754
"5536","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหน้าหมู่บ้านรัชธานี 6",20,300,746
"5537","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหน้าหมู่บ้านรัชธานี 6",21,256,673
"5538","เขตสายไหม","1042","สายไหม",104201,"เต็นท์บริเวณหน้าหมู่บ้านรัชธานี 6",22,307,799
"5539","เขตสายไหม","1042","สายไหม",104201,"เต็นท์ในบริเวณสนามเด็กเล่นหมู่บ้านทัพฟ้า",23,176,522
"5540","เขตสายไหม","1042","สายไหม",104201,"เต็นท์ในบริเวณสนามเด็กเล่นหมู่บ้านทัพฟ้า",24,186,535
