"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5743","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าหมู่บ้านเจริญทรัพย์",1,177,396
"5744","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าสนามกีฬา (ไนติงเกล)",2,193,463
"5745","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถร้านอาหาร PLAY",3,272,551
"5746","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถร้านอาหาร PLAY",4,203,527
"5747","เขตคันนายาว","1043","คันนายาว",104301,"วัดราษฎร์ศรัทธาธรรม (บางชัน)",5,181,513
"5748","เขตคันนายาว","1043","คันนายาว",104301,"วัดราษฎร์ศรัทธาธรรม (บางชัน)",6,131,446
"5749","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปั๊มน้ำมันเอสโซ่ (กม.12)",7,347,774
"5750","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์",8,257,634
"5751","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์",9,236,599
"5752","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์",10,257,660
"5753","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณอาคารอมรพันธ์แซทเทอไลท์คอนโดทาวน์ (R 4)",11,306,714
"5754","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณอาคารอมรพันธ์แซทเทอไลท์คอนโดทาวน์ (R 4)",12,393,788
"5755","เขตคันนายาว","1043","คันนายาว",104301,"ศาลาบริเวณสนามเด็กเล่นหมู่บ้านเก้าแสนเจ็ด",13,208,483
"5756","เขตคันนายาว","1043","คันนายาว",104301,"ศาลาบริเวณสนามเด็กเล่นหมู่บ้านเก้าแสนเจ็ด",14,156,418
"5757","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถแกรนด์สยามอินน์",15,149,414
"5758","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถแกรนด์สยามอินน์",16,171,518
"5759","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานกีฬาชุมชนอมรพันธ์นครสวนสยาม",17,220,597
"5760","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถธนาคารกรุงเทพ สาขาสวนสยาม",18,234,588
"5761","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถธนาคารไทยพาณิชย์ สาขาถนนเสรีไทย",19,250,592
"5762","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านเกษรา",20,479,748
"5763","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านเกษรา",21,191,495
"5764","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถทองประกายคอนโดเทล",22,129,485
"5765","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถทองประกายคอนโดเทล",23,191,488
"5766","เขตคันนายาว","1043","คันนายาว",104301,"โรงเรียนคันนายาว",24,260,838
"5767","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าโชว์รูมรถยนต์โตโยต้า สาขาสุขาภิบาล 2",25,253,522
"5768","เขตคันนายาว","1043","คันนายาว",104301,"โรงเรียนสอนศาสนานูรุดดีน (สุเหร่าแดง)",26,175,684
"5769","เขตคันนายาว","1043","คันนายาว",104301,"โรงเรียนสอนศาสนานูรุดดีน (สุเหร่าแดง)",27,164,659
"5770","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าหมู่บ้านเรือนทองนิเวศน์",28,307,772
"5771","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปากซอยเสรีไทย 67",29,220,541
"5772","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปากซอยเสรีไทย 69",30,330,706
"5773","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปากซอยเสรีไทย 69",31,158,687
"5774","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปากซอยเสรีไทย 69",32,155,738
"5775","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณปากซอยเสรีไทย 71/1",33,301,600
"5776","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณ สน.บางชัน",34,168,415
"5777","เขตคันนายาว","1043","คันนายาว",104301,"บริเวณชุมชนหมู่บ้านอมรพันธ์นครเสรีไทย (ศาลามหาราช)",35,289,750
"5778","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านราณี",36,149,368
"5779","เขตคันนายาว","1043","คันนายาว",104301,"ศูนย์พัฒนาเด็กก่อนวัยเรียนชุมชนบ้านเกาะ",37,113,481
"5780","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานกีฬาหมู่บ้านแสงอรุณ",38,201,602
"5781","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานกีฬาหมู่บ้านแสงอรุณ",39,210,659
"5782","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถข้างอาคารบลอสซั่ม คอนโด",40,337,538
"5783","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณลานจอดรถข้างอาคารบลอสซั่ม คอนโด",41,322,683
"5784","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณหน้าสโมสรหมู่บ้านชลลดา",42,215,560
"5785","เขตคันนายาว","1043","คันนายาว",104301,"เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านเพชรอนันต์",43,484,942
