"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5854","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",1,305,794
"5855","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",2,274,703
"5856","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",3,284,780
"5857","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",4,273,763
"5858","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",5,227,767
"5859","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",6,283,786
"5860","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",7,184,775
"5861","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",8,265,750
"5862","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",9,203,665
"5863","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณสำนักงานเขตสะพานสูง",10,275,699
"5864","เขตสะพานสูง","1044","สะพานสูง",104401,"โรงเรียนศิริเพ็ญ",11,323,792
"5865","เขตสะพานสูง","1044","สะพานสูง",104401,"โรงเรียนศิริเพ็ญ",12,361,756
"5866","เขตสะพานสูง","1044","สะพานสูง",104401,"โรงเรียนศิริเพ็ญ",13,298,741
"5867","เขตสะพานสูง","1044","สะพานสูง",104401,"โรงเรียนศิริเพ็ญ",14,264,745
"5868","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",15,250,661
"5869","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",16,210,629
"5870","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",17,234,654
"5871","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",18,246,650
"5872","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",19,225,624
"5873","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",20,241,656
"5874","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",21,230,638
"5875","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",22,228,642
"5876","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",23,234,657
"5877","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",24,236,648
"5878","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",25,245,643
"5879","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",26,259,690
"5880","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า",27,261,717
"5881","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนโสมาภานุสสรณ์",28,220,757
"5882","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนโสมาภานุสสรณ์",29,356,801
"5883","เขตสะพานสูง","1044","สะพานสูง",104401,"เต็นท์บริเวณโรงเรียนโสมาภานุสสรณ์",30,424,766
