"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"5964","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนสุเหร่าลาดพร้าว ซอยสหการประมูล",1,333,646
"5965","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนสุเหร่าลาดพร้าว ซอยสหการประมูล",2,319,649
"5966","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนสุเหร่าลาดพร้าว ซอยสหการประมูล",3,320,659
"5967","เขตวังทองหลาง","1045","วังทองหลาง",104501,"เต็นท์ข้างอาคารไอยรา แพลนเน็ท(ปากซอยลาดพร้าว84)",4,329,772
"5968","เขตวังทองหลาง","1045","วังทองหลาง",104501,"เต็นท์ข้างอาคารไอยรา แพลนเน็ท(ปากซอยลาดพร้าว84)",5,426,790
"5969","เขตวังทองหลาง","1045","วังทองหลาง",104501,"เต็นท์ข้างอาคารไอยรา แพลนเน็ท(ปากซอยลาดพร้าว84)",6,241,722
"5970","เขตวังทองหลาง","1045","วังทองหลาง",104501,"เต็นท์ข้างอาคารไอยรา แพลนเนท (ปากซอยลาดพร้าว84)",7,310,720
"5971","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",8,289,757
"5972","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",9,330,810
"5973","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",10,272,799
"5974","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",11,265,748
"5975","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",12,318,791
"5976","เขตวังทองหลาง","1045","วังทองหลาง",104501,"โรงเรียนวัดสามัคคีธรรม(ซอยลาดพร้าว80แยก14)",13,298,800
