"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"6086","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์หน้าหมู่บ้านพนาสนธิ์การ์เด้นโฮม 1 ถนนหทัยราษฎร์",1,290,852
"6087","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",2,267,628
"6088","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",3,272,636
"6089","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",4,255,588
"6090","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",5,226,542
"6091","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",6,258,619
"6092","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณวงเวียนศาลพระพรหมหมู่บ้านเมืองประชา",7,246,607
"6093","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ริมถนนหทัยราษฎร์ระหว่างซอยหทัยราษฎร์ 37 - 39",8,205,599
"6094","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ริมถนนหทัยราษฎร์ระหว่างซอยหทัยราษฎร์ 37 - 39",9,250,627
"6095","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนสุเหร่าสามวา ซอยหทัยราษฎร์ 40",10,357,702
"6096","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนสุเหร่าสามวา ซอยหทัยราษฎร์ 40",11,368,656
"6097","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนสุเหร่าสามวา ซอยหทัยราษฎร์ 40",12,167,517
"6098","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนสุเหร่าสามวา ซอยหทัยราษฎร์ 40",13,166,584
"6099","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์ 3 ชั้น โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",14,328,665
"6100","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์ 3 ชั้น โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",15,248,615
"6101","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์ 3 ชั้น โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",16,253,620
"6102","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์ 3 ชั้น โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",17,272,651
"6103","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงอาหาร 2 โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",18,327,664
"6104","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงอาหาร 2 โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",19,294,658
"6105","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงอาหาร 2 โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",20,284,595
"6106","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงอาหาร 2 โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",21,254,558
"6107","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคาร 30 ปี นวมินทร์ โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",22,282,604
"6108","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคาร 30 ปี นวมินทร์ โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย",23,326,646
"6109","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดแป้นทอง ซอยหทัยราษฎร์ 39",24,313,656
"6110","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดแป้นทอง ซอยหทัยราษฎร์ 39",25,195,527
"6111","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดแป้นทอง ซอยหทัยราษฎร์ 39",26,198,474
"6112","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดแป้นทอง ซอยหทัยราษฎร์ 39",27,192,493
"6113","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดแป้นทอง ซอยหทัยราษฎร์ 39",28,194,525
"6114","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 1 ซอยหทัยราษฎร์ 39",29,246,606
"6115","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 1 ซอยหทัยราษฎร์ 39",30,252,656
"6116","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 1 ซอยหทัยราษฎร์ 39",31,244,607
"6117","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 1 ซอยหทัยราษฎร์ 39",32,246,610
"6118","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 1 ซอยหทัยราษฎร์ 39",33,225,567
"6119","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 2 ซอยหทัยราษฎร์ 39",34,225,604
"6120","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 2 ซอยหทัยราษฎร์ 39",35,177,499
"6121","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 3 ซอยหทัยราษฎร์ 39",36,266,699
"6122","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์สนามกีฬาในหมู่บ้าน เค.ซี.รามอินทรา 3 ซอยหทัยราษฎร์ 39",37,284,751
"6123","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ลานอเนกประสงค์หมู่บ้านวงศกร 3 ซอยหนองระแหง 3",38,325,769
"6124","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ลานอเนกประสงค์หมู่บ้านวงศกร 3 ซอยหนองระแหง 3",39,255,641
"6125","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนบ้านหนองระแหง ถนนหนองระแหง",40,424,708
"6126","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนบ้านหนองระแหง ถนนหนองระแหง",41,237,663
"6127","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณลานกีฬาหมู่บ้านวงศกร 5 ซอยหนองระแหง 4 แยก 1",42,190,503
"6128","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์บริเวณลานกีฬาหมู่บ้านวงศกร 5 ซอยหนองระแหง 4 แยก 1",43,185,472
"6129","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์หน้าสโมสรหมู่บ้านเนเบอร์โฮม ซอยสุขาภิบาล 5 ซอย 82",44,287,661
"6130","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์หน้าสโมสรหมู่บ้านเนเบอร์โฮม ซอยสุขาภิบาล 5 ซอย 82",45,340,690
"6131","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนกลางคลองสอง ซอยพระยาสุเรนทร์ 40",46,302,734
"6132","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนกลางคลองสอง ซอยพระยาสุเรนทร์ 40",47,300,701
"6133","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนกลางคลองสอง ซอยพระยาสุเรนทร์ 40",48,287,706
"6134","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ใกล้สโมสรหมู่บ้านบุศรินทร์ ซอยพระยาสุเรนทร์ 40",49,284,637
"6135","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ใกล้สโมสรหมู่บ้านบุศรินทร์ ซอยพระยาสุเรนทร์ 40",50,284,618
"6136","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์หมู่บ้านเสนาวิลล่า 4 ซอยพระยาสุเรนทร์ 40",51,311,782
"6137","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์หมู่บ้านเลิศอุบล ซอยพระยาสุเรนทร์ 44",52,202,459
"6138","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"อาคารอเนกประสงค์หมู่บ้านเลิศอุบล ซอยพระยาสุเรนทร์ 44",53,161,443
"6139","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดพระยาสุเรนทร์ ถนนพระยาสุเรนทร์",54,212,668
"6140","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดพระยาสุเรนทร์ ถนนพระยาสุเรนทร์",55,207,528
"6141","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดพระยาสุเรนทร์ ถนนพระยาสุเรนทร์",56,327,726
"6142","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"โรงเรียนวัดพระยาสุเรนทร์ ถนนพระยาสุเรนทร์",57,277,676
"6143","เขตคลองสามวา","1046","สามวาตะวันตก",104601,"เต็นท์ข้างสโมสรหมู่บ้านบุรีรมย์ ซอยคู้บอน 41",58,301,701
