"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"6333","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",1,545,738
"6334","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",2,314,629
"6335","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",3,265,710
"6336","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",4,210,538
"6337","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",5,277,614
"6338","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",6,182,501
"6339","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",7,178,476
"6340","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",8,142,396
"6341","เขตบางนา","1047","บางนาเหนือ",104701,"สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์",9,367,618
"6342","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",10,352,592
"6343","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",11,250,512
"6344","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",12,183,489
"6345","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",13,125,447
"6346","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",14,148,492
"6347","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",15,142,498
"6348","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",16,185,523
"6349","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",17,172,639
"6350","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",18,212,646
"6351","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",19,186,579
"6352","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",20,410,777
"6353","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",21,412,787
"6354","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",22,250,707
"6355","เขตบางนา","1047","บางนาเหนือ",104701,"เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร",23,284,770
