"BBKK_ID","SubDist","Dist","SubC","Place","Unit","Housing","MVoter","FMVoter","Voter","DistC"
6456,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",1,134,223,268,491,"1048"
6457,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",2,197,237,284,521,"1048"
6458,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",3,193,237,294,531,"1048"
6459,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",4,162,246,274,520,"1048"
6460,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",5,204,243,329,572,"1048"
6461,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",6,221,301,361,662,"1048"
6462,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนคลองทวีวัฒนา",7,227,278,304,582,"1048"
6463,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนทีปังกรวิทยาพัฒน์ (ทวีวัฒนา) ในพระบรมราชูปถัมภ์ฯ",8,150,243,255,498,"1048"
6464,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"โรงเรียนทีปังกรวิทยาพัฒน์ (ทวีวัฒนา) ในพระบรมราชูปถัมภ์ฯ",9,145,243,283,526,"1048"
6465,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"เต็นท์ข้างที่ทำการชุมชนสินพัฒนาธานี ซอยทวีวัมนา 9 (อำนวยโชค)",10,183,274,315,589,"1048"
6466,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"เต็นท์ข้างที่ทำการชุมชนสินพัฒนาธานี ซอยทวีวัมนา 9 (อำนวยโชค)",11,235,263,316,579,"1048"
6467,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"เต็นท์ข้างที่ทำการชุมชนสินพัฒนาธานี ซอยทวีวัมนา 9 (อำนวยโชค)",12,250,317,356,673,"1048"
6468,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"เต็นท์ข้างที่ทำการชุมชนสินพัฒนาธานี ซอยทวีวัมนา 9 (อำนวยโชค)",13,349,307,407,714,"1048"
6469,"ทวีวัฒนา","เขตทวีวัฒนา",104801,"อาคารบริเวณปากซอยทวีวัฒนา 19",14,201,282,344,626,"1048"
