"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"6579","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนนาหลวง",1,286,748
"6580","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนนาหลวง",2,228,725
"6581","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนนาหลวง",3,322,806
"6582","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนนาหลวง",4,269,817
"6583","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ",5,257,785
"6584","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ",6,188,729
"6585","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ",7,277,780
"6586","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ",8,275,671
"6587","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ",9,230,600
"6588","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนมัมบะอิลอิสลาม",10,230,843
"6589","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนมัมบะอิลอิสลาม",11,300,908
"6590","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนมัมบะอิลอิสลาม",12,237,918
"6591","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนมัมบะอิลอิสลาม",13,299,930
"6592","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ใกล้ศูนย์พัฒนาเด็กเล็กก่อนวัยเรียนชุมชนบลูไลท์(ซอยประชาอุทิศ 33)",14,156,554
"6593","เขตทุ่งครุ","1049","บางมด",104901,"เต็นท์ใกล้ศูนย์พัฒนาเด็กเล็กก่อนวัยเรียนชุมชนบลูไลท์ (ซอยประชาอุทิศ 33)",15,158,582
"6594","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ)",16,333,835
"6595","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ)",17,467,716
"6596","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ)",18,249,846
"6597","เขตทุ่งครุ","1049","บางมด",104901,"โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ)",19,157,690
