"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"6698","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณหน้าสำนักงานหมู่บ้านวรารมย์ ถนนบางบอน 5",1,267,620
"6699","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณหน้าสำนักงานหมู่บ้านวรารมย์ ถนนบางบอน 5",2,248,587
"6700","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5",3,203,560
"6701","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5",4,217,572
"6702","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5",5,234,549
"6703","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5",6,246,691
"6704","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5",7,230,674
"6705","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5",8,226,669
"6706","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5",9,206,607
"6707","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5",10,228,610
"6708","เขตบางบอน","1050","บางบอนเหนือ",105002,"วิทยาลัยเทคนิคราชสิทธาราม ซอยเอกชัย 116",11,321,824
"6709","เขตบางบอน","1050","บางบอนเหนือ",105002,"วิทยาลัยเทคนิคราชสิทธาราม ซอยเอกชัย 116",12,247,795
"6710","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",13,318,748
"6711","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",14,271,756
"6712","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต้นท์บริเวณบึงบางบอน ถนนบางบอน 3",15,275,720
"6713","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",16,235,675
"6714","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",17,223,683
"6715","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",18,303,749
"6716","เขตบางบอน","1050","บางบอนเหนือ",105002,"เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3",19,230,688
"6717","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนบ้านนายเหรียญ",20,353,824
"6718","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนบ้านนายเหรียญ",21,268,789
"6719","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนบ้านนายเหรียญ",22,293,806
"6720","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนบ้านนายสี",23,272,799
"6721","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนวัดนินสุขาราม",24,302,702
"6722","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนวัดนินสุขาราม",25,246,696
"6723","เขตบางบอน","1050","บางบอนเหนือ",105002,"โรงเรียนวัดนินสุขาราม",26,327,681
"6724","เขตบางบอน","1050","บางบอนใต้",105003,"เต็นท์บริเวณร้านอาหาร ส.สุขโภชนา ถนนกาญจนาภิเษก",1,424,886
"6725","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",2,257,681
"6726","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",3,233,706
"6727","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",4,233,699
"6728","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",5,229,681
"6729","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",6,253,700
"6730","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",7,213,732
"6731","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",8,296,775
"6732","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนพรหมราษฎร์รังสรรค์",9,230,746
"6733","เขตบางบอน","1050","บางบอนใต้",105003,"เรือนจำพิเศษธนบุรี",10,281,679
"6734","เขตบางบอน","1050","บางบอนใต้",105003,"เรือนจำพิเศษธนบุรี",11,221,599
"6735","เขตบางบอน","1050","บางบอนใต้",105003,"เรือนจำพิเศษธนบุรี",12,330,688
"6736","เขตบางบอน","1050","บางบอนใต้",105003,"เรือนจำพิเศษธนบุรี",13,174,651
"6737","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",14,244,718
"6738","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",15,232,668
"6739","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",16,275,754
"6740","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",17,265,742
"6741","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",18,205,676
"6742","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",19,210,644
"6743","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",20,221,665
"6744","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",21,189,627
"6745","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",22,215,625
"6746","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนวัดบางบอน",23,198,699
"6747","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนสถานีพรมแดน",24,154,547
"6748","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนสถานีพรมแดน",25,180,603
"6749","เขตบางบอน","1050","บางบอนใต้",105003,"โรงเรียนสถานีพรมแดน",26,202,587
"6750","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณห้างแมคโคร สาขาบางบอน",1,321,674
"6751","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณหน้าศาลเจ้าในหมู่บ้านวิเศษสุข ซอยเอกชัย 84",2,352,912
"6752","เขตบางบอน","1050","คลองบางพราน",105004,"ตลาดหมู่บ้านเอสเค ซอยเอกชัย 76",3,240,647
"6753","เขตบางบอน","1050","คลองบางพราน",105004,"ตลาดหมู่บ้านเอสเค ซอยเอกชัย 76",4,238,634
"6754","เขตบางบอน","1050","คลองบางพราน",105004,"ตลาดหมู่บ้านเอสเค ซอยเอกชัย 76",5,293,731
"6755","เขตบางบอน","1050","คลองบางพราน",105004,"ตลาดหมู่บ้านเอสเค ซอยเอกชัย 76",6,232,684
"6756","เขตบางบอน","1050","คลองบางพราน",105004,"ศาลาอเนกประสงค์ตลาดสุขสวัสดี ปากซอยเอกชัย 66",7,265,611
"6757","เขตบางบอน","1050","คลองบางพราน",105004,"ศาลาอเนกประสงค์ตลาดสุขสวัสดี ปากซอยเอกชัย 66",8,165,630
"6758","เขตบางบอน","1050","คลองบางพราน",105004,"ศาลาอเนกประสงค์ตลาดสุขสวัสดี ปากซอยเอกชัย 66",9,229,650
"6759","เขตบางบอน","1050","คลองบางพราน",105004,"ศาลาอเนกประสงค์ตลาดสุขสวัสดี ปากซอยเอกชัย 66",10,233,562
"6760","เขตบางบอน","1050","คลองบางพราน",105004,"ศาลาอเนกประสงค์ตลาดสุขสวัสดี ปากซอยเอกชัย 66",11,214,559
"6761","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณปากทางเข้าหมู่บ้านภาสกร ถนนบางบอน 1",12,200,589
"6762","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณปากทางเข้าหมู่บ้านภาสกร ถนนบางบอน 1",13,250,653
"6763","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณปากทางเข้าหมู่บ้านภาสกร ถนนบางบอน 1",14,223,632
"6764","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณปากทางเข้าหมู่บ้านภาสกร ถนนบางบอน 1",15,263,685
"6765","เขตบางบอน","1050","คลองบางพราน",105004,"เต็นท์บริเวณข้างหมู่บ้านตวงทอง 6 ซอยบางบอน 20",16,160,494
