"BBKK_ID","Dist","DistC","SubDist","SubC","Place","Unit","Housing","Voter"
"0001","เขตพระนคร","1001","พระบรมมหาราชวัง",100101,"หอประชุม มหาวิทยาลัยศิลปากร ถนนมหาราช",1,179,605
"0002","เขตพระนคร","1001","พระบรมมหาราชวัง",100101,"โรงเรียนวัดมหาธาตุ ถนนพระจันทร์",2,199,654
"0003","เขตพระนคร","1001","พระบรมมหาราชวัง",100101,"อาคารวาสนะประทานวิทยาสิทธิ์ 1 โรงเรียนวัดราชบพิธ ถนนสนามไชย",3,62,337
"0004","เขตพระนคร","1001","พระบรมมหาราชวัง",100101,"โรงเรียนวัดพระเชตุพน ถนนมหาราช",4,240,826
"0005","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร",1,141,473
"0006","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร",2,195,593
"0007","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร",3,183,605
"0008","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร",4,151,550
"0009","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"ตึกจุฑาธุช 100 ปี วิทยาลัยเพาะช่างฯ ถนนตรีเพชร",5,154,475
"0010","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"โรงเรียนวัดราชบูรณะ ถนนตรีเพชร",6,223,488
"0011","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"โรงเรียนวัดราชบูรณะ ถนนตรีเพชร",7,147,456
"0012","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา",8,152,470
"0013","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณศาลเจ้าแม่ทับทิม ถนนจักรเพชร",9,165,488
"0014","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ (เยื้องวัดราชบพิธ)",10,162,531
"0015","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด",11,138,458
"0016","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด",12,170,525
"0017","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา",13,157,484
"0018","เขตพระนคร","1001","วังบูรพาภิรมย์",100102,"เต็นท์หัวมุมสวนหย่อมเกาะกลางถนนอุณากรรณ ตรงข้ามสวนรมณีนาถ",14,270,618
"0019","เขตพระนคร","1001","วัดราชบพิธ",100103,"โรงเรียนราชบพิธ ถนนราชบพิธ",1,139,474
"0020","เขตพระนคร","1001","วัดราชบพิธ",100103,"โรงเรียนราชบพิธ ถนนราชบพิธ",2,174,598
"0021","เขตพระนคร","1001","วัดราชบพิธ",100103,"โรงเรียนราชบพิธ ถนนราชบพิธ",3,157,476
"0022","เขตพระนคร","1001","วัดราชบพิธ",100103,"โรงเรียนราชบพิธ ถนนราชบพิธ",4,162,571
"0023","เขตพระนคร","1001","วัดราชบพิธ",100103,"โรงเรียนวัดสุทัศน์ ถนนอุณากรรณ",5,116,360
"0024","เขตพระนคร","1001","สำราญราษฎร์",100104,"เต็นท์บริเวณหน้าศาลาการเปรียญ วัดเทพธิดาราม",1,208,823
"0025","เขตพระนคร","1001","สำราญราษฎร์",100104,"โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์",2,164,539
"0026","เขตพระนคร","1001","สำราญราษฎร์",100104,"โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์",3,146,459
"0027","เขตพระนคร","1001","สำราญราษฎร์",100104,"เต็นท์ภายในสวนรมณีนาถ ถนนมหาไชย",4,144,462
"0028","เขตพระนคร","1001","ศาลเจ้าพ่อเสือ",100105,"วิทยาลัยเทคโนโลยีพระนครพณิชยการ ถนนบุญศิริ",1,224,739
"0029","เขตพระนคร","1001","ศาลเจ้าพ่อเสือ",100105,"เต็นท์บริเวณบ้านตะละภัฏ ถนนแพร่งนรา",2,172,597
