index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
3025,3026,บางพลัด,เขตบางพลัด,102501,เต็นท์หน้าโรงแรมรอยัลริเวอร์,1,320,328,424,752,1025,Zone05,1
3026,3027,บางพลัด,เขตบางพลัด,102501,เต็นท์หน้าโรงแรมรอยัลริเวอร์,2,232,276,362,638,1025,Zone05,0
3027,3028,บางพลัด,เขตบางพลัด,102501,วิทยาลัยสารพัดช่างนครหลวง (ซอยจรัญสนิทวงศ์ 68),3,227,268,326,594,1025,Zone05,1
3028,3029,บางพลัด,เขตบางพลัด,102501,วิทยาลัยสารพัดช่างนครหลวง (ซอยจรัญสนิทวงศ์ 68 ),4,182,329,347,676,1025,Zone05,1
3029,3030,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดเทพากร,5,150,242,292,534,1025,Zone05,1
3030,3031,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดเทพากร,6,111,238,257,495,1025,Zone05,1
3031,3032,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดอาวุธวิกสิตาราม,7,120,199,208,407,1025,Zone05,2
3032,3033,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดอาวุธวิกสิตาราม,8,98,210,204,414,1025,Zone05,3
3033,3034,บางพลัด,เขตบางพลัด,102501,เต็นท์หน้าสำนักงานคณะวิทยาศาสตร์และเทคโนโลยีอาคารกรุงธนเมืองแก้ว ถนนสิรินธร,9,179,201,260,461,1025,Zone05,3
3034,3035,บางพลัด,เขตบางพลัด,102501,เต็นท์หน้าสำนักงานคณะวิทยาศาสตร์และเทคโนโลยีอาคารกรุงธนเมืองแก้ว ถนนสิริธร,10,188,231,275,506,1025,Zone05,1
3035,3036,บางพลัด,เขตบางพลัด,102501,เต็นท์บริเวณลานจอดรถออฟฟิศเมท (ใกล้ซอยจรัสลาภ ถนนสิรินธร),11,257,323,391,714,1025,Zone05,1
3036,3037,บางพลัด,เขตบางพลัด,102501,เต็นท์บริเวณลานจอดรถออฟฟิศเมท (ใกล้ซอยจรัสลาภ ถนนสิรินธร),12,309,288,406,694,1025,Zone05,1
3037,3038,บางพลัด,เขตบางพลัด,102501,โรงเรียนพิมลวิทย์,13,225,266,340,606,1025,Zone05,1
3038,3039,บางพลัด,เขตบางพลัด,102501,โรงเรียนพิมลวิทย์,14,189,220,320,540,1025,Zone05,1
3039,3040,บางพลัด,เขตบางพลัด,102501,วิทยาลัยเทคโนโลยีไทยอาชีวศึกษา  (ซอยจรัญสนิทวงศ์ 71),15,254,324,389,713,1025,Zone05,2
3040,3041,บางพลัด,เขตบางพลัด,102501,วิทยาลัยเทคโนโลยีไทยอาชีวศึกษา  (ซอยจรัญสนิทวงศ์ 71),16,225,278,360,638,1025,Zone05,4
3041,3042,บางพลัด,เขตบางพลัด,102501,โรงเรียนบูรณวิทย์,17,194,231,324,555,1025,Zone05,2
3042,3043,บางพลัด,เขตบางพลัด,102501,โรงเรียนบูรณวิทย์,18,187,334,354,688,1025,Zone05,2
3043,3044,บางพลัด,เขตบางพลัด,102501,โรงเรียนบูรณวิทย์,19,235,275,364,639,1025,Zone05,2
3044,3045,บางพลัด,เขตบางพลัด,102501,โรงเรียนบูรณวิทย์,20,204,258,326,584,1025,Zone05,2
3045,3046,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,21,186,238,321,559,1025,Zone05,1
3046,3047,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,22,203,252,327,579,1025,Zone05,1
3047,3048,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,23,197,271,327,598,1025,Zone05,0
3048,3049,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,24,149,215,290,505,1025,Zone05,2
3049,3050,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,25,197,248,349,597,1025,Zone05,2
3050,3051,บางพลัด,เขตบางพลัด,102501,เต็นท์ในบริเวณวัดเพลง,26,206,271,302,573,1025,Zone05,3
3051,3052,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,27,162,220,264,484,1025,Zone05,2
3052,3053,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,28,222,195,297,492,1025,Zone05,3
3053,3054,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,29,132,279,285,564,1025,Zone05,0
3054,3055,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,30,158,271,311,582,1025,Zone05,0
3055,3056,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,31,154,278,285,563,1025,Zone05,1
3056,3057,บางพลัด,เขตบางพลัด,102501,โรงเรียนวัดบางพลัด,32,156,260,309,569,1025,Zone05,2
3057,3058,บางอ้อ,เขตบางพลัด,102502,เต็นท์บริเวณปากซอยจรัญสนิทวงศ์ 74/1,1,226,396,456,852,1025,Zone05,0
3058,3059,บางอ้อ,เขตบางพลัด,102502,เต็นท์หน้าอาคารโชว์รูมอิซูซุ,2,256,249,284,533,1025,Zone05,4
3059,3060,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในสถานบริการน้ำมัน PT (ใกล้ปากซอยจรัญสนิทวงศ์ 80),3,127,229,230,459,1025,Zone05,0
3060,3061,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในสถานบริการน้ำมัน PT (ใกล้ปากซอยจรัญสนิทวงศ์ 80),4,113,215,254,469,1025,Zone05,2
3061,3062,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนบางอ้อศึกษา,5,172,318,376,694,1025,Zone05,6
3062,3063,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนบางอ้อศึกษา,6,235,273,365,638,1025,Zone05,1
3063,3064,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนบางอ้อศึกษา,7,165,277,356,633,1025,Zone05,3
3064,3065,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนบางอ้อศึกษา,8,198,264,318,582,1025,Zone05,1
3065,3066,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนบางอ้อศึกษา,9,216,269,358,627,1025,Zone05,1
3066,3067,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณลานจอดรถโรงพยาบาลยันฮี (ในซอยจรัญสนิทวงศ์ 92),10,185,245,303,548,1025,Zone05,1
3067,3068,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณลานจอดรถโรงพยาบาลยันฮี (ในซอยจรัญสนิทวงศ์ 92),11,196,291,355,646,1025,Zone05,0
3068,3069,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณลานจอดรถโรงพยาบาลยันฮี (ในซอยจรัญสนิทวงศ์ 92),12,145,222,308,530,1025,Zone05,1
3069,3070,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดฉัตรแก้วจงกลณี,13,201,339,379,718,1025,Zone05,2
3070,3071,บางอ้อ,เขตบางพลัด,102502,วิทยาลัยเทคโนโลยีพระรามหก,14,332,241,389,630,1025,Zone05,2
3071,3072,บางอ้อ,เขตบางพลัด,102502,วิทยาลัยเทคโนโลยีพระรามหก,15,358,259,372,631,1025,Zone05,2
3072,3073,บางอ้อ,เขตบางพลัด,102502,วิทยาลัยเทคโนโลยีพระรามหก,16,262,292,312,604,1025,Zone05,0
3073,3074,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนวัดวิมุตยาราม,17,338,328,445,773,1025,Zone05,3
3074,3075,บางอ้อ,เขตบางพลัด,102502,เต็นท์ในบริเวณโรงเรียนวัดวิมุตยาราม,18,212,345,429,774,1025,Zone05,4
3075,3076,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,19,241,310,425,735,1025,Zone05,1
3076,3077,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,20,172,343,361,704,1025,Zone05,2
3077,3078,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,21,196,328,382,710,1025,Zone05,2
3078,3079,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,22,225,326,386,712,1025,Zone05,1
3079,3080,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,23,171,322,390,712,1025,Zone05,1
3080,3081,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,24,142,317,367,684,1025,Zone05,2
3081,3082,บางอ้อ,เขตบางพลัด,102502,โรงเรียนวัดสามัคคีสุทธาวาส,25,212,346,371,717,1025,Zone05,2
3082,3083,บางอ้อ,เขตบางพลัด,102502,บางอ้อคาร์เซ็นเตอร์,26,507,310,433,743,1025,Zone05,2
3083,3084,บางอ้อ,เขตบางพลัด,102502,ซิตี้โฮมคอนโด,27,632,319,519,838,1025,Zone05,4
3084,3085,บางอ้อ,เขตบางพลัด,102502,ใต้อาคารโชว์รูม ซูซูกิ สาขาบางอ้อ (ติดปั๊มน้ำมันบางจาก),28,363,248,366,614,1025,Zone05,2
3085,3086,บางอ้อ,เขตบางพลัด,102502,ใต้อาคารโชว์รูม ซูซูกิ สาขาบางอ้อ (ติดปั๊มน้ำมันบางจาก),29,214,257,369,626,1025,Zone05,2
3086,3087,บางอ้อ,เขตบางพลัด,102502,ใต้อาคารโชว์รูม ซูซูกิ สาขาบางอ้อ (ติดปั๊มน้ำมันบางจาก),30,182,260,340,600,1025,Zone05,1
3087,3088,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าโรงภาพยนตร์ธนบุรีรามา,1,502,326,531,857,1025,Zone05,2
3088,3089,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าบริษัท ไฮไฟทาวเวอร์ จำกัด (ใกล้เมเจอร์ปิ่นเกล้า),2,235,292,296,588,1025,Zone05,1
3089,3090,บางบำหรุ,เขตบางพลัด,102503,โถงบริเวณข้างนิติบุคคล อาคารชุดลุมพินีปาร์ค ปิ่นเกล้า,3,690,273,571,844,1025,Zone05,2
3090,3091,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าอาคารนิด้าแฟคตอรี่ (ใกล้กระทรวงวัฒนธรรม),4,324,240,367,607,1025,Zone05,2
3091,3092,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าอาคารนิด้าแฟคตอรี่ (ใกล้กระทรวงวัฒนธรรม),5,275,246,367,613,1025,Zone05,1
3092,3093,บางบำหรุ,เขตบางพลัด,102503,เต็นท์บริเวณปากทางเข้าถนนรุ่งประชา,6,288,283,384,667,1025,Zone05,1
3093,3094,บางบำหรุ,เขตบางพลัด,102503,เต็นท์ข้างอาคารชุดคอมมอนเวลธ์,7,319,249,380,629,1025,Zone05,1
3094,3095,บางบำหรุ,เขตบางพลัด,102503,เต็นท์ข้างอาคารชุดคอมมอนเวลธ์,8,231,214,307,521,1025,Zone05,0
3095,3096,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,9,211,321,402,723,1025,Zone05,1
3096,3097,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,10,238,283,400,683,1025,Zone05,6
3097,3098,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,11,235,296,380,676,1025,Zone05,3
3098,3099,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,12,250,292,351,643,1025,Zone05,2
3099,3100,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,13,250,328,422,750,1025,Zone05,2
3100,3101,บางบำหรุ,เขตบางพลัด,102503,โรงเรียนวัดรวก,14,266,305,386,691,1025,Zone05,2
3101,3102,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าอาคารสำนักงานที่ดินกรุงเทพมหานคร สาขาบางกอกน้อย,15,214,258,308,566,1025,Zone05,0
3102,3103,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าอาคารสำนักงานที่ดินกรุงเทพมหานคร สาขาบางกอกน้อย,16,228,251,321,572,1025,Zone05,6
3103,3104,บางบำหรุ,เขตบางพลัด,102503,อาคารชุดลุมพินี ซอยจรัญสนิทวงศ์ 65,17,161,187,228,415,1025,Zone05,0
3104,3105,บางบำหรุ,เขตบางพลัด,102503,อาคารชุดลุมพินี ซอยจรัญสนิทวงศ์ 65,18,140,204,248,452,1025,Zone05,4
3105,3106,บางบำหรุ,เขตบางพลัด,102503,เต็นท์ในบริเวณสมาคมต่อต้านโรคมะเร็งแห่งประเทศไทย(ซอยจรัญสนิทวงศ์ 65),19,258,309,397,706,1025,Zone05,3
3106,3107,บางบำหรุ,เขตบางพลัด,102503,เต็นท์ในบริเวณสมาคมต่อต้านโรคมะเร็งแห่งประเทศไทย(ซอยจรัญสนิทวงศ์ 65),20,244,310,393,703,1025,Zone05,0
3107,3108,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าโรงเรียนอุดมศาสตร์พัฒนา (ซอยสิรินธร 7),21,264,254,350,604,1025,Zone05,1
3108,3109,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าโรงเรียนอุดมศาสตร์พัฒนา (ซอยสิรินธร 7),22,243,270,386,656,1025,Zone05,1
3109,3110,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าบริษัท เกตุชัยวัสดุก่อสร้าง จำกัด,23,177,208,271,479,1025,Zone05,2
3110,3111,บางบำหรุ,เขตบางพลัด,102503,เต็นท์หน้าบริษัท เกตุชัยวัสดุก่อสร้าง จำกัด,24,174,209,244,453,1025,Zone05,2
3111,3112,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์บริเวณลานจอดรถห้างพาต้า ปิ่นเกล้า,1,445,206,356,562,1025,Zone05,0
3112,3113,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์บริเวณลานจอดรถห้างพาต้า ปิ่นเกล้า,2,228,217,269,486,1025,Zone05,0
3113,3114,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์หน้าคณะกายภาพบำบัด มหาวิทยาลัยมหิดล,3,235,262,317,579,1025,Zone05,1
3114,3115,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์หน้าคณะกายภาพบำบัด มหาวิทยาลัยมหิดล,4,114,245,276,521,1025,Zone05,1
3115,3116,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดดาวดึงษาราม,5,217,303,305,608,1025,Zone05,1
3116,3117,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดดาวดึงษาราม,6,146,297,327,624,1025,Zone05,0
3117,3118,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดดาวดึงษาราม,7,131,290,303,593,1025,Zone05,3
3118,3119,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดดาวดึงษาราม,8,171,314,358,672,1025,Zone05,0
3119,3120,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดน้อยนางหงษ์,9,558,323,492,815,1025,Zone05,2
3120,3121,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดน้อยนางหงษ์,10,249,342,406,748,1025,Zone05,6
3121,3122,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดน้อยนางหงษ์,11,371,364,495,859,1025,Zone05,1
3122,3123,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดน้อยนางหงษ์,12,277,362,472,834,1025,Zone05,2
3123,3124,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ลานเอนกประสงค์ อาคารชุดลุมพินี เพลส พระราม 8,13,501,235,426,661,1025,Zone05,0
3124,3125,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดพระยาศิริไอยสวรรค์,14,131,240,270,510,1025,Zone05,4
3125,3126,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนบางยี่ขันวิทยาคม,15,382,314,442,756,1025,Zone05,1
3126,3127,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนบางยี่ขันวิทยาคม,16,577,308,461,769,1025,Zone05,3
3127,3128,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดคฤหบดี,17,408,280,381,661,1025,Zone05,1
3128,3129,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดคฤหบดี,18,240,329,449,778,1025,Zone05,2
3129,3130,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดคฤหบดี,19,204,357,435,792,1025,Zone05,4
3130,3131,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดคฤหบดี,20,173,319,391,710,1025,Zone05,1
3131,3132,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดบวรมงคล,21,235,290,379,669,1025,Zone05,2
3132,3133,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดบวรมงคล,22,257,342,403,745,1025,Zone05,2
3133,3134,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดบวรมงคล,23,171,318,368,686,1025,Zone05,3
3134,3135,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดบวรมงคล,24,191,300,382,682,1025,Zone05,2
3135,3136,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดบวรมงคล,25,171,296,316,612,1025,Zone05,2
3136,3137,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดเปาโรหิตย์,26,240,291,365,656,1025,Zone05,2
3137,3138,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดเปาโรหิตย์,27,189,247,274,521,1025,Zone05,1
3138,3139,บางยี่ขัน,เขตบางพลัด,102504,โรงเรียนวัดเปาโรหิตย์,28,236,305,362,667,1025,Zone05,2
3139,3140,บางยี่ขัน,เขตบางพลัด,102504,เต็นท์ในบริเวณวัดสิงห์,29,380,379,470,849,1025,Zone05,0
3140,3141,บางยี่ขัน,เขตบางพลัด,102504,ศาลาในบริเวณวัดภคินีนาถ,30,274,346,422,768,1025,Zone05,3
3141,3142,บางยี่ขัน,เขตบางพลัด,102504,ศาลาในบริเวณวัดภคินีนาถ,31,225,351,436,787,1025,Zone05,1
